,기준분기코드,상권코드,상권코드명,총직장인구수
0,3,1001496,강남 마이스 관광특구,15904
1,3,1001495,잠실 관광특구,24375
2,3,1001494,종로?청계 관광특구,32935
3,3,1001493,동대문패션타운 관광특구,6054
4,3,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
5,3,1001491,이태원 관광특구,5839
6,3,2130326,고덕 골목형상점가,935
7,3,2130325,명일전통시장,89
8,3,2130324,길동복조리시장,154
9,3,2130323,둔촌역전통시장,171
10,3,2130322,고분다리전통시장,8
11,3,2130321,장신구 특화거리 상점가,433
12,3,2130320,암사종합시장,173
13,3,2130319,성내전통시장,34
14,3,2130318,로데오거리상점가,266
15,3,2130317,마천중앙시장,107
16,3,2130316,마천시장,18
17,3,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372
18,3,2130314,풍납시장,202
19,3,2130313,방이시장,3469
20,3,2130312,석촌시장,619
21,3,2130311,새마을시장,377
22,3,2130310,강남개포시장,298
23,3,2130308,청담삼익시장,48
24,3,2130307,도곡시장,57
25,3,2130306,강남언주로,235
26,3,2130305,논현종합시장,85
27,3,2130304,신사상가,138
28,3,2130303,영동전통시장,242
29,3,2130302,강남시장(강남구 강남시장),58
30,3,2130301,양재시장,35
31,3,2130299,엔터식스 강남점,1850
32,3,2130298,강남터미널지하도상점가2구역,2
33,3,2130296,남부종합시장,85
34,3,2130295,인헌시장(원당종합시장),122
35,3,2130294,관악중부시장,102
36,3,2130293,봉천중앙시장,154
37,3,2130290,영림시장,417
38,3,2130289,봉일시장,36
39,3,2130288,신림현대종합상가,2
40,3,2130285,서원동상점가,615
41,3,2130284,관악종합시장(신원시장),17
42,3,2130283,신원시장,25
43,3,2130282,난곡 골목형상점가,20
44,3,2130281,우림시장,1
45,3,2130280,신림종합시장,8
46,3,2130279,관악신사시장,120
47,3,2130278,미성동 도깨비시장 골목형상점가,75
48,3,2130277,조원동 펭귄시장(신림중앙시장),98
49,3,2130276,신림중앙시장(조원동 펭귄시장),43
50,3,2130275,강남골목시장,168
51,3,2130274,사당1동먹자골목상점가(사당1동먹자골목),389
52,3,2130273,남성사계시장(남성시장),141
53,3,2130272,사당시장,45
54,3,2130271,남성역골목시장,467
55,3,2130270,흑석시장,4
56,3,2130268,상도전통시장,239
57,3,2130267,본동인정시장(기능상실),59
58,3,2130266,만양로상점가,129
59,3,2130265,노량진중앙시장,115
60,3,2130264,상도약수골목형상점가,65
61,3,2130263,신노량진시장(기능상실),11
62,3,2130262,상도도깨비 골목형상점가,18
63,3,2130261,성대전통시장(성대시장),211
64,3,2130260,신대방1동골목상권,70
65,3,2130259,대신시장,12
66,3,2130257,영등포시장기계공구상가,158
67,3,2130256,신동시장,2
68,3,2130255,영등포전통시장,45
69,3,2130253,영신상가(제일상가),9
70,3,2130250,삼구시장(로타리상가),1
71,3,2130249,동남상가,10
72,3,2130248,영등포역지하도상점가,12
73,3,2130247,우리시장,21
74,3,2130246,영등포청과시장(조광시장),237
75,3,2130245,영일시장,675
76,3,2130244,대림중앙시장,95
77,3,2130243,도림시장,6
78,3,2130242,대림중앙 골목형상점가,68
79,3,2130241,선유도역 골목형상점가,500
80,3,2130240,영등포유통상가,1183
81,3,2130238,은행나무시장,113
82,3,2130237,박미시장(기능상실),39
83,3,2130236,비단길현대시장(현대시장),139
84,3,2130235,대명여울빛거리시장(대명시장),298
85,3,2130234,푸른터시장(기능상실),3
86,3,2130233,남문시장,76
87,3,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),33
88,3,2130231,독산동 우시장,611
89,3,2130229,남구로시장,249
90,3,2130228,구로시장,10
91,3,2130227,고척골목시장상점가(그라운드 고척),97
92,3,2130226,고척프라자,2
