,기준분기코드,상권코드,상권코드명,총직장인구수
0,2,1001496,강남 마이스 관광특구,15904
1,2,1001495,잠실 관광특구,24375
2,2,1001494,종로?청계 관광특구,32935
3,2,1001493,동대문패션타운 관광특구,6054
4,2,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
5,2,1001491,이태원 관광특구,5839
6,2,2130326,고덕 골목형상점가,935
7,2,2130325,명일전통시장,89
8,2,2130324,길동복조리시장,154
9,2,2130323,둔촌역전통시장,171
10,2,2130322,고분다리전통시장,8
11,2,2130321,장신구 특화거리 상점가,433
12,2,2130320,암사종합시장,173
13,2,2130319,성내전통시장,34
14,2,2130318,로데오거리상점가,266
15,2,2130317,마천중앙시장,107
16,2,2130316,마천시장,18
17,2,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372
18,2,2130314,풍납시장,202
19,2,2130313,방이시장,3469
20,2,2130312,석촌시장,619
21,2,2130311,새마을시장,377
22,2,2130310,강남개포시장,298
23,2,2130308,청담삼익시장,48
24,2,2130307,도곡시장,57
25,2,2130306,강남언주로,235
26,2,2130305,논현종합시장,85
27,2,2130304,신사상가,138
28,2,2130303,영동전통시장,242
29,2,2130302,강남시장(강남구 강남시장),58
30,2,2130301,양재시장,35
31,2,2130299,엔터식스 강남점,1850
32,2,2130298,강남터미널지하도상점가2구역,2
33,2,2130296,남부종합시장,85
34,2,2130295,인헌시장(원당종합시장),122
35,2,2130294,관악중부시장,102
36,2,2130293,봉천중앙시장,154
37,2,2130290,영림시장,417
38,2,2130289,봉일시장,36
39,2,2130288,신림현대종합상가,2
40,2,2130285,서원동상점가,615
41,2,2130284,관악종합시장(신원시장),17
42,2,2130283,신원시장,25
43,2,2130282,난곡 골목형상점가,20
44,2,2130281,우림시장,1
45,2,2130280,신림종합시장,8
46,2,2130279,관악신사시장,120
47,2,2130278,미성동 도깨비시장 골목형상점가,75
48,2,2130277,조원동 펭귄시장(신림중앙시장),98
49,2,2130276,신림중앙시장(조원동 펭귄시장),43
50,2,2130275,강남골목시장,168
51,2,2130274,사당1동먹자골목상점가(사당1동먹자골목),389
52,2,2130273,남성사계시장(남성시장),141
53,2,2130272,사당시장,45
54,2,2130271,남성역골목시장,467
55,2,2130270,흑석시장,4
56,2,2130268,상도전통시장,239
57,2,2130267,본동인정시장(기능상실),59
58,2,2130266,만양로상점가,129
59,2,2130265,노량진중앙시장,115
60,2,2130264,상도약수골목형상점가,65
61,2,2130263,신노량진시장(기능상실),11
62,2,2130262,상도도깨비 골목형상점가,18
63,2,2130261,성대전통시장(성대시장),211
64,2,2130260,신대방1동골목상권,70
65,2,2130259,대신시장,12
66,2,2130257,영등포시장기계공구상가,158
67,2,2130256,신동시장,2
68,2,2130255,영등포전통시장,45
69,2,2130253,영신상가(제일상가),9
70,2,2130250,삼구시장(로타리상가),1
71,2,2130249,동남상가,10
72,2,2130248,영등포역지하도상점가,12
73,2,2130247,우리시장,21
74,2,2130246,영등포청과시장(조광시장),237
75,2,2130245,영일시장,675
76,2,2130244,대림중앙시장,95
77,2,2130243,도림시장,6
78,2,2130242,대림중앙 골목형상점가,68
79,2,2130241,선유도역 골목형상점가,500
80,2,2130240,영등포유통상가,1183
81,2,2130238,은행나무시장,113
82,2,2130237,박미시장(기능상실),39
83,2,2130236,비단길현대시장(현대시장),139
84,2,2130235,대명여울빛거리시장(대명시장),298
85,2,2130234,푸른터시장(기능상실),3
86,2,2130233,남문시장,76
87,2,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),33
88,2,2130231,독산동 우시장,611
89,2,2130229,남구로시장,249
90,2,2130228,구로시장,10
91,2,2130227,고척골목시장상점가(그라운드 고척),97
92,2,2130226,고척프라자,2
93,2,2130225,개봉중앙시장,147
94,2,2130224,개봉프라자(고척근린시장),5
95,2,2130223,고척근린시장,42
96,2,2130222,오류시장,132
97,2,2130221,"남부골목시장(남부화곡시장, 남부시장)",188
98,2,2130219,까치산시장,124
99,2,2130218,신월중앙시장,118
100,2,2130217,화곡본동시장,36
101,2,2130216,화곡중앙시장,75
102,2,2130215,대원종합시장,9
103,2,2130214,송화벽화시장(송화골목시장),119
104,2,2130213,방신전통시장,112
105,2,2130212,공항시장,8
106,2,2130211,신정2동 골목시장(오목교중앙시장),51
107,2,2130210,목2동시장,432
108,2,2130209,목사랑시장(목4동시장),111
109,2,2130208,목동깨비시장(목3동시장),148
110,2,2130207,신정1동 골목시장(신정제일시장),38
111,2,2130206,신정3동 골목시장,20
112,2,2130205,신곡종합시장(신월6동 골목시장),141
113,2,2130204,경창시장,100
114,2,2130203,서서울 골목형상점가,34
115,2,2130202,신영시장,40
116,2,2130201,월정로시장,27
117,2,2130200,"신월7동 골목시장(약수시장, 우성상가)",27
118,2,2130199,신월3동 골목시장,18
119,2,2130198,아현시장,203
120,2,2130197,마포시장,15
121,2,2130196,공덕시장,3948
122,2,2130195,도화동 상점가,1055
123,2,2130194,용강동 상점가,875
124,2,2130193,신수시장,34
125,2,2130192,동진시장,10
126,2,2130191,홍대 걷고싶은 거리,367
127,2,2130190,홍대소상공인상점가,150
128,2,2130189,서교시장,24
129,2,2130187,영진시장,29
130,2,2130186,망원시장,178
131,2,2130185,망원월드컵시장,190
132,2,2130184,마포농수산물시장,77
133,2,2130183,상암동상점가,816
134,2,2130182,영천시장,78
135,2,2130181,아현가구거리상점가,59
136,2,2130180,포방터시장,59
137,2,2130179,"이화여대 3,5,7길 상점가",147
138,2,2130178,이대 앞 스타트업 상점가,32
139,2,2130177,인왕시장(홍제골목형상점가),44
140,2,2130176,유진상가,38
141,2,2130175,신촌 상인회(신촌상점가),13
142,2,2130173,백련시장,5
143,2,2130172,모래내시장(서중시장),41
144,2,2130171,불광먹자골목 골목형상점가,155
145,2,2130170,제일시장,58
146,2,2130169,대조시장,67
147,2,2130168,연서시장,242
148,2,2130167,연신내상점가(연빛거리),636
149,2,2130166,응암시장(신응암시장),17
150,2,2130165,"대림골목시장(대림시장, 양지시장)",214
151,2,2130164,역촌중앙시장,9
152,2,2130163,응암오거리상점가,182
153,2,2130162,증산골목시장,7
154,2,2130161,증산종합시장,8
155,2,2130160,수일시장,7
156,2,2130159,공릉동 도깨비시장,101
157,2,2130157,상계중앙시장,74
158,2,2130155,시영B상가(중계 그린아파트 B 상가),12
159,2,2130153,창동역상점가,229
160,2,2130152,오!도봉거리 상점가,61
161,2,2130151,신도봉시장,5
162,2,2130150,창동골목시장,84
163,2,2130149,창동신창시장,104
164,2,2130148,방학동도깨비시장,60
165,2,2130147,쌍문역동측상점가,69
166,2,2130146,쌍문시장(쌍문역골목시장),263
167,2,2130145,쌍문역둘리상점가,244
168,2,2130144,백운시장,38
169,2,2130143,방천골목시장,65
170,2,2130142,강북북부시장,7
171,2,2130141,강북북부골목시장,43
172,2,2130140,숭인시장,62
173,2,2130139,강북종합전통시장(강북종합골목시장),166
174,2,2130138,수유프라자,142
175,2,2130137,"수유전통시장(수유시장, 수유골목시장)",89
