,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
1509,2130236,비단길현대시장(현대시장),34859,238223,137811,165526,252329,91639
1510,2130315,문정동 로데오거리 상점가(문정동 로데오거리),680240,33673710,9100672,11175221,28218849,7042973
1511,2130177,인왕시장(홍제골목형상점가),1654312,34731336,16043901,17940948,29465717,10717216
1512,2130007,광장시장(광장전통시장),1242919,68297702,46802431,51881149,71252888,14787161
1513,2130208,목동깨비시장(목3동시장),965746,19413348,8734008,9987798,17439670,6124569
1514,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",334319,4467085,3058283,3921640,7510112,3639640
1515,2130165,"대림골목시장(대림시장, 양지시장)",20305,169623,103164,124804,150264,57742
1516,2130137,"수유전통시장(수유시장, 수유골목시장)",37942,223037,154869,175736,220370,76003
1517,2130200,"신월7동 골목시장(약수시장, 우성상가)",11797,80814,37488,45608,68969,27578
1518,2130055,"황학시장(서울중앙시장, 신중앙시장)",2422711,39251745,20024493,22694513,38846288,14993776
1519,2130038,"평화시장(통일상가, 동화상가)",7101524,127169954,98385457,111695080,148260145,47103633
1520,2130221,"남부골목시장(남부화곡시장, 남부시장)",21889,175870,86382,102109,154806,64853
1521,2130083,"중곡제일시장(중곡제일골목시장, 광성시장)",947989,20033156,7597728,8675165,15560761,5832322
1522,2130224,개봉프라자(고척근린시장),20100,153066,78651,88872,133465,53887
1523,2130024,남대문시장(자유상가),189874,10930741,8066119,8755726,9993598,1982904
1524,2130022,숭례문수입상가(남대문시장),1657790,101207880,42928185,50580641,95941757,24566732
1525,2130103,이경시장,1257812,16310814,9268632,10462322,16373415,7523758
1526,2130235,대명여울빛거리시장(대명시장),30837,248908,140102,171236,258596,95899
1527,2130100,답십리시장,15116,176312,92048,116329,166212,63886
1528,2130094,청량리청과물시장,70313,470957,379009,438210,492762,160655
1529,2130201,월정로시장,19367,142814,67479,76808,116638,46044
1530,2130307,도곡시장,418829,23736776,13245728,14367368,26083292,9346961
1531,2130322,고분다리전통시장,2646,41707,20550,23634,36332,15455
1532,2130148,방학동도깨비시장,18284,166031,82558,94899,131795,46933
1533,2130317,마천중앙시장,911646,12029533,4554289,5190460,8830179,3243726
1534,2130257,영등포시장기계공구상가,5699261,87159671,52646331,62700724,112237585,37614640
1535,2130293,봉천중앙시장,1689590,19138764,9196660,10351582,19093259,9559272
1536,2130032,인현시장,2855446,144762757,63676870,72439018,141338992,39220489
1537,2130158,상계역전종합상가,2338105,39170938,15145101,16439495,30500230,13256637
1538,2130291,봉천제일종합시장,2647475,43895415,17900466,20082573,36697491,15162877
1539,2130182,영천시장,23902,230037,128097,158239,194438,75877
1540,2130210,목2동시장,1849393,30704970,11081816,12111791,27311485,11613877
1541,2130129,장미원골목시장,262977,5200741,2490210,2704721,4156737,1376003
1542,2130015,창신골목시장,5171360,78936511,68793541,77971139,80878376,24830106
1543,2130262,상도도깨비 골목형상점가,1207453,19298398,8493507,9335683,15999323,6328696
1544,2130130,수유북부골목시장,222772,4183388,2133877,2178056,3169870,1037831
1545,2130008,종오지하쇼핑센터,1234606,68277455,46784194,51858471,71213666,14775121
1546,2130114,유영시장,20254,169982,80344,99912,141523,50501
1547,2130216,화곡중앙시장,20236,150275,67019,78911,124616,54818
1548,2130252,영등포로타리지하도상점가,3654468,61826218,44265749,53456398,91063580,29754624
1549,2130086,서울약령시장,30565,195692,158362,175739,154898,46229
1550,2130056,용산용문시장,657038,18327340,7458103,8316324,15570678,5091153
1551,2130053,백학시장,2431000,39289216,20047899,22722948,38892364,15017376
1552,2130204,경창시장,17651,143178,61357,69336,106897,43132
1553,2130318,로데오거리상점가,886985,13596271,7963004,9434974,16818371,6325391
1554,2130285,서원동상점가,8064526,117772473,47361881,54667183,115012526,54466465
1555,2130104,전곡시장,16018,158969,73098,89489,143204,55125
1556,2130243,도림시장,9585,163059,65804,81041,128206,50879
1557,2130004,낙원시장(낙원지하시장(대일상가)),2650101,108314078,88927380,98489397,135676080,40362987
1558,2130250,삼구시장(로타리상가),590854,16393197,8962957,10144152,16620567,4708816
1559,2130072,성동용답상가시장,1893236,35616803,13401778,15268268,29721370,10622495
1560,2130212,공항시장,2846373,56907891,36849800,41474540,62976518,21264472
1561,2130281,우림시장,21448,147928,72295,83078,113059,47014
1562,2130314,풍납시장,871248,13522078,7906657,9365264,16713540,6282078
1563,2130312,석촌시장,503191,13571285,5585859,6783995,11184458,3618531
1564,2130304,신사상가,9474,83618,46282,56954,75661,28693
1565,2130179,"이화여대 3,5,7길 상점가",4023482,82077056,62257231,69191075,111526487,49207764
1566,2130078,화양제일골목시장,5620815,72420277,46434830,58546705,113772275,52864835
1567,2130289,봉일시장,2647992,43891369,17902982,20091148,36703511,15164194
1568,2130102,이문제일시장,11806,61927,32307,41576,58382,25866
1569,2130058,이촌종합시장,156989,5238317,3058747,3514645,4866358,1598967
1570,2130057,만리시장,7459,83354,43678,56720,82884,39257
1571,2130237,박미시장(기능상실),7721,61063,25981,31872,50107,16122
1572,2130259,대신시장,24692,161720,77337,89227,135418,56564
1573,2130306,강남언주로,15158,87668,41694,45670,70068,30285
1574,2130323,둔촌역전통시장,747124,18903411,8176081,9622283,17253595,6088826
1575,2130127,석관시장,1061898,17485800,7085683,7817475,14141879,5269842
1576,2130014,동문시장,5209091,79015181,68871176,78056866,80954910,24864618
1577,2130106,중랑동부시장,821675,10747966,4677597,5338900,9433019,3354300
1578,2130064,금남시장,8271,143176,83198,98916,134934,50269
1579,2130150,창동골목시장,12851,115649,63853,72844,105601,39315
1580,2130300,강남터미널지하도상점가3구역,3318109,116844928,98668126,117839615,170358151,54315956
1581,2130121,길음시장,1986041,44656387,18875942,20798919,38211447,15194528
1582,2130097,답십리 건축자재시장,1529428,30730843,11268733,12726175,25551643,8833952
1583,2130268,상도전통시장,339598,6426266,2954639,3230571,5608677,2758746
1584,2130292,봉천현대시장,15407,162603,82211,107650,152187,63648
1585,2130303,영동전통시장,1100183,38525883,12704262,15250646,36087386,13359184
1586,2130134,"솔샘시장(미아6,7동골목시장)",160702,2983806,1730991,1891508,2552250,754151
1587,2130163,응암오거리상점가,411425,5760642,2337468,2641733,4730333,2122066
1588,2130223,고척근린시장,19166,145596,75342,84656,128355,50745
1589,2130101,답십리현대시장,21893,167455,79721,97287,160845,63745
1590,2130298,강남터미널지하도상점가2구역,3012640,105771494,93289680,111702439,160613963,50676067
1591,2130169,대조시장,2058220,40448052,21793243,25389723,39676916,13731105
1592,2130247,우리시장,15934,130594,62590,70051,103512,40282
1593,2130160,수일시장,165447,5187434,1667781,1994982,4194152,987759
1594,2130074,영동교골목시장,41518,126728,66013,84328,135277,64313
1595,2130067,왕십리도선동상점가,1403875,29192238,12894185,14989273,28628067,11378486
1596,2130192,동진시장,62369,376088,244706,282310,426442,201155
1597,2130215,대원종합시장,1232100,28000102,12204770,14272151,23775113,9244193
1598,2130198,아현시장,1551600,32129796,13708007,15824593,27233495,9525528
1599,2130010,종로신진시장,4377182,89908144,73839366,81228271,95482622,26211485
1600,2130109,묵1동도깨비시장,2548704,30528580,13733510,15417252,27493174,11224643
1601,2130280,신림종합시장,3873474,51660538,19094953,21873720,43295489,20212436
1602,2130256,신동시장,16493,131337,62858,75505,111071,44147
1603,2130013,동대문상가A동,3699183,54295414,44169465,48565531,55374730,17489115
1604,2130271,남성역골목시장,1072194,21662123,8836546,9596005,17365964,6999725
1605,2130070,뚝섬역상점가,1032099,36097984,13165735,16119175,35102845,9847546
1606,2130251,영등포시장지하도상점가,4179922,77799869,52921391,63218617,107120489,34258037
1607,2130279,관악신사시장,3854851,51556574,19052618,21825720,43226064,20185917
1608,2130229,남구로시장,2372333,34433493,10035508,11264195,29065633,8406870
1609,2130061,이태원시장,2171282,15767572,11715096,15769542,30182394,16096576
1610,2130034,필동 골목형상점가,1422071,53172770,24352642,27501087,53491447,17571361
1611,2130046,team204(팀204),8786581,130550749,88551277,101513885,146729132,53253332
1612,2130270,흑석시장,13805,193380,119779,145632,205728,95139
1613,2130151,신도봉시장,1630947,18145023,8684659,9850871,15484918,5073983
1614,2130188,합정시장,3623143,66415266,36494679,43701162,89943318,38856193
1615,2130301,양재시장,392676,17751744,6962375,7982761,17023485,5781610
1616,2130206,신정3동 골목시장,1465158,18980391,7663361,8715814,17220963,6396460
1617,2130062,보광시장,5855,77035,45137,54159,71286,27996
