기준분기코드,상권코드,상권코드명,총직장인구수
3,1001496,강남 마이스 관광특구,15904
3,1001495,잠실 관광특구,24375
3,1001494,종로?청계 관광특구,32935
3,1001493,동대문패션타운 관광특구,6054
3,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
3,1001491,이태원 관광특구,5839
3,2130326,고덕 골목형상점가,935
3,2130325,명일전통시장,89
3,2130324,길동복조리시장,154
3,2130323,둔촌역전통시장,171
3,2130322,고분다리전통시장,8
3,2130321,장신구 특화거리 상점가,433
3,2130320,암사종합시장,173
3,2130319,성내전통시장,34
3,2130318,로데오거리상점가,266
3,2130317,마천중앙시장,107
3,2130316,마천시장,18
3,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372
3,2130314,풍납시장,202
3,2130313,방이시장,3469
3,2130312,석촌시장,619
3,2130311,새마을시장,377
3,2130310,강남개포시장,298
3,2130308,청담삼익시장,48
3,2130307,도곡시장,57
3,2130306,강남언주로,235
3,2130305,논현종합시장,85
3,2130304,신사상가,138
3,2130303,영동전통시장,242
3,2130302,강남시장(강남구 강남시장),58
3,2130301,양재시장,35
3,2130299,엔터식스 강남점,1850
3,2130298,강남터미널지하도상점가2구역,2
3,2130296,남부종합시장,85
3,2130295,인헌시장(원당종합시장),122
3,2130294,관악중부시장,102
3,2130293,봉천중앙시장,154
3,2130290,영림시장,417
3,2130289,봉일시장,36
3,2130288,신림현대종합상가,2
3,2130285,서원동상점가,615
3,2130284,관악종합시장(신원시장),17
3,2130283,신원시장,25
3,2130282,난곡 골목형상점가,20
3,2130281,우림시장,1
3,2130280,신림종합시장,8
3,2130279,관악신사시장,120
3,2130278,미성동 도깨비시장 골목형상점가,75
3,2130277,조원동 펭귄시장(신림중앙시장),98
3,2130276,신림중앙시장(조원동 펭귄시장),43
3,2130275,강남골목시장,168
3,2130274,사당1동먹자골목상점가(사당1동먹자골목),389
3,2130273,남성사계시장(남성시장),141
3,2130272,사당시장,45
3,2130271,남성역골목시장,467
3,2130270,흑석시장,4
3,2130268,상도전통시장,239
3,2130267,본동인정시장(기능상실),59
3,2130266,만양로상점가,129
3,2130265,노량진중앙시장,115
3,2130264,상도약수골목형상점가,65
3,2130263,신노량진시장(기능상실),11
3,2130262,상도도깨비 골목형상점가,18
3,2130261,성대전통시장(성대시장),211
3,2130260,신대방1동골목상권,70
3,2130259,대신시장,12
3,2130257,영등포시장기계공구상가,158
3,2130256,신동시장,2
3,2130255,영등포전통시장,45
3,2130253,영신상가(제일상가),9
3,2130250,삼구시장(로타리상가),1
3,2130249,동남상가,10
3,2130248,영등포역지하도상점가,12
3,2130247,우리시장,21
3,2130246,영등포청과시장(조광시장),237
3,2130245,영일시장,675
3,2130244,대림중앙시장,95
3,2130243,도림시장,6
3,2130242,대림중앙 골목형상점가,68
3,2130241,선유도역 골목형상점가,500
3,2130240,영등포유통상가,1183
3,2130238,은행나무시장,113
3,2130237,박미시장(기능상실),39
3,2130236,비단길현대시장(현대시장),139
3,2130235,대명여울빛거리시장(대명시장),298
3,2130234,푸른터시장(기능상실),3
3,2130233,남문시장,76
3,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),33
3,2130231,독산동 우시장,611
3,2130229,남구로시장,249
3,2130228,구로시장,10
3,2130227,고척골목시장상점가(그라운드 고척),97
3,2130226,고척프라자,2
3,2130225,개봉중앙시장,147
3,2130224,개봉프라자(고척근린시장),5
3,2130223,고척근린시장,42
3,2130222,오류시장,132
3,2130221,"남부골목시장(남부화곡시장, 남부시장)",188
3,2130219,까치산시장,124
3,2130218,신월중앙시장,118
3,2130217,화곡본동시장,36
3,2130216,화곡중앙시장,75
3,2130215,대원종합시장,9
3,2130214,송화벽화시장(송화골목시장),119
3,2130213,방신전통시장,112
3,2130212,공항시장,8
3,2130211,신정2동 골목시장(오목교중앙시장),51
3,2130210,목2동시장,432
3,2130209,목사랑시장(목4동시장),111
3,2130208,목동깨비시장(목3동시장),148
3,2130207,신정1동 골목시장(신정제일시장),38
3,2130206,신정3동 골목시장,20
3,2130205,신곡종합시장(신월6동 골목시장),141
3,2130204,경창시장,100
3,2130203,서서울 골목형상점가,34
3,2130202,신영시장,40
3,2130201,월정로시장,27
3,2130200,"신월7동 골목시장(약수시장, 우성상가)",27
3,2130199,신월3동 골목시장,18
3,2130198,아현시장,203
3,2130197,마포시장,15
3,2130196,공덕시장,3948
3,2130195,도화동 상점가,1055
3,2130194,용강동 상점가,875
3,2130193,신수시장,34
3,2130192,동진시장,10
3,2130191,홍대 걷고싶은 거리,367
3,2130190,홍대소상공인상점가,150
3,2130189,서교시장,24
3,2130187,영진시장,29
3,2130186,망원시장,178
3,2130185,망원월드컵시장,190
3,2130184,마포농수산물시장,77
3,2130183,상암동상점가,816
3,2130182,영천시장,78
3,2130181,아현가구거리상점가,59
3,2130180,포방터시장,59
3,2130179,"이화여대 3,5,7길 상점가",147
3,2130178,이대 앞 스타트업 상점가,32
3,2130177,인왕시장(홍제골목형상점가),44
3,2130176,유진상가,38
3,2130175,신촌 상인회(신촌상점가),13
3,2130173,백련시장,5
3,2130172,모래내시장(서중시장),41
3,2130171,불광먹자골목 골목형상점가,155
3,2130170,제일시장,58
3,2130169,대조시장,67
3,2130168,연서시장,242
3,2130167,연신내상점가(연빛거리),636
3,2130166,응암시장(신응암시장),17
3,2130165,"대림골목시장(대림시장, 양지시장)",214
3,2130164,역촌중앙시장,9
3,2130163,응암오거리상점가,182
3,2130162,증산골목시장,7
3,2130161,증산종합시장,8
3,2130160,수일시장,7
3,2130159,공릉동 도깨비시장,101
3,2130157,상계중앙시장,74
3,2130155,시영B상가(중계 그린아파트 B 상가),12
3,2130153,창동역상점가,229
3,2130152,오!도봉거리 상점가,61
3,2130151,신도봉시장,5
3,2130150,창동골목시장,84
