기준분기코드,상권코드,상권코드명,총직장인구수
2,1001496,강남 마이스 관광특구,15904
2,1001495,잠실 관광특구,24375
2,1001494,종로?청계 관광특구,32935
2,1001493,동대문패션타운 관광특구,6054
2,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
2,1001491,이태원 관광특구,5839
2,2130326,고덕 골목형상점가,935
2,2130325,명일전통시장,89
2,2130324,길동복조리시장,154
2,2130323,둔촌역전통시장,171
2,2130322,고분다리전통시장,8
2,2130321,장신구 특화거리 상점가,433
2,2130320,암사종합시장,173
2,2130319,성내전통시장,34
2,2130318,로데오거리상점가,266
2,2130317,마천중앙시장,107
2,2130316,마천시장,18
2,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372
2,2130314,풍납시장,202
2,2130313,방이시장,3469
2,2130312,석촌시장,619
2,2130311,새마을시장,377
2,2130310,강남개포시장,298
2,2130308,청담삼익시장,48
2,2130307,도곡시장,57
2,2130306,강남언주로,235
2,2130305,논현종합시장,85
2,2130304,신사상가,138
2,2130303,영동전통시장,242
2,2130302,강남시장(강남구 강남시장),58
2,2130301,양재시장,35
2,2130299,엔터식스 강남점,1850
2,2130298,강남터미널지하도상점가2구역,2
2,2130296,남부종합시장,85
2,2130295,인헌시장(원당종합시장),122
2,2130294,관악중부시장,102
2,2130293,봉천중앙시장,154
2,2130290,영림시장,417
2,2130289,봉일시장,36
2,2130288,신림현대종합상가,2
2,2130285,서원동상점가,615
2,2130284,관악종합시장(신원시장),17
2,2130283,신원시장,25
2,2130282,난곡 골목형상점가,20
2,2130281,우림시장,1
2,2130280,신림종합시장,8
2,2130279,관악신사시장,120
2,2130278,미성동 도깨비시장 골목형상점가,75
2,2130277,조원동 펭귄시장(신림중앙시장),98
2,2130276,신림중앙시장(조원동 펭귄시장),43
2,2130275,강남골목시장,168
2,2130274,사당1동먹자골목상점가(사당1동먹자골목),389
2,2130273,남성사계시장(남성시장),141
2,2130272,사당시장,45
2,2130271,남성역골목시장,467
2,2130270,흑석시장,4
2,2130268,상도전통시장,239
2,2130267,본동인정시장(기능상실),59
2,2130266,만양로상점가,129
2,2130265,노량진중앙시장,115
2,2130264,상도약수골목형상점가,65
2,2130263,신노량진시장(기능상실),11
2,2130262,상도도깨비 골목형상점가,18
2,2130261,성대전통시장(성대시장),211
