,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
951,2110579,6908,5760,1148,1071,1209,1227,1186,1067,574,574,7.0,4.0,4180,373,1377,393.0,2840,2021,0.0,662.0,1664.0,1183.0,904.0,448.0,224299007,192518225,31780782,33738789,38851736,43211473,39768358,36947869,15890391,15890391,224632.0,23508.0,80979347,10768051,69743456,46669622.0,81855717,40387740,0.0,9759990.0,45549679.0,29859864.0,25269633.0,11804295.0,5.0,350446,169223,181224,36744,47085,76861,63077,53732,72948,101255,74107,38773,38696,52982,44633,50013,50312,50405,50624,50314,49927,48852,758.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38602,1060257,455787,510351,1056749,352260,0
952,2110578,46160,35738,10422,6456,7418,7467,7400,6997,6114,4308,467.0,877.0,18276,4808,18037,3695.0,24454,16884,836.0,8812.0,7242.0,7633.0,10119.0,6702.0,1710323233,1229212355,481110878,207737882,240123503,238997710,271453404,270899856,277038394,204072484,19137803.0,13660365.0,502224573,146049100,810192861,219058531.0,829407537,555994504,14631403.0,208135496.0,263612350.0,304534044.0,331536808.0,262951944.0,30.0,2529363,1166611,1362751,425884,375153,438260,497903,358821,433341,597047,503695,311896,318970,455194,342561,365094,367309,365498,364996,361148,352496,352820,2091.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22648,338537,204326,247145,326083,140234,3
953,2110577,15556,12706,2850,2146,2681,2561,2648,2670,1890,960,5.0,327.0,8294,1871,4760,299.0,6395,6447,27.0,994.0,2362.0,3393.0,3010.0,3058.0,785015653,603945179,181070474,103498997,120321974,114767343,143365779,121991086,109246814,71823660,16275.0,5396450.0,279293177,71186637,365870363,63252751.0,284972877,214594604,353757.0,27727141.0,86398398.0,116101938.0,142558975.0,126427270.0,8.0,444984,200667,244317,117893,46054,65892,77853,57147,80143,101528,83767,54263,61251,90030,54143,63090,63233,61805,63093,61150,66354,66258,145.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69445,1341811,642161,734430,1386198,478555,0
954,2110576,55845,42477,13368,7258,8434,8574,8791,9420,8400,4968,515.0,281.0,22194,5743,20838,6274.0,26783,21829,607.0,9991.0,11889.0,10674.0,9302.0,6145.0,2422513981,1759962812,662551169,269425237,328303614,331384931,411436726,419412304,427131703,235419466,30123862.0,3895471.0,623538956,191416245,1097220889,476318558.0,1057214895,876747772,9821476.0,380605912.0,521634664.0,402445066.0,376410086.0,243045451.0,36.0,881234,418857,462377,186406,160894,136459,148166,109514,139794,177464,168265,118153,126069,180022,111261,126377,131703,130017,130732,129343,119832,113229,1605.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22512,329017,199355,246612,321206,134520,0
955,2110575,17899,16164,1735,3401,3836,3036,3311,2580,1210,525,228.0,0.0,10115,1644,3561,2351.0,10246,7013,70.0,3977.0,4963.0,3862.0,2987.0,1403.0,341025161,274154574,66870587,50692883,61619570,46037740,63055609,52748772,42704484,24166103,7933605.0,0.0,125084986,23424112,82233244,102349214.0,200658794,119636256,2329284.0,98308296.0,89772879.0,61361244.0,47236256.0,21287090.0,4.0,772326,325082,447243,65337,311002,141262,83299,70507,100919,247858,170928,80138,72254,100274,100874,110971,111104,111378,110075,109131,108645,111022,206.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192194,3251395,2272159,2563142,3939217,1636855,4
956,2110574,5892,5220,672,1050,1413,950,1034,773,336,336,25.0,0.0,2387,1059,1951,134.0,2935,2621,426.0,2757.0,433.0,621.0,1191.0,128.0,82007935,70374173,11633762,13197260,17383394,12007825,14966701,12818993,5816881,5816881,1933356.0,0.0,30496596,11495065,26007847,6258190.0,43363592,32827462,4675935.0,35251944.0,6139259.0,10262370.0,15784807.0,4076739.0,2.0,45177,23701,21477,6813,17061,6091,5488,4348,5376,6059,9380,7920,7896,9000,4922,6510,7061,6981,6972,6335,5764,5554,173.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24300,428319,260605,297934,408120,171660,0
957,2110573,1489,1145,344,180,220,244,276,225,262,82,50.0,0.0,300,71,664,404.0,936,393,14.0,370.0,266.0,294.0,259.0,127.0,78415359,58628561,19786798,9170942,10128334,9856228,16314944,13158113,14966285,4820513,4453586.0,0.0,5386946,2428835,38889452,27256540.0,47716434,21167652,440313.0,21872912.0,13951109.0,13309274.0,13510272.0,5800205.0,2.0,141963,66214,75749,16212,59478,23822,14117,12328,16007,29374,30524,22629,21197,23862,14377,20649,21469,21465,21244,20995,18636,17505,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208027,2647255,1968887,2284025,3499552,1464448,4
958,2110572,72861,55956,16905,10795,10953,12038,10734,11436,9650,7255,1264.0,2981.0,27815,11848,23177,5776.0,43637,25281,1819.0,18698.0,10623.0,9471.0,14074.0,14233.0,1495463073,1109942752,385520321,204236365,206305725,236250399,217223176,245927087,215665744,169854577,68874337.0,40125369.0,460648305,166517160,518719331,240578571.0,813810671,539917352,29510060.0,394696062.0,253748843.0,205705184.0,250306853.0,219761019.0,44.0,1345975,678270,667704,181098,433817,211856,182719,145124,191361,311703,277272,180505,179441,235868,161188,190825,195953,195543,194601,191515,190753,186785,470.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30925,596708,388013,458628,699948,266823,3
959,2110571,8122,7460,662,1376,1460,1553,1749,1322,558,104,0.0,317.0,5469,703,1432,201.0,4759,2401,47.0,425.0,1725.0,1678.0,1714.0,1571.0,166507529,152458124,14049405,28505741,27402305,30142145,40626940,25780993,12976632,1072773,0.0,4576325.0,87063668,12609710,43628815,18629011.0,83075190,49005573,475951.0,5685531.0,27043959.0,28514238.0,35124170.0,35236915.0,7.0,441428,204286,237142,72109,59819,68869,78794,67767,94069,117668,94409,52223,51720,70341,55068,63730,62374,62247,62465,61328,63097,66185,635.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12151,213346,124870,148873,211846,86348,0
960,2110570,4830,3859,971,625,864,781,809,780,652,319,35.0,7.0,2142,404,1689,553.0,2561,1638,7.0,262.0,808.0,1278.0,1320.0,525.0,156330089,119305739,37024350,15809306,28580543,26766215,24164366,23985309,24222963,12801387,3550620.0,39018.0,51024578,12460868,61360820,27894185.0,82832958,50781675,106412.0,10382284.0,25271123.0,41993729.0,38789019.0,17072064.0,4.0,112921,51235,61685,22891,13973,17075,19706,17323,21950,25829,24293,15429,15004,19119,13247,16641,16693,16534,16183,15980,15269,15622,61.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101,121996,67816,78787,120594,45214,0
