,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
1177,3,골목상권,2110905,방배노인종합복지관(이수중학교),4,,,,,1.0,,,,
1178,3,발달상권,2120197,역삼역,172,2.0,25.0,,,,,,,
1179,3,발달상권,2120202,압구정로데오역(압구정로데오),77,1.0,4.0,,2.0,,,,,
1180,3,발달상권,2120207,선정릉역,72,4.0,4.0,1.0,,,,,,
1181,3,골목상권,2110936,더케이호텔(양재리본타워2단지아파트),5,,,,,,,,,
1182,3,발달상권,2120175,남부터미널역,79,2.0,7.0,,,,,,,
1183,3,발달상권,2120147,보라매역,50,3.0,1.0,,,,,,,
1184,3,골목상권,2110838,상도1동주민센터앞,8,,,,,,,,,
1185,3,전통시장,2130262,상도도깨비 골목형상점가,8,,,,,,,,,
1186,3,발달상권,2120170,삼호가든사거리,41,2.0,4.0,,,,,,,
1187,3,골목상권,2110716,구로나눔길,8,,,,,,,,,
1188,3,골목상권,2110713,구로보건소,27,2.0,,2.0,,,,,,
1189,3,발달상권,2120194,언주역(차병원),67,1.0,3.0,,,,11.0,,,
1190,3,전통시장,2130229,남구로시장,29,3.0,,,,,,,,
1191,3,골목상권,2110651,화원중학교,11,,,,,,,,,
1192,3,골목상권,2110643,강서구다솔마을,6,,,,,,,,,
1193,3,골목상권,2110675,화곡4동주민센터,11,2.0,,,,,,,,
1194,3,발달상권,2120122,강서구청,65,2.0,5.0,1.0,,,,,,
1195,3,골목상권,2110601,신월1동우편취급국,9,1.0,,,,,,,,
1196,3,전통시장,2130168,연서시장,24,,1.0,,,1.0,,,,
1197,3,골목상권,2110455,역촌노인복지관,21,2.0,2.0,,,,,,,
1198,3,골목상권,2110445,덕산중학교,3,,,,,,,,,
1199,3,전통시장,2130114,유영시장,1,,,,,1.0,,,,
1200,3,골목상권,2111043,마천공원,2,,,,,,,,,
1201,3,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),1,,,,,,,,,
1202,3,골목상권,2110993,개포지하차도 북측,2,,,,,,,,,
1203,3,골목상권,2110774,당산반도유보라팰리스아파트,2,,,,,,,,,
1204,3,전통시장,2130116,동성타워프라자,2,1.0,,,,,,,,
1205,3,골목상권,2110196,홍릉근린공원,3,,,,,,,,,
1206,3,전통시장,2130127,석관시장,1,,,,,,,,,
1207,3,전통시장,2130158,상계역전종합상가,4,,,,,,,,,
1208,3,골목상권,2110209,답십리 장령당공원,2,,,,,,,,,
1209,3,전통시장,2130252,영등포로타리지하도상점가,2,,,,,,,,,
1210,3,골목상권,2110523,홍제성원아파트,2,,,,,,,,,
1211,3,전통시장,2130079,한아름시장,2,,,,,,,,,
1212,3,골목상권,2110009,자하문터널,3,,,,,,,,,
1213,3,골목상권,2110984,포이초등학교(개포목련어린이공원),10,,,,,,,,,
1214,3,골목상권,2110771,대림역 11번,3,1.0,,,,,,,,
1215,3,골목상권,2110362,우이천 계성교,14,,,,,,,,,
1216,3,전통시장,2130040,남평화시장,1,,,,,1.0,,,,
1217,3,골목상권,2111019,한성백제역 3번,7,,,,,,,,,
1218,3,골목상권,2110970,학동초등학교,1,,,,,,,,,
1219,3,골목상권,2110844,흑석2치안센터,2,1.0,,,,,,,,
1220,3,골목상권,2110688,오류지구대,5,1.0,,,,,,,,
1221,3,골목상권,2110613,신정네거리역 4번,2,,,,,,,,,
1222,3,발달상권,2120140,문래동주민센터,11,1.0,2.0,,,,,,,
1223,3,전통시장,2130097,답십리 건축자재시장,2,,,,,,,,,
1224,3,골목상권,2110185,용두초등학교,3,,,,,,,,,
1225,3,골목상권,2110967,역삼역 8번,3,,,,,,,,,
1226,3,전통시장,2130293,봉천중앙시장,2,,,,,,,,,
1227,3,발달상권,2120135,양평역,4,,,,,,,,,
1228,3,골목상권,2110494,증산3교남측,3,,,,,,,,,
1229,3,전통시장,2130131,동북프라자,8,,,,,,,,,
1230,3,골목상권,2110530,아현역 1번,2,,,,,,,,,
1231,3,골목상권,2110285,홍대부중,6,,,,,,,,,
1232,3,발달상권,2120074,안암역,10,,,,,,,,,
1233,3,골목상권,2110045,동대문역사문화공원역 5번,8,,,,,,,,,
1234,3,골목상권,2110911,방배배수지체육공원,4,,,,,,,,,
1235,3,골목상권,2110917,서초소방서,3,,,,,,,,,
1236,3,골목상권,2110929,남부터미널역 1번,7,,,,,,,,,
1237,3,전통시장,2130264,상도약수골목형상점가,2,,,,,,,,,
1238,3,골목상권,2110978,도곡2동주민센터(대치중학교),3,1.0,1.0,,,,,,,
1239,3,골목상권,2110698,개웅초등학교(개웅중학교),14,,,,,,,,,
