,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
0,1,골목상권,2110456,구산보건지소,17,2.0,,,,,,,,
1,1,관광특구,1001496,강남 마이스 관광특구,34,1.0,8.0,,1.0,,,,,
2,1,골목상권,2110548,마포구청역 4번,7,,,,,,,,,
3,1,전통시장,2130011,충신시장,3,,,,,,,,,
4,1,골목상권,2110685,금강수목원아파트,4,,,,,,,,,
5,1,골목상권,2110516,정원여중,10,,,,,,,,,
6,1,전통시장,2130304,신사상가,7,,1.0,,,1.0,,,,
7,1,전통시장,2130289,봉일시장,3,,,,,,,,,
8,1,골목상권,2110148,어린이대공원역 3번,1,,,,,,,,,
9,1,전통시장,2130039,청계6가 지하도상가,1,,,,,,,,,
10,1,전통시장,2130028,을지입구지하상가(을지로지하보도쇼핑센터),1,,,,,,,,,
11,1,골목상권,2110231,장안교,2,,,,,,,,,
12,1,골목상권,2110894,관악동부센트레빌아파트(은천로35라길),1,,,,,,,,,
13,1,골목상권,2110621,목동역 5번,6,,,,,,,,,
14,1,골목상권,2110754,삼성산자연공원(서울금천초등학교),16,1.0,,,,,,,,
15,1,골목상권,2110849,이수역 10번,15,1.0,,,,1.0,,,,
16,1,발달상권,2120134,구로전화국,40,,1.0,,,,,,,
17,1,골목상권,2110752,한울중학교,30,,,,,,,,,
18,1,골목상권,2110202,전농1동주민센터(전농시장),9,1.0,,,,,,,,
19,1,골목상권,2110682,온수역 8번,14,,1.0,,,,,,,
20,1,전통시장,2130225,개봉중앙시장,25,1.0,2.0,,,1.0,,,,
21,1,발달상권,2120124,개봉동 현대아파트,66,4.0,2.0,,,1.0,,,,
22,1,발달상권,2120130,구로디지털단지역,50,,1.0,,,,,,,
23,1,발달상권,2120127,구로구청,22,1.0,3.0,,,,,,,
24,1,발달상권,2120129,구로디지털단지,76,5.0,16.0,,,,,,,
25,1,골목상권,2110664,강서구청옆,5,,,,,,,,,
26,1,골목상권,2110668,화곡2동주민센터,21,2.0,,,,,,,,
27,1,골목상권,2110667,가양역 10번,16,,,,,,,,,
28,1,발달상권,2120119,발산역(마곡),105,,7.0,,,,,,,
29,1,골목상권,2110665,곰달래도서관,15,1.0,,,,,,,,
30,1,골목상권,2110645,우장산역 4번,29,2.0,,,,,11.0,,,
31,1,골목상권,2110677,등촌역 1번,1,,,,,,,,,
32,1,골목상권,2110662,까치산역 1번,24,1.0,,,,,,,,
33,1,골목상권,2110602,신월시영아파트중문,9,,1.0,,,,,,,
34,1,발달상권,2120108,신정네거리역,66,1.0,3.0,,,,,,,
35,1,골목상권,2110703,개봉역,31,,1.0,,,,,,,
36,1,전통시장,2130210,목2동시장,26,1.0,1.0,,,,,,,
37,1,전통시장,2130021,신설종합시장,1,,,,,1.0,,,,
38,1,골목상권,2110343,무너미어린이공원,11,,,,,,,,,
39,1,골목상권,2111024,경찰병원역 4번(건너말공원),1,,,,,,,,,
40,1,전통시장,2130001,통인시장,2,,1.0,,,,,,,
41,1,골목상권,2110616,양목초등학교,1,,,,,,,,,
42,1,전통시장,2130009,마전교지하쇼핑센터(구 한일상가),2,,,,,1.0,,,,
43,1,골목상권,2110971,선정릉역 4번,1,,1.0,,,,,,,
44,1,골목상권,2110341,북한산우이역 2번,13,,,1.0,,,,,,
45,1,골목상권,2110417,월계역 3번,3,,,,,,,,,
46,1,전통시장,2130090,청량리종합시장,9,,,,,,,,,
47,1,골목상권,2110217,자동차부품상가,1,,,,,,,,,
48,1,골목상권,2110524,연희세브란스병원,4,,,,,,,,,
49,1,골목상권,2110160,광진경찰서,2,1.0,,,,,,,,
50,1,골목상권,2110133,서울교통공사,2,1.0,,,,,,,,
51,1,전통시장,2130017,동대문상가C동,1,,,,,,,,,
52,1,전통시장,2130296,남부종합시장,1,,,,,1.0,,,,
53,1,골목상권,2110633,개화산역 1번,8,,1.0,,,,,,,
54,1,전통시장,2130104,전곡시장,6,,1.0,,,,,,,
55,1,골목상권,2110957,언북중학교,7,,,4.0,,,,,,
56,1,골목상권,2110435,서울과학기술대,2,,,,,,,,,
57,1,골목상권,2110055,황학동벼룩시장,5,,1.0,,,,,,,
58,1,골목상권,2110958,역삼역 4번,4,,,,,,,,,
59,1,골목상권,2111052,암사역 3번(천호동자전거거리),10,1.0,,,,,,,,
60,1,전통시장,2130277,조원동 펭귄시장(신림중앙시장),2,,,,,,,,,
61,1,골목상권,2110797,KT대방빌딩,8,,,,,,,,,
62,1,골목상권,2110367,강북구청,13,1.0,1.0,,,,,,,
63,1,전통시장,2130133,우이골목시장(우이시장),4,,,,,,,,,
64,1,골목상권,2110332,돌곶이역 3번,2,,,,,,,,,
65,1,골목상권,2110328,상월곡역 3번,5,2.0,,,,,,,,
66,1,전통시장,2130109,묵1동도깨비시장,3,,,,,,,,,
67,1,골목상권,2110233,중랑역 1번,13,,,,,1.0,,,,
68,1,골목상권,2110047,다산성곽길,4,1.0,,,,,,,,
69,1,전통시장,2130008,종오지하쇼핑센터,2,,,,,,,,,
70,1,골목상권,2110008,배화여자대학교(박노수미술관),11,,,1.0,,,,,,
71,1,전통시장,2130237,박미시장(기능상실),1,1.0,,,,,,,,
72,1,골목상권,2110975,매봉역 1번,12,,,,,,,,,
73,1,전통시장,2130184,마포농수산물시장,5,,,,,1.0,,,,
74,1,골목상권,2110038,경향신문사,6,2.0,,,,,,,,
75,1,골목상권,2110292,정릉역 2번,12,3.0,1.0,,,,,,,
76,1,골목상권,2110442,화랑대철도공원,2,,,,,,,,,
77,1,전통시장,2130098,회기시장,12,1.0,2.0,,,,,,,
78,1,골목상권,2110232,동대부고,11,,,,,,,,,
79,1,골목상권,2110019,창덕궁,10,,,,,,,,,
80,1,골목상권,2110021,성균관대학교,9,,,1.0,,,,,,
81,1,골목상권,2110433,공릉역 2번,5,,,,,,,,,
82,1,골목상권,2110608,신월2동주민센터,8,1.0,,,,,,,,
83,1,골목상권,2111022,석촌중학교(방이육교),1,,,,,,,,,
84,1,골목상권,2110790,대림1동주민센터,16,2.0,,,,,,,,
85,1,전통시장,2130194,용강동 상점가,7,,1.0,,,,,,,
86,1,골목상권,2110495,북가좌2동주민센터,22,1.0,,,,,,,,
87,1,골목상권,2110340,인수중학교,5,,,,,,,,,
88,1,골목상권,2110539,미근동,9,2.0,1.0,,,,,,,
89,1,골목상권,2110346,4.19민주묘지역 2번,12,,,1.0,,,,,,
90,1,골목상권,2110312,안암역 2번,8,,1.0,1.0,,,,,,
91,1,발달상권,2120059,구삼강변맛길,24,2.0,1.0,,,1.0,,,,
92,1,골목상권,2110101,옥정중학교,6,,,,,,,,,
93,1,골목상권,2110104,신금호역 4번,6,,,,,,,,,
94,1,골목상권,2110049,장충단 고개,5,,,,,,,,,
95,1,골목상권,2110107,금호사거리,7,,,,,,,,,
96,1,골목상권,2111035,오금공원(오주중학교),3,,,,,,,,,
97,1,발달상권,2120236,장지역(가든파이브),39,2.0,2.0,,,,,,,
98,1,골목상권,2111033,문정동성당,8,,,,,,,,,
99,1,골목상권,2111085,묘곡초등학교(고덕아이파크아파트),13,1.0,,,,,,,,
100,1,골목상권,2110968,강남구청역 2번,3,,,,,,,,,
101,1,골목상권,2110822,신대방삼거리역 4번(대림초등학교),5,,,,,,,,,
102,1,전통시장,2130263,신노량진시장(기능상실),3,,,,,,,,,
103,1,골목상권,2110750,시흥4동주민센터(서울신흥초등학교),14,1.0,1.0,,,,,,,
104,1,발달상권,2120177,신논현역 1번,8,2.0,,,,,,,,
105,1,골목상권,2110733,금천어울림복지센터,4,,,,,,,,,
106,1,골목상권,2110727,독산역 1번 출입구,5,,,,,,,,,
107,1,골목상권,2110624,목동문화체육센터,3,1.0,,,,,,,,
108,1,골목상권,2110459,응암역 2번,9,,1.0,,,,,,,
109,1,골목상권,2110482,연신초등학교,3,1.0,,,,,,,,
110,1,골목상권,2110303,성신여대입구역 1번,7,1.0,,,,,,,,
111,1,골목상권,2111001,아래방죽마을공원(율현초등학교),10,,,,,,,,,
112,1,골목상권,2110876,서원동주민센터(신관중학교),7,1.0,,,,,,,,
113,1,전통시장,2130226,고척프라자,5,,,,,,,,,
114,1,골목상권,2110585,마포경찰서,7,1.0,,,,,,,,
115,1,골목상권,2110439,당고개역 5번,9,1.0,,,,,,,,
116,1,골목상권,2110407,도봉역 2번,37,2.0,,,,,,,,
117,1,골목상권,2110408,가인초등학교,14,,1.0,,,,,,,
118,1,골목상권,2110213,청량초등학교,11,,1.0,2.0,,,,,,
119,1,골목상권,2110214,경희대후문,13,1.0,,7.0,,,,,,
120,1,골목상권,2110026,종로5가역 4번,4,2.0,,,,,,,,
121,1,골목상권,2110025,충신시장옆,6,1.0,,,,,,,,
122,1,골목상권,2110198,동대문중앙새마을금고본점,3,,,,,,,,,
123,1,전통시장,2130095,청량리전통시장,15,,,,,,,,,
124,1,골목상권,2110206,텃골근린공원,8,1.0,,,,,,,,
125,1,골목상권,2110390,방학초등학교,16,1.0,1.0,,,,,,,
126,1,골목상권,2110006,부암동주민센터,4,1.0,,,,,,,,
127,1,골목상권,2110220,외대앞역 1번,27,,,,,,,,,
128,1,골목상권,2110226,장안1동주민센터,23,2.0,1.0,,,,,,,
129,1,골목상권,2111030,방이역 2번,8,1.0,,,,,,,,
130,1,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",75,4.0,5.0,,,,,,,
131,1,골목상권,2110424,상계초등학교,14,,,,,,,,,
132,1,전통시장,2130287,삼성동 시장(삼성동시장),4,,,,,,,,,
133,1,골목상권,2110862,난곡초등학교(난곡동벽화마을),12,,,,,,,,,
134,1,골목상권,2110891,구암초등학교,8,,,,,,,,,
135,1,골목상권,2110864,신림우방아파트,3,,,,,,,,,
136,1,골목상권,2110855,신대방역 2번,35,,,,,,,,,
137,1,전통시장,2130255,영등포전통시장,9,,,,,,,,,
138,1,골목상권,2110766,대림역 5번,5,,,,,,,,,
139,1,발달상권,2120142,대림역,57,2.0,5.0,,,,,,,
140,1,골목상권,2110812,신길6동주민센터,10,,,,,,,,,
141,1,골목상권,2110787,신길3동주민센터,18,1.0,1.0,,,,,,,
142,1,전통시장,2130256,신동시장,3,,,,,,,,,
143,1,골목상권,2110757,양평역 2번,9,,1.0,,,,,,,
144,1,골목상권,2110590,만리재,13,,,,,,,,,
145,1,발달상권,2120106,마포역,45,1.0,9.0,,,,,,,
146,1,골목상권,2110544,망리단길,41,1.0,,,,,,,,
147,1,발달상권,2120104,연남동(홍대),66,1.0,4.0,1.0,,,,,,
148,1,골목상권,2110577,용강동주민센터,12,2.0,,,,,,,,
149,1,골목상권,2110883,은천초등학교(은천교앞),17,,,,,,,,,
150,1,골목상권,2110517,서대문소방서,6,,,,,,,,,
151,1,골목상권,2110552,성미산체육관,11,2.0,,,,,,,,
152,1,발달상권,2120093,연희동,37,,4.0,,,,,,,
153,1,전통시장,2130193,신수시장,3,,,,,,,,,
154,1,골목상권,2110542,마포구청역 7번,18,2.0,,,,,,,,
155,1,골목상권,2110500,남가좌동현대아파트,7,,,,,,,,,
156,1,골목상권,2110507,명지대학교,15,2.0,1.0,,,,,,,
157,1,전통시장,2130242,대림중앙 골목형상점가,3,,,,,,,,,
158,1,골목상권,2110566,경의선책거리,24,2.0,3.0,1.0,,,,,,
159,1,전통시장,2130135,수유중앙골목시장(수유중앙시장),5,,,,,,,,,
