,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대00~06생활인구수,시간대06~11생활인구수,시간대11~14생활인구수,시간대14~17생활인구수,시간대17~21생활인구수,시간대21~24생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대00~06유동인구수,시간대06~11유동인구수,시간대11~14유동인구수,시간대14~17유동인구수,시간대17~21유동인구수,시간대21~24유동인구수,총유동인구수,분기코드,행정동코드
0,1001491,1572260,846401.0,725854.0,155727.0,142608.0,154491.0,164010.0,229565.0,421251.0,304603.0,226262.0,94312.0,325430.0,286436.0,415261.0,224559.0,810113.0,678205.0,16963.0,590020.0,489173.0,180778.0,143258.0,68128.0,44339735575,22968856088.0,21370467494.0,3979447354.0,3598947403.0,4099394711.0,4631486400.0,6659580220.0,12681519437.0,8688948057.0,7213049874.0,1203744767.0,6649688117.0,5933535936.0,13873916937.0,9465799944.0,22150183356.0,16744830197.0,340359165.0,15025215998.0,13368905826.0,4744583526.0,3627493527.0,1788455496.0,699.0,1932414,970165,962249.0,125978.0,477674.0,475694.0,322464.0,237115.0,293490.0,386686.0,344206,267076,289866,391413.0,253167.0,254239.0,250796.0,255809.0,261940.0,286186.0,333111.0,290333.0,5839.0,63.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,97967,696565,473446,637331,1077806,498871,3481986,4,11170650
1,1001492,7032627,5858440.0,1174187.0,1024201.0,1193116.0,1212992.0,1212806.0,1215325.0,729984.0,444203.0,20363.0,1175334.0,3112519.0,1128812.0,1285629.0,309970.0,3099273.0,3085033.0,55554.0,1371485.0,1887461.0,1438564.0,924040.0,507232.0,165189668249,135584703864.0,29604964385.0,21963042073.0,27614240430.0,28307737796.0,29134868851.0,28564814714.0,18649826307.0,10955138078.0,1558648165.0,7677233865.0,60573938349.0,19580516007.0,52553472037.0,23245859826.0,62794075527.0,49962678931.0,759379066.0,21098091805.0,31867256254.0,27167929051.0,19296213917.0,12567884356.0,1665.0,4667755,2345370,2322385.0,228777.0,839000.0,1165914.0,1041428.0,724056.0,668582.0,282967.0,971749,1115202,1119293,925074.0,253470.0,679317.0,768449.0,774811.0,784367.0,764916.0,503227.0,392668.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,259838,6251116,3028660,3707418,6838800,1808023,21893855,4,11140520
2,1001493,1544386,1165321.0,379065.0,212421.0,228910.0,239830.0,246225.0,237935.0,211432.0,167633.0,82344.0,159549.0,479970.0,278087.0,402755.0,141681.0,694275.0,764808.0,18585.0,389941.0,423213.0,276647.0,230494.0,120200.0,25626844453,18890192113.0,6736652340.0,3351867796.0,3544187806.0,3787358745.0,3959755713.0,4247022053.0,3955913220.0,2780739120.0,1306342992.0,1575116177.0,7677389539.0,3978539622.0,8098415851.0,2991040272.0,11654817093.0,10692576140.0,221737645.0,5384522304.0,6098651005.0,4420953969.0,3836427277.0,2385101029.0,519.0,3249964,1534697,1715268.0,159801.0,553169.0,792382.0,652721.0,508656.0,583237.0,713818.0,656245,486928,464319,527135.0,401520.0,503703.0,522616.0,525575.0,525777.0,483198.0,339784.0,349309.0,6054.0,149.0,3.0,12.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,312860,2956891,2130916,2384259,3010817,1066861,11862604,4,11140590
3,1001494,3009799,2260010.0,749789.0,395609.0,447530.0,456410.0,460348.0,500113.0,474541.0,275248.0,57884.0,253955.0,1086701.0,531650.0,779515.0,300094.0,1524096.0,1199474.0,20106.0,659151.0,708279.0,520006.0,455575.0,360442.0,81360054257,59515021858.0,21845032399.0,9428814113.0,11178220080.0,12062501975.0,12493124657.0,14352361033.0,14288286721.0,7556745678.0,2942285785.0,2188058591.0,19423899931.0,9962901146.0,30526083369.0,16316825435.0,40804737825.0,24902133614.0,334009594.0,15117854762.0,17385512941.0,12353292748.0,10985295315.0,9530906069.0,1035.0,3957665,2127522,1830142.0,153739.0,683891.0,754661.0,740487.0,714745.0,910141.0,454100.0,764869,816677,826502,772949.0,322568.0,584215.0,632025.0,633852.0,637559.0,635029.0,473775.0,361210.0,32935.0,243.0,5.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,188742,4473529,3784701,4247394,5453726,1487090,19635182,4,11110615
4,1001495,2552695,1633562.0,919121.0,307377.0,307151.0,322712.0,320910.0,375412.0,508024.0,411097.0,90042.0,201885.0,682927.0,544030.0,761915.0,271896.0,1162857.0,1252556.0,63075.0,689839.0,690883.0,461712.0,304552.0,205348.0,67127074825,41632550609.0,25494081477.0,7321708673.0,7808881194.0,7896134132.0,8357862648.0,10247963962.0,14433161007.0,11060920470.0,4724833456.0,2214970193.0,12979779357.0,9761523121.0,24206633987.0,13239334711.0,31998579286.0,26886923432.0,855502045.0,16861215918.0,16986848318.0,10625440142.0,7693648816.0,5862847482.0,742.0,3632727,1757144,1875581.0,420460.0,782581.0,868287.0,604063.0,446690.0,510646.0,609917.0,661280,560811,591956,790967.0,417796.0,498146.0,511833.0,518698.0,520540.0,535444.0,549320.0,498745.0,24375.0,149.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14849,231566,119472,146958,226226,79155,818226,4,11710566
5,1001496,1793519,1285122.0,508100.0,224431.0,241501.0,262123.0,274504.0,282563.0,273298.0,234802.0,598.0,174666.0,668673.0,402264.0,508968.0,38350.0,636358.0,943123.0,27214.0,427809.0,528522.0,315744.0,197871.0,82314.0,43212987539,28868185039.0,14339691785.0,4503432541.0,4704993049.0,6148902832.0,6608214848.0,6902641769.0,7844380219.0,6495311566.0,6506285.0,1179261567.0,14386457334.0,9268416382.0,16000611999.0,2371733972.0,15700911391.0,18671333172.0,428320543.0,8406615756.0,11650500282.0,7397138296.0,4339150493.0,2150519183.0,219.0,112658,55901,56757.0,8418.0,23312.0,31050.0,25243.0,14171.0,10465.0,6927.0,21425,26597,27297,24047.0,6364.0,15275.0,17149.0,17951.0,18478.0,18144.0,13757.0,11903.0,15904.0,34.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97471,1876586,904782,1110564,1884407,540901,6414711,4,11680580
6,2110001,38151,23817.0,14334.0,4017.0,4297.0,5266.0,4869.0,5368.0,8022.0,6312.0,43.0,7732.0,16571.0,6657.0,6912.0,236.0,20933.0,13816.0,115.0,1615.0,3885.0,7482.0,12028.0,9632.0,1016907125,576819680.0,440087445.0,104253739.0,84027066.0,174743936.0,101093718.0,112701221.0,270817983.0,169269462.0,1853192.0,118036403.0,465711011.0,173086813.0,243435404.0,14784302.0,462861750.0,299618322.0,1514058.0,26012009.0,76852365.0,151709983.0,260999150.0,245392504.0,16.0,179890,77520,102371.0,32520.0,19380.0,18694.0,27893.0,28419.0,52986.0,46661.0,38082,20225,21164,29951.0,23808.0,25766.0,24959.0,24786.0,25388.0,24645.0,26979.0,27365.0,1066.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7755,132418,84602,107861,117534,41993,492163,4,11110560
7,2110002,80868,58816.0,22052.0,11366.0,11159.0,12959.0,11890.0,11442.0,12638.0,9414.0,82.0,13784.0,24711.0,14704.0,22530.0,5057.0,34819.0,41375.0,766.0,9637.0,13978.0,15959.0,20720.0,15136.0,1517636127,1170393690.0,347242437.0,188896238.0,226845757.0,247806895.0,232840389.0,274004411.0,210087647.0,137154790.0,2904760.0,308361768.0,451408144.0,233681101.0,427769017.0,93511337.0,583472983.0,526906013.0,3892115.0,100090049.0,170850887.0,239023716.0,335380487.0,261141744.0,20.0,323459,147471,175987.0,62362.0,40528.0,38874.0,46297.0,47490.0,87908.0,71566.0,70387,42369,43197,56712.0,39227.0,46097.0,47190.0,47695.0,47219.0,46988.0,45170.0,43100.0,475.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65876,838785,473908,530777,650568,229472,2789386,4,11110570
8,2110003,32921,24199.0,8722.0,4815.0,5000.0,4667.0,4538.0,5179.0,5165.0,3557.0,970.0,3612.0,9648.0,5680.0,8617.0,3920.0,16942.0,13436.0,420.0,3312.0,4877.0,7681.0,7167.0,6924.0,769475354,540276851.0,229198503.0,92807344.0,111882241.0,110182068.0,101863253.0,123541945.0,147207337.0,81991166.0,63238744.0,32021562.0,148499568.0,77016870.0,240961014.0,198489322.0,407747675.0,258214463.0,10548008.0,74374737.0,109180063.0,148738738.0,147771162.0,175349428.0,32.0,331722,150283,181439.0,68467.0,38333.0,32990.0,52919.0,50870.0,88143.0,107916.0,70774,33285,31692,44469.0,43586.0,47280.0,47473.0,47342.0,47084.0,47241.0,47353.0,47947.0,485.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22092,389972,258892,312799,359134,120506,1463395,4,11110550
9,2110004,10795,7096.0,3699.0,1330.0,1193.0,1329.0,1673.0,1571.0,1974.0,1725.0,0.0,1360.0,2812.0,1549.0,4482.0,592.0,4474.0,2772.0,22.0,380.0,946.0,1256.0,1920.0,2726.0,639004476,332559086.0,306445390.0,56209951.0,64056422.0,54217611.0,71092724.0,86982378.0,199936577.0,106508813.0,0.0,17592836.0,196955593.0,93572033.0,289635160.0,41248854.0,321285608.0,148520033.0,470320.0,22387269.0,58210608.0,88386811.0,125214447.0,175136186.0,4.0,379929,175890,204039.0,75217.0,43815.0,49331.0,62993.0,56587.0,91985.0,76774.0,79914,50029,52115,72836.0,48263.0,53705.0,54390.0,54430.0,54063.0,54298.0,54849.0,54194.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116766,1187929,676033,790621,939417,331369,4042135,4,11110570
