,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대00~06생활인구수,시간대06~11생활인구수,시간대11~14생활인구수,시간대14~17생활인구수,시간대17~21생활인구수,시간대21~24생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대00~06유동인구수,시간대06~11유동인구수,시간대11~14유동인구수,시간대14~17유동인구수,시간대17~21유동인구수,시간대21~24유동인구수,총유동인구수,분기코드,행정동코드
0,1001491,2053938,1122926.0,931012.0,202366.0,175295.0,197377.0,212255.0,335633.0,508185.0,422827.0,364976.0,100115.0,345053.0,337881.0,560623.0,345290.0,1053943.0,919467.0,22342.0,836387.0,659272.0,215501.0,165035.0,74873.0,58494213477,31696541856.0,26797671621.0,5275071924.0,4800589739.0,5470148515.0,6149972505.0,10000759173.0,14945881905.0,11851789716.0,10177399965.0,1498421580.0,7399606207.0,7137803714.0,18687105623.0,13593876388.0,29555731663.0,23863059847.0,466365639.0,22025910436.0,18561981948.0,5951723671.0,4407607669.0,2005202157.0,680.0,2108170,1048246,1059925.0,132557.0,608541.0,516877.0,322141.0,231047.0,297007.0,469819.0,349035,264136,289409,429441.0,306329.0,269641.0,261196.0,270391.0,278963.0,313242.0,371886.0,342851.0,5839.0,63.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,148029,698756,478057,621719,1125521,611127,3683209,3,11170650
1,1001492,6877364,5860504.0,1016860.0,1022456.0,1161732.0,1204960.0,1212831.0,1258525.0,600195.0,416665.0,20629.0,1251001.0,3057894.0,1074220.0,1187807.0,285813.0,3081694.0,2996989.0,37809.0,1310710.0,1906191.0,1434299.0,908344.0,481324.0,145960232854,122892633946.0,23067598908.0,19921534907.0,24185482326.0,25559606690.0,26323929135.0,26902080888.0,13495354532.0,9572244376.0,1367581004.0,7855423256.0,56982927516.0,17416418202.0,42725626499.0,19612256377.0,57123301565.0,45202712820.0,471424534.0,18506959349.0,30360617206.0,25124614919.0,17368534179.0,10493864189.0,1656.0,4367217,2224106,2143112.0,197079.0,803497.0,1099102.0,976313.0,679434.0,611795.0,296674.0,964673,1043639,1021464,802848.0,237920.0,659203.0,731186.0,747350.0,748228.0,708085.0,426622.0,346542.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,236385,5884842,2642608,3097027,5965200,1495243,19321305,3,11140520
2,1001493,1577850,1207126.0,370724.0,219589.0,236916.0,249235.0,252971.0,248415.0,196983.0,173741.0,83848.0,167396.0,485018.0,279807.0,414325.0,147456.0,712705.0,797384.0,18146.0,399670.0,439916.0,293196.0,233341.0,125831.0,24766548680,18474952005.0,6291596675.0,3146629850.0,3514007605.0,3731054003.0,3867296759.0,4215963788.0,3541725261.0,2749871414.0,1278048519.0,1586607022.0,7712938959.0,3743101186.0,7571931560.0,2873921434.0,11593676797.0,10763027346.0,208474597.0,5387944227.0,6103540909.0,4539340311.0,3751647856.0,2365756253.0,517.0,3028657,1419622,1609037.0,154373.0,521012.0,726519.0,607132.0,475170.0,544452.0,648852.0,616758,457079,437709,496812.0,371449.0,461027.0,492909.0,500811.0,493398.0,444803.0,315138.0,320572.0,6054.0,149.0,3.0,12.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,287218,2851171,1978510,2164517,2812363,999309,11093088,3,11140590
3,1001494,2954413,2299860.0,654553.0,393735.0,436702.0,458646.0,479192.0,531585.0,396980.0,257573.0,48275.0,280058.0,1083217.0,507689.0,751219.0,283955.0,1469054.0,1225102.0,17587.0,670744.0,706763.0,514576.0,442539.0,341968.0,70179829920,53217418590.0,16962411330.0,8473849041.0,9672241917.0,10770651700.0,11241716498.0,13058959434.0,10577472396.0,6384938934.0,2560018559.0,1827101264.0,17948244031.0,8276302457.0,25512048365.0,14056115244.0,35421130011.0,22365110751.0,261689578.0,13511970131.0,15582178036.0,11034076423.0,9392994303.0,8003332311.0,1036.0,3847828,2058936,1788892.0,156328.0,693404.0,724426.0,704612.0,685375.0,883685.0,444350.0,763158,789190,792496,745864.0,312772.0,569367.0,613810.0,625220.0,631340.0,612665.0,446058.0,349369.0,32935.0,243.0,5.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,178222,4322590,3460719,3714242,4978188,1350373,18004334,3,11110615
4,1001495,2599814,1715838.0,883976.0,326994.0,315353.0,331470.0,332553.0,409468.0,459254.0,424722.0,88579.0,217423.0,669426.0,553209.0,803731.0,267446.0,1193060.0,1279401.0,50621.0,670746.0,715829.0,500293.0,317772.0,217204.0,62768355793,40673152329.0,22095203464.0,7261479573.0,7179772676.0,7718604192.0,8149765967.0,10363529921.0,11857340398.0,10237863066.0,4675181714.0,2266032101.0,12055809285.0,8871234633.0,22466385975.0,12433712085.0,30437607423.0,25340488982.0,632193821.0,15449340278.0,16420502003.0,10599500747.0,7080015484.0,5596544067.0,736.0,3462257,1669214,1793043.0,386966.0,763874.0,832217.0,569446.0,424261.0,485492.0,586315.0,639204,526430,554049,752595.0,403665.0,484642.0,493251.0,503128.0,504169.0,509741.0,503826.0,463502.0,24375.0,149.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13762,223462,105061,125835,215851,78465,762436,3,11710566
5,1001496,1870471,1331692.0,538779.0,239200.0,245906.0,259337.0,274667.0,312582.0,277907.0,260872.0,345.0,182409.0,696058.0,425063.0,526653.0,39943.0,668025.0,993503.0,27184.0,459316.0,547511.0,333230.0,209742.0,84546.0,43736562550,28778125275.0,14958437275.0,4749425398.0,4617314998.0,6057715488.0,6118642968.0,7235026423.0,7891612524.0,7066824751.0,1936937.0,1174077589.0,14988572682.0,9712288582.0,15929995820.0,1929690940.0,16057808501.0,19872061126.0,434314837.0,8947473550.0,12203059143.0,7609467490.0,4608649794.0,2126904826.0,217.0,112779,55430,57349.0,9270.0,24016.0,30650.0,24891.0,13753.0,10199.0,6759.0,21284,26523,27652,24056.0,6504.0,15622.0,16729.0,17618.0,18382.0,17770.0,14152.0,12509.0,15904.0,34.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,94713,1863405,870589,1052999,1866933,541492,6290131,3,11680580
6,2110001,19464,13306.0,6158.0,2352.0,2383.0,2840.0,2916.0,2815.0,3323.0,2835.0,0.0,460.0,8781.0,4283.0,5598.0,316.0,10248.0,6780.0,118.0,1298.0,2486.0,3772.0,4446.0,4910.0,558085918,337481201.0,220604717.0,63510357.0,51025876.0,66729599.0,77111737.0,79103632.0,103336018.0,117268699.0,0.0,7257869.0,217975344.0,102743589.0,211211681.0,17772469.0,274071208.0,175855678.0,1594220.0,19046437.0,56950400.0,93663318.0,125018363.0,153654148.0,13.0,167429,73349,94081.0,28524.0,18267.0,17572.0,26132.0,27019.0,49916.0,43329.0,35402,19046,19838,27849.0,21965.0,23879.0,23496.0,23288.0,23188.0,23411.0,24819.0,25349.0,1066.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7786,124471,76341,90769,109186,39480,448033,3,11110560
7,2110002,82908,62348.0,20560.0,11583.0,11847.0,13146.0,12114.0,13658.0,11383.0,9177.0,86.0,14258.0,25132.0,15336.0,23036.0,5060.0,36462.0,42482.0,925.0,11019.0,14428.0,17998.0,19334.0,15236.0,1371479460,1072022738.0,299456722.0,159339221.0,167339143.0,287696259.0,178832610.0,278815505.0,183649618.0,115807104.0,3643384.0,259887813.0,390822003.0,209530231.0,408636013.0,98960016.0,572269582.0,515272799.0,5017519.0,101587841.0,175440511.0,269685939.0,288099868.0,247710703.0,20.0,329732,151616,178116.0,64124.0,43716.0,39707.0,46688.0,49146.0,86352.0,73639.0,71081,42577,43845,58049.0,40542.0,47658.0,48568.0,48229.0,47669.0,47744.0,45623.0,44243.0,475.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67926,791178,440039,491655,633549,230423,2654770,3,11110570
8,2110003,26485,19369.0,7116.0,3757.0,3712.0,3805.0,3835.0,4260.0,3829.0,3287.0,787.0,4403.0,6969.0,4444.0,6854.0,2904.0,13978.0,10918.0,103.0,2718.0,3489.0,6577.0,5878.0,6130.0,588855613,424447284.0,164408329.0,77590664.0,83205180.0,80965047.0,93031879.0,89654514.0,90233690.0,74174639.0,53435123.0,40567435.0,101036731.0,62317631.0,191844172.0,136422470.0,333623568.0,193245146.0,696066.0,66986950.0,85003138.0,109574342.0,126030696.0,138577522.0,28.0,362640,164115,198525.0,70277.0,40800.0,38416.0,59649.0,55128.0,98371.0,117990.0,76434,36057,35170,49647.0,47339.0,51780.0,51620.0,51656.0,51812.0,50718.0,52219.0,52835.0,485.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21870,328650,199056,244283,307496,106518,1207873,3,11110550
9,2110004,11563,7331.0,4232.0,1111.0,1065.0,1554.0,1688.0,1913.0,1935.0,2297.0,0.0,1429.0,3572.0,1499.0,4517.0,546.0,5055.0,3061.0,15.0,448.0,1129.0,1561.0,2110.0,2853.0,585031795,333817289.0,251214506.0,43241668.0,64569642.0,67449395.0,74317417.0,84239167.0,138657608.0,112556898.0,0.0,20390109.0,146069865.0,96193677.0,287600088.0,34778056.0,286834567.0,182713779.0,153269.0,18097776.0,67515232.0,91337149.0,123413958.0,169030961.0,5.0,376898,176647,200251.0,75637.0,43871.0,49402.0,62903.0,55683.0,89403.0,76046.0,79200,49536,51734,72278.0,48102.0,53615.0,54208.0,54440.0,54064.0,53709.0,53338.0,53522.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119727,1132104,633971,731445,920889,330120,3868256,3,11110570
