,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
0,3,관광특구,1001496,강남 마이스 관광특구,112779,55430,57349,9270,24016,30650,24891,13753,10199,6759,21284,26523,27652,24056,6504,15622,16729,17618,18382,17770,14152,12509
1,3,관광특구,1001495,잠실 관광특구,3462257,1669214,1793043,386966,763874,832217,569446,424261,485492,586315,639204,526430,554049,752595,403665,484642,493251,503128,504169,509741,503826,463502
2,3,관광특구,1001494,종로?청계 관광특구,3847828,2058936,1788892,156328,693404,724426,704612,685375,883685,444350,763158,789190,792496,745864,312772,569367,613810,625220,631340,612665,446058,349369
3,3,관광특구,1001493,동대문패션타운 관광특구,3028657,1419622,1609037,154373,521012,726519,607132,475170,544452,648852,616758,457079,437709,496812,371449,461027,492909,500811,493398,444803,315138,320572
4,3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4367217,2224106,2143112,197079,803497,1099102,976313,679434,611795,296674,964673,1043639,1021464,802848,237920,659203,731186,747350,748228,708085,426622,346542
5,3,관광특구,1001491,이태원 관광특구,2108170,1048246,1059925,132557,608541,516877,322141,231047,297007,469819,349035,264136,289409,429441,306329,269641,261196,270391,278963,313242,371886,342851
6,3,전통시장,2130326,고덕 골목형상점가,140332,64196,76136,26379,13049,22850,25679,19787,32587,33586,30929,16979,16926,24248,17663,19967,20241,20307,20391,20302,19747,19376
7,3,전통시장,2130325,명일전통시장,203108,89846,113262,35654,21756,26649,33010,31538,54500,38231,39526,28311,28916,42337,25788,28386,29158,29257,29213,29350,28860,28885
8,3,전통시장,2130324,길동복조리시장,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171
9,3,전통시장,2130323,둔촌역전통시장,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023
10,3,전통시장,2130322,고분다리전통시장,254824,125456,129369,32889,32452,40365,35291,44157,69671,73172,52250,28375,28067,40849,32112,35995,35377,35096,35142,34931,37960,40325
11,3,전통시장,2130321,장신구 특화거리 상점가,177457,81863,95594,34362,21289,25577,30951,27386,37892,34269,37694,26913,26349,32649,19583,25743,25996,26122,25971,25655,23879,24094
12,3,전통시장,2130320,암사종합시장,127787,62156,65631,13462,15504,21348,21758,22610,33105,25032,23949,17386,18989,26740,15690,18023,18174,17929,18112,18383,18920,18246
13,3,전통시장,2130319,성내전통시장,710911,346382,364528,114675,76664,111565,110186,116078,181744,192752,139952,78308,83414,123900,92588,100183,97907,97560,96828,97702,107095,113635
14,3,전통시장,2130318,로데오거리상점가,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750
15,3,전통시장,2130317,마천중앙시장,447769,215692,232078,59757,44605,59827,60894,77844,144840,120008,87266,51094,52431,77785,59184,63322,62202,62054,61669,62856,66452,69214
16,3,전통시장,2130316,마천시장,43319,20868,22452,5707,4607,5769,6187,7454,13592,12295,8581,4758,4701,7111,5871,6181,6088,6084,6050,6115,6339,6462
17,3,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491
18,3,전통시장,2130314,풍납시장,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786
19,3,전통시장,2130313,방이시장,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065
20,3,전통시장,2130312,석촌시장,311851,148875,162976,52245,37858,62389,55320,44134,59907,61831,58591,42987,45237,63426,39779,44681,44422,44971,44761,44667,44488,43864
21,3,전통시장,2130311,새마을시장,842789,399472,443317,144467,128668,147168,145400,117548,159538,199097,156427,101088,110730,165038,110410,118049,119364,120137,119422,121086,126108,118624
22,3,전통시장,2130310,강남개포시장,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715
23,3,전통시장,2130309,은마종합상점가,35873,16950,18922,14826,2994,2616,6040,4390,5008,2221,5860,6458,7990,9978,3366,4966,4974,4889,5069,5071,5823,5080
24,3,전통시장,2130308,청담삼익시장,10376,5383,4993,963,1413,2266,2335,1672,1727,2536,2452,1332,1225,1428,1403,1477,1575,1607,1600,1558,1358,1202
25,3,전통시장,2130307,도곡시장,197784,89690,108094,70074,15981,16707,44777,26727,23518,37533,37272,24888,29582,41205,27305,27738,28097,28018,27968,27725,29161,29077
26,3,전통시장,2130306,강남언주로,152158,75352,76806,6374,32021,46392,32271,18953,16147,37362,34266,22337,21016,21542,15637,22726,23982,24168,23863,22398,17655,17370
27,3,전통시장,2130305,논현종합시장,31214,15974,15238,2261,6117,8793,6313,3689,4038,5199,6814,5122,5193,5629,3256,4624,4832,4844,4825,4645,3759,3685
28,3,전통시장,2130304,신사상가,16117,7106,9011,4361,1292,1417,2951,2463,3630,5753,3132,1538,1477,1943,2273,2362,2376,2386,2388,2364,2155,2084
29,3,전통시장,2130303,영동전통시장,414561,209284,205277,23514,98349,104666,79710,50753,57570,72709,76770,60197,62002,89756,53125,59024,62913,64203,64888,64457,53710,45368
30,3,전통시장,2130302,강남시장(강남구 강남시장),55872,26836,29036,4378,14438,13517,10478,6776,6286,7687,10095,9685,10100,12373,5935,7849,8428,8567,8593,8775,7599,6063
31,3,전통시장,2130301,양재시장,66548,33207,33343,7627,10297,15666,12490,8258,12212,10592,13697,11390,11286,12793,6791,10073,10684,10878,10741,10264,7248,6660
32,3,전통시장,2130300,강남터미널지하도상점가3구역,45985,18683,27301,6336,7564,7308,8381,7745,8651,2164,6941,9889,11476,12339,3177,6195,6250,6561,6496,6792,7263,6429
33,3,전통시장,2130299,엔터식스 강남점,40732,17045,23687,6621,6448,6632,7754,6323,6955,3867,6681,8115,8957,9862,3250,5574,5594,5703,5789,6020,6278,5773
34,3,전통시장,2130298,강남터미널지하도상점가2구역,59221,24665,34556,8488,10405,9857,10040,9498,10932,1686,9039,12965,15094,16473,3966,7918,8091,8385,8457,8981,9359,8031
35,3,전통시장,2130297,강남터미널지하도상점가1구역,78669,33973,44695,12805,13577,12927,12951,12096,14313,2748,12475,16603,19374,21761,5709,10564,10858,11148,11340,12130,12309,10319
36,3,전통시장,2130296,남부종합시장,40561,18997,21564,7642,4994,5133,8040,6197,8557,15372,8073,3529,3390,4907,5290,5747,5796,5773,5748,5714,5864,5918
37,3,전통시장,2130295,인헌시장(원당종합시장),272831,125971,146859,27727,57554,52575,38131,38432,58413,59232,49001,31822,35927,57598,39250,38441,38099,38015,38140,38209,40823,41103
38,3,전통시장,2130294,관악중부시장,282176,130326,151850,43363,50183,43018,39605,36531,69477,57969,57488,40074,41014,52526,33103,40280,40498,40740,40476,40386,40110,39685
39,3,전통시장,2130293,봉천중앙시장,58341,27792,30548,5734,13758,10415,8266,7729,12439,8258,11738,9418,9901,13010,6018,8246,8254,8278,8289,8408,8650,8214
40,3,전통시장,2130292,봉천현대시장,114537,52903,61633,23119,14056,18549,19666,13689,25458,21947,22292,15945,17424,24104,12825,15642,15506,15298,15568,15644,18434,18444
41,3,전통시장,2130291,봉천제일종합시장,21363,10287,11076,1632,5939,4109,2417,2758,4508,5182,4096,2508,2570,4018,2988,2986,3012,3046,3019,2981,3143,3177
42,3,전통시장,2130290,영림시장,555518,262026,293492,48577,137009,100823,67917,72207,128986,130132,112733,65968,67827,103826,75033,79617,80555,80634,80328,79710,78045,76630
43,3,전통시장,2130289,봉일시장,61494,29119,32375,6669,11889,10588,8573,9284,14490,13732,11631,7312,7838,12240,8742,8818,8687,8542,8500,8660,9029,9255
44,3,전통시장,2130288,신림현대종합상가,13484,6664,6821,1248,2673,2343,1940,1941,3340,3183,2702,1469,1688,2593,1850,1854,1836,1842,1840,1823,2103,2187
45,3,전통시장,2130287,삼성동 시장(삼성동시장),264384,137451,126933,21607,60128,47571,35876,35963,63239,55785,50030,34249,35916,53365,35039,37805,38118,37884,37826,37426,37976,37349
46,3,전통시장,2130286,신신림시장(삼성동시장),52383,27223,25159,4467,11746,9322,6997,6996,12854,11678,9718,6328,6419,10799,7442,7447,7502,7462,7471,7380,7557,7563
47,3,전통시장,2130285,서원동상점가,910804,475621,435184,72375,317239,185091,112150,96822,127129,110846,139016,124545,150413,242624,143361,121197,121595,126039,127152,135066,144364,135391
48,3,전통시장,2130284,관악종합시장(신원시장),73886,38421,35465,4388,22532,15388,9386,8819,13373,18781,12694,7743,8593,13911,12163,9895,9697,10057,10012,10284,11787,12155
49,3,전통시장,2130283,신원시장,988116,508353,479764,63837,302003,197663,124703,124310,175602,187091,165475,118319,136678,222717,157835,133061,130620,134826,134580,139666,157385,157978
50,3,전통시장,2130282,난곡 골목형상점가,134969,65044,69925,21905,17150,18459,20833,20043,36581,34397,27170,16068,16650,23709,16975,18927,18690,18506,18494,18532,20511,21310
