,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
33,1,전통시장,2130299,엔터식스 강남점,38888,16814,22075,6765,5807,6530,7511,5835,6440,4040,6534,7465,8357,9230,3262,5248,5337,5556,5581,5863,5892,5412
34,1,전통시장,2130298,강남터미널지하도상점가2구역,56047,24288,31758,8488,9595,9593,9662,8584,10125,1630,8854,12109,14280,15460,3715,7545,7706,8054,8147,8685,8567,7340
35,1,전통시장,2130297,강남터미널지하도상점가1구역,72771,32383,40389,12177,12221,12294,12147,10779,13153,2632,11914,15352,17984,19807,5082,9936,10130,10421,10728,11500,10849,9208
36,1,전통시장,2130296,남부종합시장,43270,20106,23164,8532,5065,5674,8536,6539,8923,15734,8825,4017,3810,5329,5554,6093,6120,6150,6154,6148,6294,6312
37,1,전통시장,2130295,인헌시장(원당종합시장),268951,123957,144994,26367,56352,52130,37810,36778,59514,54590,46045,31453,37292,59968,39602,37508,37163,37567,37367,37999,40749,40596
38,1,전통시장,2130294,관악중부시장,281669,131842,149827,41322,46973,45282,39459,36183,72450,56928,55650,39705,41436,54216,33734,40235,39805,39822,40167,40731,40775,40136
39,1,전통시장,2130293,봉천중앙시장,60938,29152,31786,6010,14303,11334,8259,7962,13070,8304,11878,9972,10636,13861,6288,8606,8490,8621,8640,8907,9136,8537
40,1,전통시장,2130292,봉천현대시장,82025,38344,43681,15339,10793,14335,13805,9674,18079,15694,15131,11390,13138,17706,8966,10836,10891,11070,10905,10984,13757,13583
41,1,전통시장,2130291,봉천제일종합시장,21123,10052,11071,1759,5938,3900,2448,2467,4612,5077,4019,2484,2579,4024,2940,2947,2913,2945,2955,3018,3162,3183
42,1,전통시장,2130290,영림시장,604702,284578,320124,53500,148859,108967,74698,77875,140802,137954,121031,72909,76035,115086,81685,86410,85643,86273,87456,88103,86351,84467
43,1,전통시장,2130289,봉일시장,62462,30062,32400,6714,11862,10764,9495,9300,14326,13626,11594,7491,8115,12708,8927,8864,8687,8813,8753,8817,9246,9280
44,1,전통시장,2130288,신림현대종합상가,14426,7371,7056,1411,2944,2447,1995,2131,3498,3225,2908,1639,1885,2815,1954,1950,1963,1973,1973,1950,2279,2337
45,1,전통시장,2130287,삼성동 시장(삼성동시장),265492,139633,125859,20309,62770,45890,36169,36520,63832,55941,48982,34514,36593,54006,35454,37980,37638,37415,37628,37987,38476,38369
46,1,전통시장,2130286,신신림시장(삼성동시장),53369,28228,25140,4095,12658,9119,7146,7218,13131,11788,9613,6481,6719,11164,7605,7574,7517,7454,7527,7605,7798,7893
47,1,전통시장,2130285,서원동상점가,899125,463330,435794,66559,298291,188565,115078,98513,132119,99520,142587,126834,158388,253347,118450,121789,122066,127350,127019,133336,138778,128788
