,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
0,2,관광특구,1001496,강남 마이스 관광특구,106859,53586,53273,7510,22268,29894,23907,13306,9974,6498,20657,25172,25635,22596,6302,15012,16326,16915,17593,17247,12963,10805
1,2,관광특구,1001495,잠실 관광특구,3561819,1712126,1849694,387394,790978,848876,584508,440663,509399,595362,654385,544682,575567,779833,411990,493641,502218,505695,505711,525509,538563,490482
2,2,관광특구,1001494,종로?청계 관광특구,4041501,2175790,1865710,144719,694844,752217,747809,739083,962830,461846,796050,830509,832729,788949,331417,612470,647447,635503,634828,649044,491187,371020
3,2,관광특구,1001493,동대문패션타운 관광특구,3242889,1525455,1717434,162824,557728,783657,665252,505098,568330,708734,660722,488636,463436,521016,400344,505390,523329,517519,516023,487773,346944,345911
4,2,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4382710,2227935,2154774,168316,787473,1109970,980707,689754,646489,283650,954286,1062169,1036994,809109,236500,679265,736783,709949,714472,725461,457803,358978
5,2,관광특구,1001491,이태원 관광특구,2163881,1069449,1094432,134612,604883,528835,334062,243355,318133,455932,357174,275101,302222,456672,316779,272212,268884,280624,285787,319558,392204,344611
6,2,전통시장,2130326,고덕 골목형상점가,138559,63251,75308,24916,12761,23376,25405,19944,32157,32578,30507,16780,16774,24306,17615,20047,20069,19891,19574,19793,19635,19552
7,2,전통시장,2130325,명일전통시장,189755,83274,106482,32958,20106,25482,31670,29604,49934,33362,36427,26960,27897,41019,24091,26775,27056,27433,26826,27261,27101,27304
8,2,전통시장,2130324,길동복조리시장,482114,219228,262886,78473,55491,67182,72947,75406,132617,140113,96895,53230,52866,76832,62178,68621,68313,67785,67607,67651,70497,71640
9,2,전통시장,2130323,둔촌역전통시장,330904,158816,172088,47156,44216,42378,51672,56045,89437,93053,65867,35490,37164,56149,43181,47203,46150,46575,46874,46911,48424,48766
10,2,전통시장,2130322,고분다리전통시장,261344,126224,135119,32274,32818,39856,36268,45651,74476,75660,53540,28716,28692,41828,32908,36806,36060,36247,36036,36170,38725,41300
