,구상권코드,상권코드명,행정동코드
277,2110582,이대역 5번,11440610
278,2110650,우장산힐스테이트,11500615
279,2110164,아차산역 5번,11215780
280,2111032,방이역 1번,11710570
281,2110677,등촌역 1번,11500520
282,2110699,덕의초등학교,11530730
283,2111015,석촌역 3번,11710580
284,2110814,서울지방병무청,11560690
285,2110826,장승배기역 4번,11590540
286,2110177,동의초등학교,11215860
287,2110623,갈산공원,11470680
288,2110111,대현산장미원,11200580
289,2111006,석촌고분역 1번,11710610
290,2110047,다산성곽길,11140625
291,2111004,삼전역 1번,11710650
292,2110967,역삼역 8번,11680640
293,2110555,홍익지구대,11440660
294,2110575,대흥동주민센터,11440600
295,2110050,약수역 7번,11140635
296,2110649,우장산역 1번,11500615
297,2110168,대원고등학교,11215770
298,2110580,양원초등학교,11440600
299,2110661,강서새말어린이공원,11500591
300,2110106,금북초등학교,11200590
301,2110174,아차산역 1번,11215770
302,2110540,망원나들목체육관,11440690
303,2110557,홍대부속여중고앞,11440660
304,2111070,천호초등학교,11740600
305,2110051,한양공고앞 교차로,11140615
306,2110624,목동문화체육센터,11470520
307,2111084,길동신동아아파트,11740685
308,2110101,옥정중학교,11200645
309,2110559,성산중학교,11440680
310,2110170,동대부여고,11215850
311,2110159,구의역 4번,11215820
312,2111083,GS강동자이아파트,11740685
313,2110134,성수119안전센터,11200670
314,2111007,석촌고분역 4번,11710610
315,2111009,송파책박물관,11710600
316,2110075,숙대입구역 1번,11170530
317,2110563,상수역 3번,11440655
318,2110120,서울숲카페거리,11200660
319,2110567,광흥창역 6번,11440655
320,2110179,광나루역 1번,11215810
321,2110217,자동차부품상가,11230610
322,2111051,천호역 6번,11740650
323,2110065,남정초등학교,11170560
324,2110579,마포역 4번,11440585
325,2110173,구남초등학교,11215870
326,2110095,한강진역 3번,11170685
327,2110076,삼각지역 14번,11170625
328,2110034,창신1동주민센터,11110670
329,2110843,사당5동주민센터,11590651
330,2110599,신월1파출소,11470560
331,2111056,천호태영아파트,11740620
332,2110140,건대입구역 6번,11215847
333,2110667,가양역 10번,11500535
334,2110844,흑석2치안센터,11590605
335,2111012,석촌역 6번,11710600
336,2110268,망우3동주민센터,11260660
337,2110543,중암중학교,11440730
338,2110086,이태원역 북측,11170650
339,2111020,방이동고분군(방산고등학교),11710561
340,2110793,대림썬프라자,11560700
341,2110099,유엔빌리지길,11170685
342,2110058,성심여자고등학교,11170570
343,2110593,신월3동주민센터,11470580
344,2110176,해오름공원,11215770
345,2110040,중구회현체육센터(정화예술대남산캠퍼스),11140540
346,2111008,석촌고분역 3번,11710600
347,2110118,왕십리역 9번,11200560
348,2111063,강동구립 천호도서관,11740620
349,2110133,서울교통공사,11200790
350,2110721,가리봉파출소,11530595
351,2110888,청룡동주민센터,11620595
352,2110436,상계제일중학교,11350624
353,2110697,개봉3동주민센터,11530760
354,2111040,거여초등학교,11710570
355,2110889,봉천역 6번,11620605
356,2110858,신대방역 1번,11620685
357,2110964,싸리고개근린공원,11680655
358,2110975,매봉역 1번,11680655
359,2110511,연희초등학교,11410615
360,2110165,국립정신건강센터,11215750
361,2110508,서연중학교,11410615
362,2111069,천호1동주민센터,11740600
363,2110161,중곡역 3번,11215760
364,2110660,등촌3동주민센터,11500535
365,2110560,마포FM,11440710
366,2110153,중곡1동주민센터,11215740
367,2110674,강서구청가양동별관,11500605
368,2110229,장평중학교,11230650
369,2110652,양천향교역 2번,11500603
370,2110032,수족관거리,11110670
371,2110497,가좌역 3번,11410690
372,2110225,촬영소사거리,11230610
373,2110171,중곡4동주민센터,11215770
374,2110198,동대문중앙새마을금고본점,11230545
375,2110015,청와대사랑채,11110515
376,2110186,종암초등학교,11230545
377,2110259,사가정역 1번,11260575
378,2110702,개봉초등학교,11530760
379,2110919,내방역 8번,11650621
380,2110845,사당종합체육관,11590640
381,2111027,문정초등학교,11710641
382,2110591,충정로역 6번,11140680
383,2111090,강일동주민센터,11740515
384,2111021,방이역 4번,11710561
385,2110655,발산역 5번,11500615
386,2110039,회현역 1번,11140540
387,2110541,동교초등학교,11440700
388,2110004,대신고등학교,11110570
389,2110162,군자역 4번,11215750
390,2110041,남산케이블카,11140550
391,2110520,경의중앙 신촌역,11410585
392,2110147,능동우편취급국,11215730
393,2110636,방화역 2번,11500630
394,2110185,용두초등학교,11230536
395,2110115,상왕십리역 3번,11200535
396,2110057,황학코아루아파트,11140670
397,2110437,당고개역 2번,11350665
398,2110524,연희세브란스병원,11410585
399,2110534,경기대학교,11410565
400,2110152,중곡어린이공원,11215740
401,2110548,마포구청역 4번,11440720
402,2110722,G타워,11530540
403,2110537,충정로현대아파트,11410565
404,2110119,마장지하차도,11200540
405,2110226,장안1동주민센터,11230650
406,2110218,답십리사거리,11230610
407,2110038,경향신문사,11140520
408,2110536,돈의문센트레빌아파트입구,11410520
409,2110158,중곡3동주민센터,11215760
410,2110240,태릉시장 특화거리,11260610
411,2110500,남가좌동현대아파트,11410700
412,2110025,충신시장옆,11110630
413,2110633,개화산역 1번,11500640
414,2110036,동묘앞역 3번,11110710
415,2110030,동대문역 3번,11110670
416,2110641,공항고등학교,11500630
417,2110517,서대문소방서,11410615
418,2110439,당고개역 5번,11350665
419,2110209,답십리 장령당공원,11230600
420,2110518,서대문구청,11410615
421,2110637,송정역 2번,11500620
422,2111061,암사역 1번,11740570
423,2110631,방화초등학교,11500640
424,2110716,구로나눔길,11530530
425,2110657,양천향교역 5번,11500535
426,2110526,봉원사,11410585
427,2111033,문정동성당,11710646
428,2110330,돌곶이역 1번,11290770
429,2110693,오류동역 4번,11530770
430,2110917,서초소방서,11650581
431,2110615,신서초등학교,11470620
432,2110994,개포고등학교,11680670
433,2110698,개웅초등학교(개웅중학교),11530760
434,2111088,고덕동성당,11740560
435,2110078,이촌동점보아파트,11170630
436,2110973,강남구청역 4번,11680565
437,2110988,청담역 3번,11680580
438,2110966,논현2동주민센터,11680531
439,2110799,영등포본동주민센터,11560515
440,2110970,학동초등학교,11680531
441,2110211,전곡마을마당공원,11230560
442,2110974,언주중학교,11680590
443,2110216,전농중학교,11230570
444,2110205,경희대삼거리,11230710
445,2110825,신대방삼거리역 1번,11590550
446,2110834,동작구자원봉사센터,11590510
447,2110689,오류동역 3번,11530770
448,2110861,관악구신사동주민센터,11620685
449,2110690,오류2동버들시장,11530780
450,2110625,신정2동주민센터,11470630
451,2110782,영등포시장역 4번,11560535
452,2110089,서빙고동주민센터,11170690
453,2110806,서울시립영등포장애인복지관,11560535
454,2110609,신정네거리역 2번,11470640
455,2110758,문래소공원,11560605
456,2110954,국기원,11680640
457,2110995,봉은사역 4번,11680580
458,2110616,양목초등학교,11470650
459,2110968,강남구청역 2번,11680531
460,2110071,한강미주맨션아파트,11170630
461,2110607,금빛새마을금고본점,11470570
462,2110613,신정네거리역 4번,11470620
463,2110206,텃골근린공원,11230560
464,2110670,신곡초등학교,11500570
465,2110646,푸른들청소년도서관,11500560
466,2110647,화곡역 5번,11500540
467,2110597,신월1동주민센터,11470560
468,2110596,서서울호수공원,11470580
469,2110256,면목2동체육관,11260520
470,2110982,강남구보훈회관,11680590
471,2110695,개봉1동주민센터,11530730
472,2110997,대청초등학교,11680730
473,2110835,상도역 1번,11590530
474,2110952,논현목련공원,11680521
475,2110208,시조사삼거리,11230710
476,2111064,둔촌동역 4번,11740660
477,2110219,삼육보건대학교,11230730
478,2110258,면동초등학교,11260565
479,2110833,상도역 2번,11590540
480,2110780,신길대성유니드아파트,11560670
481,2110989,대치동아우편취급국,11680630
482,2110175,푸른동산공원,11215870
483,2110083,서빙고역 1번,11170690
484,2110706,그라운드 고척,11530720
485,2110692,큰굴다리,11530740
486,2110831,상도4동주민센터,11590560
487,2111005,삼전역 3번,11710610
488,2110167,용마초등학교,11215750
489,2110156,군자역 5번,11215780
490,2111025,경찰병원역 3번,11710632
491,2111038,보인중학교,11710570
492,2110823,신대방삼거리역 3번,11590680
493,2110720,대림역 2번,11530550
494,2110686,수궁동주민센터,11530790
495,2110713,구로보건소,11530560
496,2110691,개봉중학교,11530740
497,2110772,신우어린이공원,11560720
498,2110808,신길역 1번,11560515
499,2110605,목동센트럴아이파크앞,11470610
500,2110768,도림2동유수지내체육시설,11560585
501,2110839,숭실대입구역 4번,11590530
502,2110703,개봉역,11530740
503,2111036,투구봉어린이공원,11710632
504,2111014,송파나루역 2번,11710562
505,2110915,서래초등학교,11650590
506,2110714,구로4동주민센터,11530550
507,2110603,지향초등학교,11470640
508,2110765,문래동사거리,11560605
509,2110951,신사은행나무공원,11680510
510,2110682,온수역 8번,11530790
511,2110617,등촌역 4번,11470530
512,2110912,방배동사이길,11650590
513,2110125,사근동살곶이상점가,11200550
514,2110856,미성초등학교,11620765
515,2110828,노량진역 6번,11590520
516,2110961,언주역 3번,11680531
517,2110809,장훈고등학교,11560515
518,2110666,KC대학교,11500591
519,2111019,한성백제역 3번,11710562
520,2110658,화곡초등학교,11500590
521,2110672,백석중학교,11500530
522,2110654,까치산역 4번,11500540
523,2110673,뜸부기어린이공원,11500570
524,2110645,우장산역 4번,11500611
525,2110762,선유도역 1번,11560620
526,2110659,화곡역 4번,11500590
527,2110595,메디힐병원,11470600
528,2110664,강서구청옆,11500591
529,2110207,시립대앞사거리,11230560
530,2110665,곰달래도서관,11500550
531,2110708,화원어린이공원,11530530
532,2110668,화곡2동주민센터,11500550
533,2110606,신한은행 신월동지점,11470590
534,2110662,까치산역 1번,11500593
535,2110620,목동보건지소,11470540
536,2110701,고척동성당,11530730
537,2110542,마포구청역 7번,11440700
538,2110090,한국폴리텍대학서울정수캠퍼스,11170700
539,2110614,목동로데오거리,11470650
540,2110656,까치산역 3번,11500540
541,2110987,영동대교남단,11680565
542,2111029,오금역 4번,11710632
543,2110611,신정역 1번,11470650
544,2110763,영등포구청역 2번,11560550
545,2110859,난향초등학교,11620715
546,2110685,금강수목원아파트,11530780
547,2110212,답십리초등학교,11230600
548,2110979,청담초등학교,11680565
549,2110816,대방역 6번,11560630
550,2110872,신림초등학교,11620655
551,2110740,금천해태공원,11545670
552,2110857,미성동주민센터,11620765
553,2110748,백산초등학교,11545710
554,2110747,석수역 1번 출입구,11545690
555,2110741,독산2동주민센터,11545620
556,2111044,남천초등학교,11710550
557,2110465,연신내역 7번,11380551
558,2110446,내를건너서숲으로도서관,11380632
559,2110052,장충초등학교,11140625
560,2110049,장충단 고개,11140625
561,2110639,신방화역 8번,11500630
562,2110109,금호삼성래미안아파트,11200590
563,2110683,오류고등학교,11530790
564,2110592,서울금융고등학교,11470580
565,2110681,온수역 1번,11530790
566,2110688,오류지구대,11530770
567,2110610,계남근린공원,11470640
568,2110635,공항시장역 3번,11500620
569,2110634,송정역 3번,11500620
570,2110638,신방화역 2번,11500630
571,2110630,공항시장역 1번,11500640
572,2110608,신월2동주민센터,11470570
573,2110627,신정롯데캐슬아파트,11470630
574,2110895,샤로수길,11620585
575,2110794,영동초등학교,11560560
576,2110651,화원중학교,11500540
577,2110551,성서초등학교,11440720
578,2110547,KB국민은행 망원동지점,11440700
579,2110800,영등포동성당,11560535
580,2110807,신길역 3번,11560535
581,2110283,성북초등학교앞,11290525
582,2110792,영등포역 2번,11560585
583,2110785,영등포푸르지오아파트,11560585
584,2110458,선일여고,11380552
585,2110675,화곡4동주민센터,11500570
586,2110694,세곡초등학교,11530730
587,2110696,오류동역 1번,11530750
588,2110544,망리단길,11440690
589,2110715,구로구민회관,11530560
590,2110718,한국SGI본부,11530560
591,2110733,금천어울림복지센터,11545670
592,2110727,독산역 1번 출입구,11545610
593,2110731,금천구청역 1번 출입구,11545670
594,2110735,말미고개,11545620
595,2110819,신대방역 4번,11590670
596,2110495,북가좌2동주민센터,11410720
597,2110496,모래내우체국,11410720
598,2110549,새터산,11440730
599,2110552,성미산체육관,11440720
600,2110837,숭실대입구역 1번,11590530
601,2110836,상도역 5번,11590530
602,2110513,연희파출소,11410615
603,2110892,관악구 중앙길,11620615
604,2110896,관악우성아파트,11620575
605,2110897,서울대입구역 8번,11620575
606,2110485,연신내우체국,11380530
607,2110916,내방역 4번,11650600
608,2110464,연신내역 5번,11380552
609,2110455,역촌노인복지관,11380625
610,2110456,구산보건지소,11380560
611,2110137,성수초등학교,11200690
612,2110717,남구로역 2번,11530595
613,2110622,달마을공원,11470520
614,2110711,구로초등학교,11530530
615,2110802,신길동홍어거리,11560660
616,2110710,남구로역 3번,11530530
617,2110712,남구로역 5번,11530550
618,2110728,두산초등학교,11545610
619,2110671,등촌1동주민센터,11500520
620,2110676,등촌역 7번,11500530
621,2110463,응암3동주민센터,11380600
622,2110752,한울중학교,11545700
623,2110766,대림역 5번,11560720
624,2110744,독산동성당,11545640
625,2110444,수색성당,11380640
626,2110736,독산119안전센터,11545640
627,2110737,금천세무서,11545630
628,2110738,문성초등학교,11545630
629,2110024,혜회동주민센터,11110650
630,2110776,도신초등학교,11560720
631,2110767,도림동주민센터,11560585
632,2110546,양화대교북단,11440680
633,2110550,합정역 8번,11440680
634,2110803,신길2동우편취급국,11560515
635,2110260,면목역 3번,11260565
636,2110787,신길3동주민센터,11560650
637,2110804,신풍역 1번,11560680
638,2110812,신길6동주민센터,11560680
639,2110781,대림한신아파트,11560700
640,2110210,서울시립대,11230560
641,2110789,대림성모병원,11560700
642,2110855,신대방역 2번,11620725
643,2110270,혜원여고,11260660
644,2110014,경복고등학교,11110515
645,2110778,구로디지털단지역 4번,11560710
646,2110864,신림우방아파트,11620685
647,2110468,응암역 3번,11380625
648,2110459,응암역 2번,11380625
649,2110448,상신초등학교입구,11380632
650,2110450,시립서북병원,11380560
651,2110453,신사1동주민센터,11380631
652,2110891,구암초등학교,11620565
653,2110506,연희임광아파트,11410615
654,2110452,새절역 3번,11380632
655,2110128,성원중학교,11200650
656,2110512,연희지하차도,11410615
657,2110519,서대문구보건소별관,11410620
658,2110535,영천시장입구,11410520
659,2110538,충정로역 3번,11410565
660,2110012,성곡미술관,11110530
661,2110016,평창동동측,11110560
662,2110005,세검정,11110550
663,2110451,증산역 4번,11380640
664,2110130,답십리역 6번,11200790
665,2110261,사가정역 4번,11260570
666,2110309,대광초등학교,11290600
667,2110018,중앙고등학교,11110600
668,2110266,면목동우체국,11260575
669,2110021,성균관대학교,11110650
670,2110242,면목5동주민센터,11260550
671,2110302,보문역 8번,11290610
672,2110471,응암동우체국,11380600
673,2110449,증산역 3번,11380640
674,2110498,증산역 1번,11410720
675,2110815,공군호텔,11560630
676,2110820,성남고등학교,11590660
677,2110817,대방역 4번,11560630
678,2110824,대방역 3번,11590660
679,2110558,경성고등학교,11440720
680,2110509,연희대우아파트앞,11410585
681,2110469,응암정보도서관,11380600
682,2110503,명지대학교교회,11410700
683,2110484,역촌역 3번,11380510
684,2110490,녹번동근린공원,11380510
685,2110473,구산역 1번,11380570
686,2110472,연신내역 4번,11380570
687,2110584,아현역 4번,11440555
688,2110571,신수동주민센터,11440630
689,2110480,연신내역 3번,11380530
690,2110572,서강대역 1번,11440630
691,2110829,장승배기역 5번,11590520
692,2110847,예술인마을,11590620
693,2110885,영락고등학교,11620665
694,2110832,노량진초등학교,11590510
695,2110830,상도초등학교,11590560
696,2110827,NH농협은행 상도동지점,11590560
697,2110877,신림역 8번,11620695
698,2110589,애오개역 3번,11440565
699,2110590,만리재,11440565
700,2110873,당곡중학교,11620525
701,2110879,신림현대아파트,11620745
702,2110013,체부동홍종문가옥,11110530
703,2110821,보라매역 2번,11590680
704,2110886,관악해태어린이공원,11620665
705,2110813,보라매역 6번,11560690
706,2110810,영신초등학교,11560630
707,2110528,서울여자간호대학교,11410640
708,2110001,이북5도청사,11110560
709,2110587,공덕동주민센터,11440565
710,2110068,남영역 1번,11170560
711,2110586,서울서부지방법원,11440565
712,2110588,한겨레신문사,11440565
713,2110840,중앙대학교,11590605
714,2110060,효창공원앞역 6번,11170590
715,2110533,충정로역 7번,11410555
716,2110069,숙대입구,11170555
717,2110846,남성역 1번,11590650
718,2110848,양지어린이공원,11590620
719,2110338,인수초등학교,11305660
720,2110902,사당역 4번,11620630
721,2110850,사당역 10번,11590620
722,2110064,효창공원앞역 2번,11170580
723,2110237,메가박스 상봉,11260520
724,2110273,장스여성병원,11260680
725,2110334,석관중앙교회,11290810
726,2110445,덕산중학교,11380631
727,2110265,망우역 1번,11260580
728,2110486,은평구청,11380510
729,2110333,돌곶이역 5번,11290810
730,2110027,혜화역 1번,11110640
731,2110313,안암역 3번,11290600
732,2110017,정독도서관,11110600
733,2110443,수색역 1번,11380650
734,2110203,떡전교사거리,11230705
735,2110252,장안제일시장,11260550
736,2110521,홍제역 4번,11410620
737,2110142,화양사거리,11215710
738,2110215,회기역 1번,11230720
739,2110006,부암동주민센터,11110550
740,2110457,예일여고,11380560
741,2110274,서일대학교,11260575
742,2110197,세종대왕기념관교차로,11230705
743,2110222,회기역 2번,11230720
744,2110213,청량초등학교,11230740
745,2110286,한성대입구역 5번,11290525
746,2110841,중대부중,11590605
747,2110063,효창공원앞역 5번,11170590
748,2110061,효창동주민센터,11170580
749,2110269,용마문화복지센터,11260575
750,2110067,배문고등학교,11170555
751,2110066,서울역 15번,11170555
752,2110532,아현역 2번,11410555
753,2110922,내방역 1번,11650600
754,2110904,이수역 5번,11650610
755,2110907,방배초등학교,11650621
756,2110084,경리단길북측,11170660
757,2110085,경리단길남측,11170660
758,2110253,중곡초등학교,11260540
759,2110031,창신역 1번,11110690
760,2110081,해방촌 남동측,11170520
761,2110080,해방촌예술마을,11170510
762,2110079,후암동주민센터,11170510
763,2110074,서울역 12번,11170530
764,2110077,삼광초등학교,11170510
