상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
1001496,203237,157315,45922,30058,29882,32169,34232,30974,24005,21917,,28169,103969,36654,34047,398,71646,105144,1608,40740,57240,36292,29868,11044,2847073005,2279474959,567598046,447653427,401022146,451128619,514829906,464840861,311326095,256271951,,104698599,1461410518,463925648,774711795,42326445,970767098,980212300,18437786,442978694,584771194,453371357,292181850,159238516,42,92815,46773,46043,6348,19683,25607,20687,11541,8949,6267,17913,21171,22211,19976,5277,13648,13721,14053,15264,15081,11312,9736,15904,34,1,8,,1,,,,,,94171,1831723,848659,1026131,1815123,516101
1001495,432132,289385,142747,53388,57594,59754,57975,60674,76373,66374,253,10657,134847,61574,189517,35284,232923,153268,3062,95425,102763,66869,64647,53427,21538227068,14046102369,7492124699,2516364276,2801117275,2868230396,2820089555,3040300867,4127105256,3365019443,7020862,279768955,4208912285,2831645893,11565768169,2645110904,11210199831,6948272182,97502482,4578700973,5238717196,3052752254,2803344301,2387454798,254,3221641,1567876,1653767,334733,695297,773414,532270,410051,475876,553535,615838,492595,529146,688670,341857,457554,456950,465358,470094,472796,464657,434231,24375,149,3,13,,,,,,,,13858,226257,105810,125122,211767,75950
1001494,829999,621779,208220,121189,121012,122396,129188,127994,125176,83044,521,23817,344390,146768,274728,39775,471619,275791,2288,138258,168204,140761,148476,149427,26430181241,19395312772,7034868469,3604802657,3772654174,3833088455,4010763515,4174003971,4303538734,2731329735,15922870,409631478,7437683302,3888384575,12201711597,2476847419,14631952039,7638458609,54717939,4221877519,5324993856,4112828204,4315945831,4240047303,461,3610698,1975798,1634900,124229,610832,665426,678449,674334,857429,431190,719724,746217,762450,684376,266740,565375,563063,560047,591669,597400,415375,317768,32935,243,5,18,,,6,,,,,167720,4334021,3699463,4091380,5320223,1428696
1001493,262147,211872,50275,40287,40923,42988,45288,42386,29156,21119,7460,15808,123335,38308,66404,10832,140046,99386,923,41337,63024,47764,48832,37556,6771663779,5321613705,1450050074,908281566,1054212562,1140369402,1116558135,1102192040,890171602,559878472,172649134,468452327,2596551975,815506833,2275472824,443030686,3499372602,2372207522,17590157,989290547,1549262573,1223262719,1157112180,935061949,158,2996402,1435641,1560761,121963,542996,751225,617322,456240,506657,677671,606344,435731,420474,480905,375279,452257,460722,461579,475169,478088,355773,312815,6054,149,3,12,,,3,17,,,,302585,2780313,1994525,2254692,2899096,1031914
1001492,1242098,1080132,161966,212992,214132,207575,233804,211629,98310,63656,67,33728,755943,126743,281945,43672,617999,363308,1784,139651,260376,247644,199895,131947,49366239601,42065368058,7300871543,7578035528,8398709972,8285036948,9474168943,8329416667,4427625530,2873246013,6242170,845915239,20541657346,5022922972,18528610742,4420891132,20631464586,11369672303,42902818,4316839208,8706697170,8195985212,6585734882,4152977602,602,3657861,1902880,1754981,125101,674875,930254,824291,585227,518110,246718,805661,882042,873024,670237,180178,588660,583394,579257,632942,622246,360143,291217,104830,426,14,57,1,1,2,,,,,234578,6157760,2765755,3333748,6395073,1642232
1001491,146189,102016,44173,18816,19460,20097,21360,22283,26884,17289,511,2019,53312,22489,56398,11460,69967,59589,1264,46663,39821,16971,15728,9098,5851265270,3858442124,1992823146,699943704,728078799,756570842,822717761,851131018,1214684313,778138833,76939385,47444762,1439632872,633333105,2928543099,725372047,2578353371,2211557464,35351616,1792902662,1566762148,593293546,526931704,274669160,108,1829751,903510,926240,120144,437601,428731,298102,232431,312741,334875,334295,255056,283400,402211,219912,249157,249044,253688,256356,268472,288632,264405,5839,63,5,6,,,3,,,,,73043,633325,427406,562386,921216,385347
2130326,20796,14494,6302,2848,2605,2631,3060,3350,3125,3177,56,506,5734,2974,10396,1130,12526,7584,170,1812,3698,5072,5884,3472,429338133,279081399,150256734,55403973,49581814,46149002,63154786,64791824,74591840,75664894,931165,5589927,98005742,46423237,243611573,34776489,250289681,151901908,3093432,37467633,68980742,107595447,117497578,67556758,7,145517,67147,78370,24334,13530,26184,27154,21362,32952,34203,31453,17958,17963,25499,18440,20537,20714,20984,20959,20935,20823,20566,935,11,,,,,,,,,,92302,1132651,432245,501141,941946,323593
2130325,5870,4022,1848,866,644,973,853,686,1363,485,,,371,804,3911,784,3131,2352,62,751,962,930,1783,995,171446424,109991457,61454967,18155919,18485539,27226261,26849684,19274054,40351720,21103247,,,8657599,23873707,110751109,28164009,102088480,54992697,680270,19630572,27321741,23122256,54020703,32305637,7,204740,91758,112983,32724,21395,27840,34927,32742,55113,38673,39014,28315,29778,42859,26103,28942,28821,29147,29448,29656,29672,29056,89,2,,,,,,,,,,61796,763591,408065,477503,744147,281506
2130324,39282,24304,14978,5121,4412,4684,4847,5240,7245,7733,,1299,9872,11457,16366,288,20907,17258,26,1299,3931,7064,11937,13904,920963207,554686876,366276331,105759805,99802466,110254627,105154696,133715282,166465561,199810770,,19481186,184655213,224432464,471051759,21342585,542138638,321339758,266110,37013045,106684981,155725460,277405889,286382911,13,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572,154,5,,,,,,,,,,46262,594849,325962,385854,578937,203902
2130323,51927,36280,15647,8240,6444,6883,6483,8230,8317,7330,298,966,9236,9528,28014,3885,29210,20060,158,3344,7214,11072,15109,12375,1513619863,1073923280,439696583,222429255,185331967,202584556,234272936,229304566,253639999,186056584,10692985,13175792,147586301,239556279,918233877,184374629,879768884,493601787,3091023,99501095,281386230,289953663,395374741,304063919,45,347808,171022,176786,54293,45265,43682,54020,60337,90211,94749,72545,39982,40555,57081,42896,49441,49168,49913,49131,49706,50548,49902,171,6,,,,,,,,,,37483,687649,346323,424170,668960,221300
