,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수, 상권구분코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
10,전통시장,2130322,고분다리전통시장,14208,10269,3939,1970,2023,2165,1903,2208,1995,1944,,2529,3422,3043,4051,1163.0,5440,8614,106.0,1828.0,2783.0,2882.0,3232.0,3224.0,146219611,106714101,39505510,17847857,28319410,19320403,17119522,24106909,20883714,18621796,,21952395,40108148,29972921,43524607,10661540.0,52621170,75486021,853144.0,14752580.0,24947376.0,27223927.0,32642610.0,27687554.0,3.0,전통시장,254824,125456,129369.0,32889.0,32452.0,40365.0,35291.0,44157.0,69671.0,73172.0,52250,28375,28067,40849.0,32112.0,35995.0,35377.0,35096.0,35142.0,34931.0,37960.0,40325.0,8.0,9.0,,,,,,,,,,8051,107533,52868,62307,94443,39790
11,전통시장,2130320,암사종합시장,282,248,34,49,33,49,33,84,17,17,,17,116,33,50,,66,150,,82.0,50.0,50.0,,34.0,69725388,69495420,229968,16982659,33387065,16982659,451604,1691433,114984,114984,,403278,34981845,454937,16787685,,834884,51792861,,489933.0,858215.0,1286489.0,,49993108.0,3.0,전통시장,127787,62156,65631.0,13462.0,15504.0,21348.0,21758.0,22610.0,33105.0,25032.0,23949,17386,18989,26740.0,15690.0,18023.0,18174.0,17929.0,18112.0,18383.0,18920.0,18246.0,173.0,12.0,,,,,,,,,,87290,1376519,506871,577273,1069405,354369
12,전통시장,2130319,성내전통시장,4548,3445,1103,887,416,582,832,728,432,671,,469,521,774,2092,692.0,2272,2164,,1200.0,795.0,705.0,939.0,795.0,36464659,28695116,7769543,6923656,3260958,7806670,6001307,4702525,3848122,3921421,,2699954,7068320,8170943,14030938,4494504.0,14302594,15752564,,6834720.0,5312901.0,6100692.0,7299149.0,4507696.0,3.0,전통시장,710911,346382,364528.0,114675.0,76664.0,111565.0,110186.0,116078.0,181744.0,192752.0,139952,78308,83414,123900.0,92588.0,100183.0,97907.0,97560.0,96828.0,97702.0,107095.0,113635.0,34.0,5.0,,,,,,,,,,115042,1373463,627275,733690,1265645,449710
13,전통시장,2130318,로데오거리상점가,27704,20816,6888,3695,4417,4077,4224,4403,4035,2853,,4919,5043,5963,9824,1955.0,10076,17486,460.0,7386.0,6301.0,5129.0,4463.0,3824.0,204486278,152384125,52102153,26276423,30994341,29025569,30391414,35696378,30759803,21342350,,32211587,38050191,43491206,72986645,17746649.0,72374495,129315248,3559937.0,49360653.0,47023250.0,38547007.0,33943842.0,29255054.0,7.0,전통시장,384799,181045,203753.0,31220.0,85574.0,75364.0,57924.0,57752.0,76964.0,59499.0,62507,57358,65910,90546.0,48977.0,50582.0,51084.0,51661.0,51945.0,56315.0,62462.0,60750.0,266.0,37.0,1.0,1.0,,,,,,,,73690,433367,264019,311264,469826,202724
14,전통시장,2130317,마천중앙시장,16621,9920,6701,1790,1384,1878,2164,2704,3228,3473,,440,3132,4361,6909,1779.0,7130,9108,495.0,2747.0,3999.0,5339.0,2516.0,1143.0,161832646,96697394,65135252,15342679,14966741,17546450,21426117,27415407,31945550,33189702,,3678077,31216087,43220811,64426333,19291338.0,66675364,83700423,3751682.0,23126844.0,35123110.0,49484199.0,26092485.0,12797467.0,3.0,전통시장,447769,215692,232078.0,59757.0,44605.0,59827.0,60894.0,77844.0,144840.0,120008.0,87266,51094,52431,77785.0,59184.0,63322.0,62202.0,62054.0,61669.0,62856.0,66452.0,69214.0,107.0,9.0,,,,,,,,,,61179,675901,286010,341282,541253,200756
15,전통시장,2130316,마천시장,1842,1117,725,151,272,120,363,211,303,422,,150,332,484,876,,1118,604,,30.0,422.0,362.0,453.0,453.0,12189847,7441969,4747878,951388,1751762,1072200,2413203,1253416,2008485,2739393,,1162807,2431325,2896448,5699267,,6943622,3986768,,90608.0,2944772.0,2452466.0,2074932.0,3367613.0,1.0,전통시장,43319,20868,22452.0,5707.0,4607.0,5769.0,6187.0,7454.0,13592.0,12295.0,8581,4758,4701,7111.0,5871.0,6181.0,6088.0,6084.0,6050.0,6115.0,6339.0,6462.0,18.0,1.0,,,,,,,,,,61179,675901,286010,341282,541253,200756
16,전통시장,2130314,풍납시장,18204,13412,4792,2387,2865,2466,2738,2956,2490,2302,,4276,2908,2732,6058,2230.0,7216,10590,115.0,2908.0,3683.0,3623.0,3968.0,3508.0,177454665,127437859,50016806,21402448,25044296,24768119,24946704,31276292,26109626,23907180,,41262510,29067303,27384073,58726699,21014080.0,70708307,90718846,1351805.0,20702647.0,34615067.0,35817789.0,35498724.0,33441120.0,4.0,전통시장,1253487,575381,678107.0,163829.0,143114.0,194341.0,192904.0,208754.0,350547.0,326054.0,250339,143026,143658,219651.0,170759.0,177973.0,176080.0,175456.0,175015.0,176143.0,186035.0,186786.0,202.0,21.0,1.0,,,,,,,,,32015,205600,92619,104852,154129,70931
17,전통시장,2130313,방이시장,44071,31965,12106,6153,6583,5984,6226,7019,6804,5302,138.0,8057,8701,8615,13507,5053.0,18577,23428,159.0,6562.0,10505.0,7991.0,8458.0,8330.0,404420407,292522779,111897628,58855743,57160559,53275759,56251551,66979167,64893871,47003757,807358.0,73871697,84226247,81437108,118039287,46038710.0,163966770,200368194,855649.0,47526943.0,86068770.0,73486446.0,78043934.0,78353223.0,6.0,전통시장,995031,453743,541288.0,137571.0,145880.0,203055.0,163238.0,137462.0,207825.0,300563.0,209545,106445,102750,147401.0,128329.0,142660.0,142495.0,141493.0,141830.0,138259.0,142228.0,146065.0,3469.0,33.0,,1.0,,,,,,,,40771,570561,298493,336215,602727,232218
18,전통시장,2130311,새마을시장,23738,16797,6941,3374,3401,3267,3236,3519,3536,3405,53.0,3293,6786,6927,5697,982.0,11095,11698,112.0,1943.0,2894.0,4185.0,6091.0,7565.0,156479545,110300303,46179242,21152525,20474461,20749049,22468126,25456142,24857149,21322093,242928.0,20515144,42960472,47192014,39851207,5717780.0,67480407,72217879,945818.0,14829452.0,18190083.0,26380496.0,35772096.0,43580340.0,7.0,전통시장,842789,399472,443317.0,144467.0,128668.0,147168.0,145400.0,117548.0,159538.0,199097.0,156427,101088,110730,165038.0,110410.0,118049.0,119364.0,120137.0,119422.0,121086.0,126108.0,118624.0,377.0,17.0,,2.0,,,,,,,,93629,1382331,778156,949073,1554633,640413
19,전통시장,2130310,강남개포시장,77833,53417,24416,9695,9392,11490,10326,12514,12500,11916,,11558,16572,17253,26349,6101.0,31760,43540,2044.0,8097.0,10902.0,21031.0,18709.0,14515.0,692137478,467683110,224454368,85195787,82018892,100552870,88609921,111305640,116534380,107919988,,108936572,152309279,155180130,222660723,53050774.0,292564243,356545698,12859862.0,61759173.0,86045609.0,185742271.0,179658080.0,123044947.0,4.0,전통시장,212630,96734,115898.0,49679.0,22873.0,21855.0,36572.0,32848.0,48804.0,23485.0,40565,38513,41860,48650.0,19558.0,29703.0,30462.0,31326.0,31038.0,31496.0,29890.0,28715.0,298.0,30.0,,3.0,,,,,,,,17564,405548,201058,266278,358025,142854
