,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
141,2120165,3845,2704,1141,453,437,469,516,829,532,609,,,1891,657,1297,,1641,1547,,594.0,844.0,829.0,547.0,375.0,122652993,86875003,35777990,13994579,13203038,17592850,17541279,24543257,16305912,19472078,,,64550875,22322565,35779553,,53071570,44741239,,19804947.0,26354503.0,25203526.0,15283862.0,11165970.0,4.0,959200,433580,525620.0,231171.0,90411.0,115514.0,187292.0,136857.0,197955.0,260879.0,204324,118470,113988,148142.0,113397.0,138136.0,138075.0,138160.0,137468.0,137889.0,135625.0,133846.0,3467.0,35.0,1.0,5.0,,,,,,,,1310,137526,79347,94150,130374,47454
142,2120164,6513,5287,1226,1039,1035,946,1033,1234,669,557,,304.0,2959,1129,1919,202.0,2373,3401,,1062.0,1278.0,1039.0,1156.0,1238.0,146418691,117555427,28863264,22428588,20970037,23560918,22096661,28499223,15802004,13061260,,3352425.0,68136519,26151762,43417752,5360233.0,55318300,69478694,,17807350.0,21547107.0,20473715.0,31027356.0,33941462.0,6.0,1160835,527691,633143.0,176028.0,161213.0,205966.0,203211.0,167416.0,247001.0,236089.0,239801,164562,166769,218355.0,135258.0,169016.0,174051.0,174024.0,173024.0,168518.0,154059.0,148143.0,8574.0,75.0,2.0,6.0,3.0,,,,,,,35783,1141651,431345,495243,970678,266269
143,2120162,27368,20292,7076,3781,3986,4085,3947,4493,3698,3378,,1490.0,10172,5062,9220,1424.0,15158,10891,436.0,3852.0,5459.0,8826.0,4610.0,2865.0,278008701,203152308,74856393,34652625,39085150,37995510,42701826,48717197,37307448,37548945,,19828232.0,107340782,50794356,88112291,11933040.0,142141617,101006908,3642067.0,32609967.0,48167684.0,85653151.0,45327944.0,27747712.0,5.0,578370,267654,310715.0,109038.0,68478.0,82326.0,117797.0,88114.0,112617.0,125134.0,113363,78034,81589,111584.0,68665.0,82374.0,82801.0,82621.0,81895.0,82575.0,82881.0,83222.0,1253.0,21.0,,,,,,,,,,27308,480401,233530,284270,460985,179423
144,2120160,5597,4374,1223,779,924,911,913,847,605,618,6.0,20.0,1366,1110,2788,307.0,3026,2469,226.0,2480.0,1400.0,525.0,607.0,260.0,57601682,43886828,13714854,7187549,9584100,9561070,9232282,8321827,6546149,7168705,326943.0,250040.0,13206841,11638997,28927748,3251113.0,29930247,24208540,1972898.0,23215053.0,13453540.0,5448186.0,7422497.0,2626616.0,13.0,2058433,1008423,1050009.0,201816.0,430315.0,396257.0,304151.0,288431.0,437464.0,357420.0,367214,274731,292343,486971.0,279754.0,283411.0,295736.0,300918.0,303200.0,311691.0,298311.0,265166.0,9153.0,83.0,2.0,4.0,1.0,,,,,,,278961,3644099,1830395,2135859,4152006,1806143
145,2120159,64367,49103,15264,8858,10284,9482,9803,10676,7843,7421,433.0,2236.0,13309,9922,25966,12501.0,36267,26393,2141.0,24859.0,18052.0,7837.0,6804.0,2965.0,628297589,474384915,153912674,90280467,96408775,91975495,95918577,99801601,79670546,74242128,3085653.0,19617096.0,140495103,97391001,258920820,108787916.0,333196304,237628029,20059595.0,219930997.0,161817565.0,76860934.0,65509448.0,26645796.0,20.0,2595876,1253587,1342289.0,221015.0,984179.0,520076.0,294115.0,244771.0,331718.0,552660.0,496214,330339,348321,522848.0,345494.0,368127.0,375611.0,375238.0,376318.0,377649.0,374572.0,348363.0,1430.0,107.0,1.0,6.0,,,,,,,,155367,1258489,742285,853404,1416021,676872
146,2120158,59744,42069,17675,7530,8354,8275,8426,9484,8874,8801,687.0,2693.0,13723,9921,23436,9284.0,39009,20372,852.0,17278.0,17120.0,10179.0,9232.0,4725.0,572643131,400396868,172246263,68160082,78064315,79361639,81111372,93699460,91038601,81207662,7219458.0,19366955.0,133747752,91619977,241441045,79247944.0,346247300,196757661,6336529.0,144836833.0,151983128.0,100974944.0,94247587.0,44625939.0,15.0,775757,439759,335997.0,59738.0,234264.0,154977.0,109304.0,88084.0,129391.0,176661.0,151795,100175,103602,142839.0,100686.0,111660.0,112436.0,112563.0,111858.0,110389.0,109887.0,106963.0,695.0,41.0,1.0,2.0,,,,,,,,103337,1001095,563508,643155,1022612,446497
147,2120157,192626,134830,57796,26261,25828,26063,26989,29689,28485,29311,13483.0,19822.0,35937,29073,61257,33054.0,117592,75034,3943.0,72593.0,61594.0,27326.0,19307.0,7863.0,1583731242,1091717112,492014130,210769438,202788556,201792027,214916557,261450534,248152392,243861738,108710565.0,144844644.0,300481461,233670750,515650366,280373456.0,988821536,594909706,31837129.0,582361184.0,491650628.0,244924275.0,169919284.0,63038742.0,15.0,3272626,1695433,1577193.0,198589.0,1166929.0,743369.0,413011.0,318776.0,431950.0,760254.0,624602,389175,415838,640709.0,442046.0,453683.0,451525.0,455059.0,454391.0,462826.0,500792.0,494350.0,593.0,147.0,,4.0,,,,,,,,385480,4741941,2021308,2370096,4558190,2000421
148,2120156,29887,21034,8853,2948,4129,4967,4442,4548,5553,3300,5.0,2538.0,9914,5500,11668,262.0,12423,16662,519.0,9359.0,7998.0,4996.0,4180.0,2036.0,428480259,281983743,146496516,38538047,56606066,68892789,57005155,60941686,84342943,62153573,181314.0,22029644.0,147475347,67037111,186642101,5114742.0,188290075,213300099,5368465.0,140391381.0,111426159.0,60565252.0,58788009.0,25050904.0,19.0,3044195,1396519,1647676.0,412374.0,507807.0,515635.0,475098.0,444843.0,688438.0,498380.0,571742,439547,477241,678895.0,378389.0,429854.0,437446.0,440232.0,439512.0,447290.0,438925.0,410934.0,3255.0,142.0,2.0,7.0,,,,,,,,143207,2449120,1370282,1615339,2671600,943785
149,2120154,2046,1662,384,365,319,278,349,351,192,192,,,533,509,812,,799,1055,32.0,685.0,630.0,201.0,209.0,97.0,12404679,9887925,2516754,1934128,1921392,1981882,1907860,2142663,1258377,1258377,,,3101767,2732453,5312082,,4897431,6248871,126180.0,4019735.0,3468111.0,1435933.0,1688592.0,407751.0,1.0,386157,176674,209484.0,56214.0,61342.0,64065.0,59920.0,54702.0,89913.0,77554.0,74792,52027,56443,77599.0,47741.0,55217.0,55570.0,55936.0,56234.0,55643.0,55191.0,52368.0,479.0,52.0,3.0,2.0,,,1.0,,,,,102122,1236239,639535,713547,1088506,413611
150,2120153,216807,156428,60379,29807,29420,31095,31442,34664,32473,27906,9471.0,25659.0,59825,28313,65717,27822.0,125334,91309,4060.0,90079.0,54676.0,22634.0,33898.0,11294.0,1497154181,1064136314,433017867,199986780,201689116,213143469,214091300,235225649,230519110,202498757,61462162.0,140763174.0,416588127,184272558,489429360,204638800.0,884257850,605759891,27701718.0,574472725.0,379681038.0,174857740.0,250671152.0,82633369.0,28.0,1266874,693832,573043.0,98903.0,471521.0,249255.0,144657.0,130280.0,172259.0,221873.0,271257,188477,193741,250860.0,140667.0,183853.0,188392.0,190060.0,189684.0,189161.0,172076.0,153649.0,3699.0,73.0,2.0,6.0,,,,,,,,205052,2709098,1276489,1416105,2654237,1207029
151,2120152,10947,7708,3239,1499,1300,1400,1542,1967,1641,1598,,,1442,1626,6196,1683.0,6497,4450,326.0,3611.0,2815.0,1564.0,2062.0,569.0,162295467,113426644,48868823,23695432,18404480,19404402,23606330,28316000,24576550,24292273,,,21685692,26730553,90797602,23081620.0,95386044,66909423,5062989.0,52481846.0,40570153.0,25225756.0,30236759.0,8717964.0,8.0,734165,336688,397478.0,95868.0,138877.0,132705.0,114621.0,102994.0,149101.0,152097.0,146087,94030,99759,148022.0,94170.0,104572.0,104365.0,104073.0,104812.0,104438.0,106924.0,104980.0,594.0,64.0,,2.0,,,,,,,,108070,1513454,691016,802385,1389523,527155
152,2120151,56336,43072,13264,8121,8494,8325,8909,9223,6637,6627,28.0,4290.0,18426,7901,16127,9564.0,29048,25876,355.0,15636.0,19287.0,10444.0,6002.0,3197.0,587230396,442382871,144847525,79625008,87535017,83856397,92763483,98602966,74919149,69928376,510263.0,43929248.0,185725311,84708498,180869717,91487359.0,303383919,249371430,4649788.0,142901931.0,188771249.0,114348653.0,70181887.0,31901842.0,11.0,1273755,600147,673607.0,152858.0,210053.0,240647.0,224739.0,171399.0,274059.0,290755.0,267856,180457,177265,207422.0,150001.0,186554.0,192307.0,192334.0,191656.0,182148.0,164305.0,164451.0,2417.0,39.0,1.0,6.0,,,,,,,,57764,1058095,500774,575838,924731,268071
153,2120149,50145,42169,7976,7331,8394,8598,8945,8901,4359,3617,,2658.0,22038,6718,16891,1840.0,22779,18391,570.0,10775.0,13807.0,8438.0,5068.0,2510.0,814051379,687048687,127002692,110362550,127423854,137383411,151878988,159999884,66920177,60082515,,32160117.0,365954556,110468884,271374262,34093560.0,299823676,233607437,6418061.0,137867069.0,172986856.0,113266505.0,69840132.0,33052489.0,25.0,1665315,907610,757704.0,121383.0,302605.0,456004.0,385543.0,220391.0,179388.0,164816.0,366395,349344,350726,317950.0,116083.0,256654.0,284460.0,288063.0,285944.0,266102.0,150393.0,133698.0,69255.0,161.0,5.0,41.0,,,,,,,,175252,4427849,1493083,1930471,4459897,1043142
154,2120148,121312,101505,19807,18039,19886,19755,20731,23094,9161,10646,524.0,11563.0,56275,14427,33541,4982.0,62761,44870,669.0,29642.0,38423.0,22032.0,12993.0,3877.0,1430841576,1195617312,235224264,193787821,220492875,242715998,249735493,288885125,102956973,132267291,6302345.0,86590455.0,680438870,173017253,416882541,67610112.0,649215587,455662002,5500894.0,287493110.0,404963595.0,239690071.0,130128021.0,37101892.0,20.0,472032,263564,208467.0,18589.0,85299.0,140012.0,111806.0,65516.0,50810.0,41259.0,115596,107672,101292,78242.0,27971.0,71553.0,79816.0,82818.0,80658.0,75036.0,36466.0,45685.0,31135.0,70.0,2.0,16.0,,,,,,,,90652,1840131,594594,704420,1554054,363841
