상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
2120211,47676,37574,10102,7539,7315,7613,7506,7601,6570,3532,362,309,23955,4808,14657,3585,22976,15807,824,5268,8336,9714,9088,5554,2023886350,1523379504,500506846,299990779,287633470,297436229,325452636,312866390,307212074,193294772,29422073,6849524,594444890,209346402,941362598,242460863,868783732,497059494,12772726,146720199,281307539,389657998,314687122,220697649,21,1037658,449631,588028,335979,119515,131267,200970,124425,125501,152184,196441,170047,178861,230933,109194,148418,152001,150205,149177,149943,151736,136179,984,27,,1,1,,,,,,,69235,1368920,732291,888330,1357615,563043
2120210,780688,675819,104869,128970,141614,133195,133559,138481,63067,41802,17697,13789,398636,58057,216637,75872,383031,244112,5212,116607,183068,135987,109688,76581,31503869662,26780022947,4723846715,4614347292,5557501495,5408304652,5392202312,5807667196,2914032496,1809814219,1128090111,300753978,9048706238,1775651481,13124848936,6125818918,14010627110,7683721619,92355534,3797990547,6554939029,4900622277,3713541890,2634899443,251,4982187,2503742,2478444,580976,892269,1184495,1021711,674000,628735,768748,1041090,887468,866401,940777,477703,765102,819207,792266,786594,780094,557846,481079,48780,150,1,11,,,,,,,,167082,4319823,1613971,1936326,3838683,1096245
2120209,85941,73156,12785,14309,15471,14377,14247,14752,7528,5257,239,1704,50421,9648,20836,3093,41578,28767,185,9118,15506,17277,16730,11526,3029629433,2449499885,580129548,463337261,479497056,527913002,446986209,531766357,308042655,272086893,20122085,29554428,1281551400,353509022,1008040924,336851574,1275376173,802847260,2559079,199263894,474929392,520860314,526782192,353828561,25,620768,283938,336829,108206,80304,110805,125853,86680,108918,105305,124245,103533,105404,118939,63342,92069,96426,95236,94277,94186,78567,70008,8984,75,4,5,,,,,,,,45486,1659945,534465,663549,1288113,336963
2120208,133075,110496,22579,19954,23069,22279,22029,23165,13789,8790,4451,3760,68771,13214,29559,13320,62882,45087,414,19300,33623,22624,18594,13408,9818097545,7639331846,2178765699,1418672695,1596550535,1520327869,1556677997,1547102750,1396648175,782117524,680820979,173863053,1625698124,523339804,4033913581,2780462004,3850266101,2167952138,18902327,829985997,1816019996,1430853595,1243387343,679068980,76,1575539,709968,865571,156369,287135,365795,309905,211605,244728,295183,320738,258079,257856,281797,161883,219425,238072,233898,235305,240615,220197,188025,10577,93,5,7,1,,,,,,,37225,440398,192210,244613,419340,156095
2120207,229973,212434,17539,41669,44466,43365,40927,42007,12430,5109,2070,3573,156614,16394,40376,10946,123354,74407,443,44375,64017,41675,29134,18121,6248049270,5347370436,900678834,1009469194,1097310285,1073504024,1096412831,1070674102,645684494,254994340,106468335,88727342,2671602338,482818373,2064541236,833891646,2805058131,1788335232,6549317,761302544,1348994604,1035746548,819970390,620829965,69,1723958,864010,859949,208769,302398,416002,357152,208381,231257,347534,367796,266803,268033,295730,178062,260955,270458,265380,262190,261023,207639,196314,12151,72,4,4,1,,,,,,,33822,1257620,458714,506438,1076652,288460
2120206,75354,67952,7402,13454,14032,13316,13633,13517,4562,2840,33,2394,46134,6589,16932,3272,39191,25232,177,8177,14403,17050,15866,8748,2449144695,2192508312,256636383,432863083,454094511,489741327,388897762,426911629,177414805,79221578,909051,35174561,870691707,170288649,937227643,434853084,1049379707,542991546,1695839,190249836,304422531,413793880,446238376,235970799,49,1135606,553668,581938,160860,178035,241888,251744,146384,156698,204536,249946,191760,190357,189874,109135,173845,180008,176008,173993,172742,132582,126432,5280,45,2,4,,,,,,,,27576,480836,216465,262914,402552,148450
2120205,202156,159877,42279,29608,32422,31276,32895,33676,20971,21308,1388,7194,105363,15898,57331,14982,105638,60574,496,25683,40383,38307,31651,29682,7795010668,5728325121,2066685547,910236305,1162453762,1141538233,1200391606,1313705215,1076170691,990514856,149869280,164707361,2249268669,585415335,3382672863,1263077160,3666269764,1887892472,9651627,639543387,1341870736,1318276771,1157388918,1087430801,76,609624,306803,302822,62083,98720,121393,117721,95570,114140,91444,124104,108965,108461,117300,59352,92750,96704,94538,94445,94422,71171,65595,13950,23,1,1,,,,,,,,27659,968474,370459,448620,881278,248670
2120204,145099,133038,12061,26356,28293,26695,26979,24715,6525,5536,1182,4903,96683,10171,26860,5300,74287,41613,173,20628,38148,27562,18685,10704,3775271881,3387627778,387644103,627269861,769221693,659127464,718933277,613075483,229080857,158563246,37963390,94141623,1968248757,248865159,1066211448,359841504,1601232650,838551446,2042474,331650026,757699698,648951291,425287724,274152883,56,1461352,759821,701532,103718,284948,394345,313674,188157,176511,228289,319543,266952,260483,251417,134669,230359,247471,238118,236010,232250,149085,128061,41471,30,1,7,,,,,,,,67655,288966,139645,150853,252972,102486
2120203,348790,304806,43984,59010,62486,60697,60866,61747,27204,16780,4509,3546,203743,29690,81226,26076,151830,127737,1520,63302,88456,56868,42572,26852,12414918977,10443722745,1971196232,1922152957,2129724201,2169885114,2082068693,2139891780,1171869256,799326976,251788649,144435008,4798869942,859736802,4184693668,2175394908,5111205807,3341439935,27360415,1414692029,2601335619,2007417689,1515676235,886163750,95,1659264,840363,818900,157110,325066,413383,350012,213661,200032,257358,331044,288367,293841,323301,165351,253918,272388,263063,261644,259705,186389,162156,7726,88,2,5,,,,,,,,55202,2012898,770297,889553,1750085,513274
2120202,249747,191426,58321,35630,39465,37823,36854,41654,35424,22897,22931,1487,105705,22859,52212,44553,125589,100295,2019,72176,75744,34542,21984,19424,12313044641,8359615313,3953429328,1447493980,1589651402,1592221693,1672022639,2058225599,2369791384,1583637944,2358932148,73224466,1868776348,692068522,3180961639,4139081518,5919405816,4582752491,71757465,3745222886,3799008459,1330063575,986837113,569268812,113,2283012,1012288,1270724,198057,561037,558447,412733,258250,294489,278619,373985,420219,446927,517228,246036,307745,338569,338657,339863,361445,340461,256274,11735,77,1,4,,2,,,,,,98039,1541458,902261,1119853,1952415,628672
