,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
647,2110364,641,425,216,100,65,90,75,95,80,136,20.0,5.0,65,60,306,185.0,393,212,10.0,30.0,142.0,182.0,146.0,95.0,40454553,26694144,13760409,6954104,5010163,3942997,3494589,7292291,5050243,8710166,2224512.0,77658.0,1831214,1240015,20782151,14299003.0,25687619,12700243,717094.0,1778065.0,9739759.0,13171795.0,6910594.0,6070554.0,3.0,814192,372001,442192,84968,127453,103107,105338,149801,243528,191152,171548,105350,105136,140587,100417,116586,116407,116820,116177,116233,116427,115542,146.0,19.0,,,1.0,,,,,,,126737,807200,514194,579156,734702,239169
648,2110360,3638,2399,1239,468,583,541,362,445,644,595,169.0,13.0,1601,524,1033,298.0,2124,1454,,252.0,604.0,452.0,1570.0,699.0,66284369,41210043,25074326,9674048,8784578,9482189,6198212,7071016,12580594,12493732,3877352.0,293683.0,23531359,8757743,23950054,5874178.0,33779448,30887107,,3948478.0,6996956.0,7311032.0,32700100.0,13709988.0,5.0,1123205,525337,597868,140221,187302,146049,153590,188202,307840,306798,234217,129046,129722,179452,143972,160853,158328,156574,156173,157521,164669,169087,321.0,23.0,1.0,,,,,,,,,112691,826937,543983,595870,763535,248076
649,2110359,1557,1067,490,175,258,175,258,201,244,246,,19.0,627,303,350,,627,627,,64.0,175.0,335.0,414.0,265.0,26799015,17467648,9331367,3543271,2651801,2651801,4760967,3859808,4247403,5083964,,271317.0,10910820,5571688,7393389,,10187307,12373994,,968989.0,2309425.0,6023884.0,8821033.0,4437971.0,1.0,929061,440241,488820,94416,172978,135522,142612,150243,233291,298280,191591,89183,84514,134367,131126,131267,128852,127346,127603,129352,139452,145187,117.0,2.0,,,,,,,,,,228861,2860894,1447494,1698313,2940711,1112999
650,2110358,2314,1677,637,118,424,362,345,428,255,382,,7.0,1004,363,806,134.0,1597,584,6.0,271.0,380.0,676.0,538.0,310.0,42440897,30315201,12125696,1684182,5796516,6636380,6915546,9282577,4603988,7521708,,36613.0,16098533,6583459,15748066,3974226.0,27058610,10660464,248537.0,3944385.0,6087175.0,12589331.0,8966432.0,5883215.0,2.0,1073101,505823,567278,103764,200550,149432,156690,166666,296000,309483,224447,122815,117819,160657,137878,153091,152076,151680,151347,154140,154482,156287,558.0,17.0,,,,,,,,,,146238,1212220,703239,808631,1255304,500131
651,2110355,567,393,174,78,61,62,62,130,61,113,,,280,69,156,,331,148,,18.0,69.0,52.0,208.0,130.0,13804801,9464160,4340641,1757134,1148224,2018093,2018093,2522616,1644051,2696590,,,6167361,1765832,3853515,,7437370,3470772,,748086.0,1574460.0,982951.0,5010439.0,2592206.0,1.0,1081288,507817,573472,154462,119751,126528,160596,175795,344158,279192,216823,126383,130473,186409,142007,154057,153236,153034,152131,152592,156585,159654,306.0,24.0,,,,,,,,,,101501,916977,490771,566297,843880,295435
652,2110353,1879,1313,566,229,316,256,216,296,229,337,,67.0,889,418,505,,1165,572,7.0,168.0,357.0,377.0,499.0,331.0,37004037,24381983,12622054,4088360,4903337,5206430,5169385,5014471,5192958,7429096,,1225835.0,19761530,6388484,9628188,,21812445,12268448,33677.0,3751593.0,5906906.0,7786069.0,10113135.0,6489514.0,1.0,551019,245099,305919,66464,70177,70794,86705,89476,167403,122636,103236,68998,71801,109851,74498,79001,77531,75837,75584,77603,81233,84227,187.0,14.0,1.0,,,,,,,,,62306,540695,303776,324013,442530,149431
653,2110352,2002,1532,470,246,246,358,370,312,235,235,,,1309,123,335,,1130,414,11.0,89.0,312.0,392.0,413.0,324.0,30665549,20799777,9865772,2365771,3808725,4323266,5827741,4474274,4932886,4932886,,,19658837,1554810,4519016,,16057048,4882551,190157.0,1772931.0,5139821.0,4692394.0,5721477.0,3422818.0,1.0,1477001,679160,797842,214806,182785,184165,201659,248895,444691,456135,302437,147782,144312,220062,206275,211448,209327,206884,206995,206812,213287,222247,305.0,31.0,3.0,,,,,,,,,53256,598105,301838,345294,457799,160435
654,2110350,1094,637,457,152,137,79,90,179,206,251,,16.0,563,210,305,,668,368,11.0,52.0,137.0,274.0,374.0,189.0,30100869,18149380,11951489,4659634,4696448,1688197,2453408,4651693,5098776,6852713,,399698.0,15209551,5927097,8564523,,16003688,10539346,496993.0,1038688.0,2479704.0,6589701.0,10150219.0,5787729.0,1.0,499075,225499,273576,85830,55142,61913,71645,79676,144867,135657,101523,52981,55314,81728,71873,71355,71442,70992,70763,70147,71682,72695,148.0,10.0,2.0,,,,,,,,,50435,507878,271111,301961,434024,152783
655,2110349,2416,1690,726,32,466,498,300,394,363,363,,8.0,995,450,939,24.0,1614,754,8.0,385.0,444.0,434.0,689.0,409.0,47119882,29493834,17626048,367045,7605328,8240750,5726690,7554021,9073508,8552540,,213123.0,16438087,9065614,20416378,986680.0,30578329,15645647,40757.0,6209215.0,10455923.0,7756098.0,12909272.0,8852710.0,2.0,446220,201656,244564,55815,63789,52300,63613,68230,142473,139752,105538,48310,44892,54491,53238,63885,62732,62662,61924,61747,64563,68706,83.0,6.0,,,,,,,,,,68118,628062,324177,367787,489024,175729
656,2110348,2658,1854,804,381,315,337,442,379,402,402,,21.0,991,674,570,,1540,359,21.0,274.0,380.0,359.0,696.0,168.0,44523949,26452901,18071048,5735504,3742837,3806098,6694935,6473527,9035524,9035524,,527160.0,16858583,9805180,8297502,,26611047,4712812,358469.0,4175108.0,7401329.0,6262663.0,10722439.0,2403850.0,2.0,1467424,637616,829807,237351,168227,168306,214088,231401,448054,459481,310621,147257,144165,210296,195604,209252,207446,206060,206316,205237,213010,220106,343.0,11.0,,,,,,,,,,46200,500338,268770,297682,419091,143197
657,2110335,739,441,298,24,96,119,60,142,108,190,,,346,190,203,,596,143,,72.0,60.0,284.0,239.0,84.0,15065554,7199047,7866507,202622,1346842,1823600,989273,2836710,3015494,4851013,,,7592372,3611442,3861740,,12324196,2741358,,1245530.0,971395.0,4463648.0,6483908.0,1901073.0,5.0,950970,468563,482409,118917,173029,130997,135209,154787,238030,257468,192450,102406,106066,162902,129678,135116,134231,133795,134017,135201,138549,140061,249.0,37.0,4.0,1.0,,,,,,,,148443,1641761,782637,920944,1636749,605065
658,2110334,559,350,209,104,57,66,57,66,85,124,,18.0,268,113,103,,271,222,,20.0,155.0,107.0,135.0,75.0,11854792,7076923,4777869,2715343,1211024,1211024,889346,1050186,1655698,3122171,,217606.0,5922665,2280132,2223365,,5392922,5023779,,314277.0,3654175.0,2250728.0,2555805.0,1641716.0,1.0,1171470,558728,612742,205854,148480,156432,181425,173058,306222,392430,234720,116427,112162,160897,154835,167082,166424,165362,164306,162045,170153,176100,170.0,13.0,,,,,,,,,,39029,259097,138606,165412,234158,88230
659,2110332,4572,3150,1422,786,418,616,771,559,731,691,131.0,24.0,1880,783,1450,304.0,2855,1408,36.0,517.0,597.0,1073.0,1198.0,841.0,99523519,62925738,36597781,16330452,6942406,13293341,15300741,11058798,18042321,18555460,3278531.0,407097.0,37139228,17899742,33195549,7603372.0,60452155,32795081,630846.0,10649980.0,11757422.0,24184012.0,27815146.0,18209829.0,2.0,157805,77091,80715,13717,29830,24882,22953,25322,41101,41150,34972,19551,18793,23936,19404,22920,22944,23115,23028,23083,21477,21236,164.0,2.0,,,,,,,,,,77782,898636,369135,418856,733304,249869
660,2110330,8435,5844,2591,733,1387,1216,1222,1286,1274,1317,,360.0,3510,1898,2580,87.0,5556,2623,87.0,691.0,1715.0,2082.0,2292.0,1315.0,125171437,80335656,44835781,8971152,18206022,16767281,17491681,18899520,21498719,23337062,,4423419.0,53906799,25701914,39778030,1361275.0,76941640,41164499,1565156.0,10491020.0,23668762.0,33031229.0,30354776.0,18995200.0,2.0,618326,277105,341223,76637,84629,93279,92120,101959,169705,148817,131575,76933,76417,106536,78049,89130,88460,88172,86868,88074,87044,90577,220.0,4.0,,,,,,,,,,77471,911005,384631,433122,750129,257532
661,2110328,844,609,235,140,165,69,140,95,166,69,,34.0,323,217,130,,478,165,26.0,113.0,61.0,138.0,217.0,87.0,15510618,11678633,3831985,2192190,4675803,1831176,2192190,787274,2457516,1374469,,491503.0,4540967,2505361,5780597,,5184705,3053409,152236.0,1100445.0,487154.0,1657192.0,3449221.0,1391867.0,1.0,891774,413342,478432,121074,143055,129952,129247,130238,238210,237444,189369,104491,101607,144021,114842,126391,126642,125647,130274,125269,125748,131803,250.0,5.0,2.0,,,,,,,,,15398,119677,71070,84833,118791,44252
662,2110325,3503,2099,1404,497,63,475,475,589,682,722,,69.0,1642,756,1036,,2328,1175,,329.0,570.0,910.0,1078.0,616.0,69567864,41379454,28188410,9661409,1356891,10010650,9924771,10425733,13603263,14585147,,2104040.0,32591150,13966818,20905856,,45242638,24325226,,4874746.0,12233377.0,18385403.0,19205214.0,14869124.0,2.0,921142,423640,497502,146592,104185,134970,149483,143895,242015,243809,186309,99247,101745,157427,132606,131914,130515,130129,130120,130601,132855,135009,62.0,9.0,1.0,,,,,,,,,45007,475979,248054,287088,434262,161982
