,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
137,2120166,12798,12126,672,1963,2292,2639,2600,2632,667,5,6.0,15.0,7693.0,1058.0,3579.0,447.0,6297,4920,518.0,3533.0,3165.0,1900.0,1700.0,397.0,277431314,262558110.0,14873204.0,41165875.0,44984610.0,57332916.0,59263130.0,59811579.0,14771584.0,101620.0,286868.0,333722.0,141390419.0,16225775.0,77268709.0,41925821.0,124504353.0,82046752.0,7267588.0,57994852.0,63891625.0,35611999.0,33754026.0,8031013.0,9.0,805771,379102,426670,128399,129642,138980,134700,111931,162119,139121,161237,124694,127933,164430,88356,117678,123053,123153,122764,118955,103381,96786,5467,91.0,5.0,4.0,5.0,,,,,,,50570,1329247,573175,678619,1146038,381602
138,2120165,22753,17403,5350,3057,3461,3676,3430,3779,2348,3002,,,11394.0,3665.0,6908.0,786.0,9823,10629,1355.0,4666.0,4854.0,5591.0,3102.0,884.0,696891935,555176003.0,141715932.0,79085299.0,94532894.0,95931279.0,137634332.0,147992199.0,85627019.0,56088913.0,,,234524289.0,63804165.0,260399609.0,138163872.0,292479692.0,253003697.0,18408462.0,104963103.0,124877986.0,157823588.0,107157973.0,32252281.0,10.0,959200,433580,525620,231171,90411,115514,187292,136857,197955,260879,204324,118470,113988,148142,113397,138136,138075,138160,137468,137889,135625,133846,3467,35.0,1.0,5.0,,,,,,,,1310,137526,79347,94150,130374,47454
139,2120164,3923,3745,169,683,899,644,697,822,154,15,,11.0,2751.0,276.0,615.0,261.0,1631,1234,9.0,273.0,497.0,813.0,596.0,689.0,213945858,199527810.0,14310406.0,39521844.0,45623613.0,29847790.0,41651262.0,42883301.0,14020257.0,290149.0,,106.0,89272517.0,15825934.0,68289298.0,40450361.0,92975391.0,38885336.0,107642.0,5597869.0,24911088.0,37671678.0,28824229.0,34855863.0,9.0,1160835,527691,633143,176028,161213,205966,203211,167416,247001,236089,239801,164562,166769,218355,135258,169016,174051,174024,173024,168518,154059,148143,8574,75.0,2.0,6.0,3.0,,,,,,,35783,1141651,431345,495243,970678,266269
140,2120162,13414,11048,2366,1665,2356,2119,2297,2611,1533,833,348.0,12.0,6459.0,657.0,4155.0,1783.0,6730,5072,184.0,2388.0,3555.0,2418.0,2209.0,1050.0,526577407,399207425.0,127369982.0,68478784.0,73679495.0,71822169.0,77677518.0,107549459.0,86312635.0,41057347.0,23931184.0,922690.0,116193932.0,17844176.0,222973811.0,144711614.0,267849652.0,150930083.0,3551700.0,52304563.0,134004045.0,90297074.0,90522500.0,48099854.0,10.0,578370,267654,310715,109038,68478,82326,117797,88114,112617,125134,113363,78034,81589,111584,68665,82374,82801,82621,81895,82575,82881,83222,1253,21.0,,,,,,,,,,27308,480401,233530,284270,460985,179423
141,2120161,278,236,42,59,41,36,47,53,42,42,,,,,154.0,124.0,147,90,,42.0,96.0,36.0,36.0,30.0,34034171,28654281.0,5379890.0,7259007.0,5628467.0,3628023.0,5409482.0,6729302.0,5379890.0,5379890.0,,,,,16568761.0,17465410.0,18066135.0,10209364.0,,4746614.0,11469998.0,5806020.0,3246281.0,3006584.0,2.0,368335,173816,194520,67676,45029,46547,70295,56613,82177,110627,77810,40791,38462,54391,46255,52679,52888,52505,52531,52483,52390,52859,2517,7.0,,,,,,,,,,29063,452728,217040,278185,449601,180832
142,2120160,39027,28353,10639,4763,5021,5383,5823,7363,6830,3809,4606.0,35.0,5097.0,1937.0,13707.0,13645.0,21941,13094,106.0,11809.0,10911.0,4455.0,3509.0,4244.0,3330271827,2440698237.0,888762678.0,365917773.0,412679227.0,450509439.0,522857198.0,688734600.0,562362706.0,326399972.0,365762853.0,810912.0,208786438.0,135069819.0,1244848124.0,1374993681.0,1914953231.0,878716431.0,3545201.0,800276823.0,918798480.0,409142174.0,321467835.0,340439156.0,33.0,2058433,1008423,1050009,201816,430315,396257,304151,288431,437464,357420,367214,274731,292343,486971,279754,283411,295736,300918,303200,311691,298311,265166,9153,83.0,2.0,4.0,1.0,,,,,,,278961,3644099,1830395,2135859,4152006,1806143
143,2120159,45302,32498,12804,6089,6137,6142,6287,7843,6949,5855,443.0,11.0,14747.0,6950.0,19060.0,4091.0,23261,17998,1490.0,16798.0,10172.0,5107.0,5130.0,2566.0,2263218375,1624902645.0,638315730.0,263368936.0,283673871.0,277384581.0,347351328.0,453123929.0,365897173.0,272418557.0,36778743.0,132498.0,472342785.0,214488314.0,971313275.0,568162760.0,1138481525.0,648893493.0,28381286.0,584574101.0,515197677.0,260671009.0,269499752.0,129051198.0,23.0,2595876,1253587,1342289,221015,984179,520076,294115,244771,331718,552660,496214,330339,348321,522848,345494,368127,375611,375238,376318,377649,374572,348363,1430,107.0,1.0,6.0,,,,,,,,155367,1258489,742285,853404,1416021,676872
144,2120158,11296,8457,2269,1744,2207,1487,1367,1652,1730,539,454.0,34.0,4903.0,640.0,4981.0,168.0,5485,4988,116.0,3428.0,2603.0,906.0,2124.0,1411.0,242858546,179570512.0,48187283.0,35325538.0,52972969.0,28921778.0,30592812.0,31757415.0,32830405.0,15356878.0,13321861.0,11831311.0,83363689.0,14503307.0,109861021.0,8198467.0,128180967.0,88252634.0,1778890.0,56458475.0,47172624.0,22497988.0,48126668.0,42177847.0,9.0,775757,439759,335997,59738,234264,154977,109304,88084,129391,176661,151795,100175,103602,142839,100686,111660,112436,112563,111858,110389,109887,106963,695,41.0,1.0,2.0,,,,,,,,103337,1001095,563508,643155,1022612,446497
145,2120157,37754,26981,10773,5227,4419,5594,5337,6404,5554,5219,112.0,2.0,10838.0,6236.0,18831.0,1735.0,20439,17222,974.0,13473.0,11085.0,6350.0,4302.0,1477.0,1128443629,749070708.0,379372921.0,146704684.0,114366578.0,152980618.0,143768201.0,191250627.0,195127149.0,184245772.0,14566812.0,24377.0,257932695.0,157653837.0,579207515.0,119058393.0,628288754.0,484103898.0,22239435.0,377762236.0,331696945.0,201710339.0,129175464.0,49808238.0,22.0,3272626,1695433,1577193,198589,1166929,743369,413011,318776,431950,760254,624602,389175,415838,640709,442046,453683,451525,455059,454391,462826,500792,494350,593,147.0,,4.0,,,,,,,,385480,4741941,2021308,2370096,4558190,2000421
146,2120156,32923,24662,8261,4520,4936,4666,4712,5828,4145,4116,37.0,22.0,12465.0,5701.0,12789.0,1909.0,17498,13575,1521.0,8308.0,7242.0,5700.0,5485.0,2819.0,891249496,692611862.0,198637634.0,122312250.0,142640068.0,131769978.0,129285863.0,166603703.0,114391012.0,84246622.0,2520765.0,258101.0,231737615.0,101663346.0,366038596.0,189031073.0,489061335.0,252734318.0,19504799.0,166290760.0,177742442.0,131648654.0,151434442.0,95174559.0,22.0,3044195,1396519,1647676,412374,507807,515635,475098,444843,688438,498380,571742,439547,477241,678895,378389,429854,437446,440232,439512,447290,438925,410934,3255,142.0,2.0,7.0,,,,,,,,143207,2449120,1370282,1615339,2671600,943785
