,버스정류장ARS번호,역명,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
0,1001,종로2가사거리(00067),2104,7618,5586,4703,6447,3067
1,1002,창경궁.서울대학교병원(00031),8642,60281,20507,23209,25406,5250
2,1003,명륜3가.성대입구(00088),10863,61221,37320,39123,48870,29423
3,1004,종로2가.삼일교(00029),2459,8440,7307,8545,12571,5489
4,1005,혜화동로터리.여운형활동터(00013),6230,43851,24232,23153,27088,10353
5,1101,경기상고(00059),314,7691,3200,5139,3999,1008
6,1102,신교동(00060),959,15965,9103,11753,12834,2289
7,1103,경기상고(00051),139,6705,2820,4300,4111,1959
8,1104,경복고교(00021),199,6216,3811,6281,3739,765
9,1105,청운중학교(00020),50,5198,664,1814,750,104
10,1106,자하문고개.윤동주문학관(00019),157,4565,4630,6022,4632,909
11,1107,자하문고개.윤동주문학관(00035),209,4667,4645,4476,4704,1831
12,1108,청운중학교(00034),53,2140,1389,4969,1746,548
13,1109,경복고교(00033),193,6818,3531,5623,4097,1690
14,1110,통인시장종로구보건소(00061),1458,17226,13836,17788,18772,3674
15,1111,통인시장종로구보건소(00049),574,11807,7736,9304,12286,4859
16,1112,효자동(00050),378,14219,5868,8450,8774,4037
17,1113,사직단.어린이도서관(00019),936,12657,8623,12813,14083,5180
18,1114,경복궁역1번출구(00044),2957,41388,24823,29251,42863,20175
19,1115,경복궁역(00062),2002,44740,34349,50658,52999,12278
20,1116,경복궁역(00048),1414,43424,28674,31062,45283,21494
21,1117,경복궁(00122),1642,26918,15553,17292,20815,5635
22,1118,KT광화문지사(00121),1875,57876,35579,33763,46022,22221
23,1120,광화문(00045),2372,11796,6558,7761,17276,6990
24,1123,서울역사박물관.경교장.강북삼성병원(00041),1629,14278,7438,10062,14795,5116
25,1124,광화문.금호아시아나본관앞(00044),198,5359,2129,2081,3352,1227
26,1125,광화문(00058),494,439,486,1048,2352,1673
27,1126,세종문화회관(00050),3054,36063,23629,30918,49394,16208
28,1127,서울경찰청.경복궁역(00068),2810,34492,22116,28401,38160,14306
29,1128,사직단(00028),2049,29728,14224,13280,18717,5602
30,1129,광화문광화문빌딩(00026),1717,6087,2221,2078,3630,1477
31,1130,덕성여중고(00015),969,16188,12971,15757,19122,7043
32,1131,안국역.서울공예박물관(00036),1095,14555,10485,14264,18466,7272
33,1132,국민은행세검정지점(00020),736,6856,3478,4132,4130,1567
34,1133,세검정초등학교(00032),1666,21898,10693,11195,12249,3436
35,1134,세검정.상명대(00033),187,7294,5404,6787,8715,2293
36,1135,상명대입구.석파랑(00019),182,4098,1450,1637,2510,727
37,1136,하림각(00016),812,12346,5767,5519,5641,1331
38,1137,자하문터널입구.석파정(00058),425,9627,5786,7333,6428,956
39,1138,부암동주민센터.무계원(00018),385,6042,5189,6627,6516,1090
40,1139,부암동주민센터.무계원(00036),279,3833,4596,4784,5696,2420
41,1140,자하문터널입구.석파정(00052),428,5975,5538,7483,9634,4296
42,1141,하림각(00053),554,5499,4176,6481,10551,4583
43,1142,상명대입구.세검정교회(00039),552,4675,3561,4933,7177,3125
44,1143,세검정.상명대(00082),554,6005,4127,7248,9791,3805
45,1144,세검정초등학교(00083),1702,14030,9209,13699,21111,9835
46,1146,국민은행세검정지점(00053),710,5572,3916,5867,8308,3673
47,1148,승가사입구(00038),18,554,664,926,501,43
48,1149,구기동현대빌라(00039),174,2206,1708,2495,1808,180
49,1150,구기터널.삼성출판박물관(00055),368,5161,3808,5904,5323,1794
50,1151,구기터널.삼성출판박물관(00018),232,5287,3326,3749,4709,1499
51,1152,구기동(00007),898,14204,8178,8872,10957,4132
52,1153,구기동(00004),896,7622,5234,7338,10413,4814
53,1154,승가사입구(00036),96,2173,654,668,852,308
54,1155,갑을씨티텔앞(00031),483,6141,2308,2990,3669,1066
55,1156,평창파출소(00030),1066,15686,6837,6438,9450,3012
56,1157,평창동주민센터(00029),864,13952,8876,12857,12382,3824
57,1158,일성아파트(00028),837,8027,3625,3444,3766,1148
58,1159,롯데아파트(00025),1034,12813,6230,6875,7568,1921
59,1160,롯데아파트(00088),683,5198,3369,4971,7800,3840
60,1161,벽산평창힐스아파트(00087),461,3659,2527,3423,5436,2936
61,1162,예능교회(00086),448,4145,2965,4812,6340,3178
62,1163,서울예술고등학교.평창동주민센터(00085),593,9692,4929,8578,11270,4920
63,1164,화정박물관(00084),701,6720,4176,7399,10512,4966
64,1167,독립문역.서대문형무소역사관(00046),332,3505,3335,5764,8132,4648
65,1168,서대문.서울시교육청(00065),1090,10898,7355,8855,14242,5822
66,1171,독립문(00066),392,6050,3678,3932,4385,1621
67,1172,창덕궁(00113),4077,42275,20258,23329,28714,8421
68,1173,서린동.SK서린빌딩(00030),454,3923,1332,1706,4200,1833
69,1174,청계1가.광교(00035),231,486,294,298,611,483
70,1175,청계2가.수표교(00033),326,836,431,533,673,387
71,1176,청계4가.세운교(00031),87,361,250,305,330,78
72,1177,청계5가.광장시장(00030),128,1029,1251,1383,1052,262
73,1198,원남동(00016),3989,44868,16856,15423,26168,5795
74,1199,창덕궁.우리소리박물관(00124),2260,21992,13892,21259,29062,11126
75,1200,안국역.인사동(00043),1676,41792,28684,37766,43353,15326
76,1201,조계사.종로경찰서(00055),968,18357,13225,15102,21725,9886
77,1202,조계사.종로경찰서(00019),3420,25065,14480,14462,20494,6205
78,1203,안국동(00018),1137,8120,5760,6472,7972,1851
79,1204,종로5가.효제동.김상옥의거터(00065),1055,7897,4454,5247,9437,4329
80,1205,종로5가.효제초등학교(00064),2272,12446,8694,13247,23408,8598
81,1212,종로5가(00041),998,5567,7413,9300,11445,4050
82,1213,청계6가.동대문시장(00029),114,1230,752,729,633,186
83,1214,동대문(00056),3349,8752,6632,7696,8926,3046
84,1215,충신동(00037),1439,9850,4474,4584,6046,2411
85,1217,충신동(00110),732,6052,3732,3210,4325,1976
86,1218,현대그룹빌딩(00126),1072,15719,6436,7113,11762,3078
87,1219,방송통신대.이화장(00064),5484,22540,19058,28675,38974,18672
88,1220,혜화역.마로니에공원(00077),5930,26960,30176,42728,60150,29658
89,1221,혜화역.서울대병원입구(00036),2465,42515,15140,16530,18282,9485
90,1222,방송통신대.이화장(00037),669,8150,4095,5025,6682,2093
91,1223,이화동(이화장)(00112),926,13280,6869,8600,12742,5321
92,1224,창경궁.서울대학교병원(00072),730,22692,12831,15937,16159,4931
93,1225,이화동(이화장)(00061),829,6461,3370,4070,5312,2263
94,1226,혜화동로터리(00050),572,6281,3277,3693,4761,2540
95,1227,명륜동2가.성균관대입구(00073),3263,15111,15414,21782,35212,21785
96,1228,혜화역.서울연극센터(장면총리가옥)(00035),2499,14151,11905,14423,20261,9966
97,1229,혜화역.동성중고(장면총리가옥)(00136),10200,16268,18427,29466,47013,34276
98,1231,종로구민회관.창신동두산아파트(00011),906,9539,5564,5866,6580,2082
99,1235,동묘역앞(00028),556,3627,2561,2801,2629,1169
100,1236,동묘역앞(00080),359,1609,2103,2550,2822,1221
101,1238,창신3동주민센터(00009),750,6211,3145,3727,4164,1768
102,1239,숭인1동주민센터.창신역4번출구(00023),914,10709,7019,8444,12819,7099
103,1240,동묘역.롯데캐슬천지인(00020),1329,13043,13901,16230,25124,11552
104,1243,신설동로터리(00107),7155,32649,14562,12632,15860,5766
105,1246,구기동현대빌라(00035),263,3833,1620,1784,3041,1330
106,1247,광장시장(00026),1382,12968,9206,8613,9985,2943
107,1249,혜화경찰서(00016),43,3337,2384,2586,4438,1296
108,1250,서울역사박물관.김구집무실(경교장)(00043),113,3343,946,736,1914,280
109,1251,청계3가.관수교(00032),161,498,251,329,477,161
110,1252,청계6가.버들다리(00028),243,2242,2441,2633,1184,381
111,1253,청계7가.맑은내다리(00027),756,3045,1501,879,1323,769
112,1254,청계8가.영도교(00026),147,2168,1399,1327,1140,468
113,1256,원남동사거리(00062),809,8004,2895,3683,6300,2198
114,1262,숭인동(00069),1385,6795,6282,7644,9088,4351
115,1267,조계사(00032),192,10913,4281,3216,4203,1393
116,1272,세종문화회관(00033),246,7188,4217,4698,8866,4469
117,1277,이화동(이화장)(00044),827,5735,2510,2525,3246,1844
118,1278,상명대정문(00016),123,42024,32181,33206,31806,9641
119,1279,이북오도청(00037),198,4771,2882,3029,3021,1187
120,1286,상명대입구.세검정교회(00054),82,4272,2443,2035,2925,1506
121,1287,상명대입구.석파랑(00015),533,9243,5986,7894,11773,2156
122,1288,종로중부새마을금고(00059),1877,12142,7051,7190,6259,1568
123,1289,신설동로터리.신한은행앞.서울풍물시장(00024),633,7864,4276,4442,5623,2241
124,1291,청계2가.삼일교(00034),314,1085,595,822,1115,678
125,1292,청계8가.황학교(00025),302,2528,1700,1803,1776,605
126,1763,종로1가(00064),844,8759,5610,7180,11835,5424
127,1293,평창동삼성아파트(00089),293,6701,4274,3253,4074,1770
128,13037,영천시장(00036),3419,17610,19274,31527,41761,18881
129,13036,영천시장(00030),11560,73774,30524,29625,30152,9045
130,1245,동묘앞(00019),308,2512,1511,1979,2657,1786
131,1037,동대문(흥인지문)(00109),19704,76812,42176,37225,41467,17721
132,1041,동묘앞(00070),10609,15360,21709,30961,36120,16833
133,1044,동묘앞(00021),16909,61997,38774,36208,35916,11790
134,1169,서대문역사거리.적십자병원(00037),2390,17510,11072,14966,17927,9153
135,1295,안국역.서울공예박물관(00017),1970,16937,11829,13656,15031,4433
136,1294,안국역.인사동(00031),755,6277,3809,4163,3569,1002
137,1165,강북삼성병원(00042),197,2077,778,780,848,312
138,1008,서울역사박물관.경희궁앞(00036),4288,28546,13753,17682,34058,7963
139,1007,서울역사박물관.경희궁앞(00086),9006,69155,30086,28912,43584,9415
140,1009,광화문(00087),11066,64319,35139,34783,48740,18942
141,1010,광화문(00038),7364,37804,28248,35318,54297,20851
142,1011,종로1가(00088),8073,50953,33774,39614,62408,23051
143,1012,종로1가(00037),8319,56622,30228,33008,55734,21266
144,1013,종로2가(00126),19758,34473,31042,39678,61528,34467
145,1014,종로2가(00040),19738,64009,37464,42274,63940,29408
146,1015,종로3가.탑골공원(00127),15118,32868,37236,42777,59474,34937
147,1016,종로3가.탑골공원(00092),16733,50528,36925,39776,51295,22187
148,1017,종로4가.종묘(00061),5365,18359,21678,25264,32007,9947
149,1018,종로4가.종묘(00029),5780,33852,25260,25401,24218,5370
150,1019,종로5가.광장시장(00073),6572,42353,50443,55250,62402,18633
151,1020,종로5가.광장시장(00052),3574,34638,32813,33097,30586,7792
152,1021,종로6가.동대문종합시장(00027),6062,21759,31954,41997,40393,12651
153,1022,종로6가.동대문종합시장(00023),6386,48443,38411,38874,30335,7444
154,1023,동대문역.흥인지문(00060),29156,49278,48641,61312,83763,46798
155,1297,남인사마당(00022),0,559,1149,1682,2463,800
156,1209,창덕궁.서울돈화문국악당(00061),270,1543,1161,1460,2014,806
157,1119,국립고궁박물관(00017),0,2380,1861,1525,1124,373
158,1601,청와대(00018),0,5936,4953,3978,1610,217
159,1602,춘추문(00019),0,2003,2574,2667,2280,319
160,1603,경복궁.국립민속박물관(00020),0,756,2142,3258,3582,430
161,1863,경진빌라(00029),0,101,61,122,240,75
162,1532,혜화초등학교(00008),41,4340,1523,1494,1244,473
163,1864,명륜시장.성대후문(00029),123,7174,4833,3712,5031,2757
164,1530,오거리.한옥마을입구(00004),0,736,391,491,597,56
165,1865,완성빌라(00030),0,476,299,388,845,187
166,1529,삼청파출소(00004),0,1074,1312,2205,2603,411
167,1866,양현관(00030),56,1934,957,956,1587,1231
168,1528,종로5가입구.혜화경찰서(00004),1,646,845,799,430,103
169,1868,상명대후문(00031),0,418,406,644,1019,327
170,1526,원서고개(00017),0,1236,738,951,1340,656
171,1869,샘미용실(00031),31,335,439,640,973,816
172,1524,창신쌍용2단지.한성대후문(00003),0,4815,3167,4859,5965,1400
173,1870,산정빌라(00032),0,17,27,44,57,6
174,1523,경희궁자이2.3단지(00003),0,551,372,580,724,268
175,1522,오거리(00003),0,57,99,200,283,101
176,1521,국민생활관(00007),41,6551,2996,2921,2663,670
177,1872,문방구(00033),0,41,58,141,122,24
178,1873,마트앞(00034),0,384,292,489,611,113
179,1519,통인시장앞(00003),0,2041,1163,1387,1712,197
180,1520,양현관(00003),14,2157,1338,1249,1541,1412
181,1874,국민은행.세검정지점(00035),0,120,72,206,143,16
182,1518,삼청동주민센터(00003),0,1535,1789,3035,4370,734
183,1517,세검초등학교(00003),5,102,23,51,76,9
184,1516,빨래터(00016),0,1151,604,629,892,360
185,1876,혜화역4번출구(00010),113,14485,8738,10436,11681,4047
186,1877,방송통신대앞(00012),21,2151,1036,1115,1300,301
187,1513,화정박물관(00002),0,297,112,334,519,242
188,1878,서울대치과대학(00010),0,1395,275,195,133,35
189,1512,서울국제고등학교(00006),145,4231,1607,2034,1560,265
190,1511,샘미용실(00002),9,2033,832,680,581,223
191,1879,효제초교.연동교회.김마리아활동터(00016),1,3098,1555,1624,1789,646
192,1510,박노수미술관(00002),0,7206,2152,1615,1645,264
193,1509,금융연수원(00002),0,1017,1205,2479,3733,783
194,1508,화정박물관(00002),0,258,43,29,50,28
195,1507,세탁소(00015),0,1045,708,841,1220,609
196,1883,서울대치과대학(00002),0,611,328,436,535,40
197,1506,낙산공원(00030),86,1873,1788,2871,4167,2290
198,1503,명륜3가종점(00032),268,5396,2735,3172,4537,2688
199,1502,수성동계곡(00001),179,6696,3963,4759,5645,2512
200,1887,서울대학교병원현관.암병원현관(00017),269,16695,7571,7192,3453,778
201,1505,서대문역3번출구(00028),21,8753,6097,8213,13802,5635
202,1525,통일부(00003),0,58,107,221,342,36
203,1531,명륜시장.성대후문(00004),99,6522,3763,4524,4767,1596
204,1500,평창파출소(00001),163,4012,1944,3238,3665,1436
205,1564,가회동주민센터(00008),0,759,949,1232,1169,97
206,1562,독립문초등학교(00007),0,632,506,902,976,483
207,1561,아름다운실버(00007),0,132,72,103,96,23
208,1558,창덕궁(00008),0,1211,580,493,441,110
209,1556,북촌한옥마을입구.정세권활동터(00020),0,1369,1755,2538,2050,123
210,1555,청룡사.보문파크뷰자이아파트(00006),3,2986,1232,1112,952,336
211,1553,소나무집(00006),0,177,153,342,604,293
212,1551,경복궁(00006),0,560,1087,1888,2509,410
213,1550,종로3가.1.3.5호선(00006),84,14918,6383,5887,5145,1073
214,1548,안국선원.삼거리(00019),0,1140,1006,1006,1021,137
215,1547,사우디대사관앞.경남빌라(00005),0,645,368,548,597,45
216,1546,종로센트레빌후문.e편한세상보문아파트(00005),0,1054,492,594,524,93
217,1545,경희궁자이4단지(00005),0,1521,1524,1875,2288,709
218,1544,언덕앞(00005),0,185,55,142,254,125
219,1543,혜화우체국(00009),99,5962,2555,2537,2194,640
220,1542,새마을금고(00005),49,2963,1884,1992,2375,654
221,1541,광화문새마을금고(00005),0,1092,617,580,845,156
222,1539,종로4가.종묘공원(00005),2,1832,1047,976,686,116
223,1538,인왕빌딩(00005),0,211,45,23,83,7
224,1537,중앙중고(00018),0,1799,465,840,740,239
225,1536,감사원(00004),1,868,1529,2508,3618,346
226,1535,명신초.삼선푸르지오.힐스테이트(00004),0,3157,1328,1124,861,156
227,1534,영천시장(00004),0,1789,1979,3050,3433,1024
228,1533,청련사입구(00004),0,212,99,179,310,193
229,1594,한국사회과학자료원(00012),0,2005,1052,1664,2505,1049
230,1593,감나무골공원(00012),0,83,19,45,99,28
231,1592,혜화역1번출구(00023),248,8561,5838,6301,9538,6298
232,1591,서울대병원장례식장(00013),0,264,160,223,527,72
233,1590,완성빌라(00012),7,307,211,329,688,197
234,1589,낙원상가(00012),1,1627,1694,2429,2590,467
235,1586,힐탑(00011),0,207,139,157,248,81
236,1584,상명대후문(00011),3,1898,758,771,925,250
237,1583,수운회관(00003),0,911,653,810,978,129
238,1581,넓은마당(00010),0,1706,1487,2151,3300,2022
239,1580,화인빌라(00010),0,220,53,144,229,155
240,1578,서울대어린이병원응급실.갑상선센터(00011),0,3996,1500,1208,465,163
241,1576,헌법재판소.안국역(00002),3,1891,2347,4130,5261,1133
242,1574,무악현대아파트후문(00009),0,1682,1435,2182,3162,1578
243,1573,박종화고택입구(00009),0,134,50,93,159,89
244,1572,이화사거리(00013),64,5828,1991,2349,2445,870
245,1571,산정빌라(00009),0,65,59,102,96,31
246,1570,아름다운가게.정독도서관(00009),3,1158,1378,2227,2233,329
247,1569,쌍용아파트입구.창신역(00008),0,3301,1671,2162,2821,704
248,1568,천사유치원(00008),0,1726,1188,1685,2963,1417
249,1567,보현산신각(00008),0,164,95,149,213,88
250,1566,원남로터리(00009),0,1849,756,607,660,235
251,1565,문방구(00008),0,116,72,55,59,15
252,1795,평창동산림제3초소(00017),0,152,71,124,96,53
253,1793,통인시장.종로구보건소(00017),8,2264,1646,1850,2746,1185
254,1792,삼청파출소(00017),0,1957,2034,1679,1506,347
255,1790,종로사우나(00009),2,1550,1063,1234,1521,573
256,1776,종로도서관(00016),0,874,495,1441,442,102
257,1732,평창공원지킴터입구(00016),0,143,56,144,117,32
258,1729,오거리.한옥마을입구(00016),0,979,616,590,829,318
259,1728,정독도서관(00016),0,3289,2776,2683,1393,173
260,1727,인사동들머리.3.1독립선언터(00008),0,110,149,154,219,110
261,1725,종로5가.3번출구(00015),0,14529,7184,7405,10069,4091
262,1724,활터앞(00015),0,209,228,193,160,34
263,1723,참샘골공원(00015),0,201,120,161,145,73
264,1721,광화문새마을금고(00015),0,1078,763,736,962,332
265,1714,상명초등학교(00015),0,186,44,45,60,13
266,1699,단군성전앞(00014),0,170,106,128,129,72
267,1698,무애사(00014),0,138,38,76,73,49
268,1684,서교빌라(00014),0,171,66,94,135,33
269,1683,종각역YMCA(00014),77,7313,4637,5261,6410,1625
270,1682,동대문역.2번출구(00013),0,5708,3393,3562,3908,971
271,1667,종로문화센터(00013),0,853,893,579,951,195
272,1607,EN갤러리(00013),0,80,50,69,152,77
273,1597,경진빌라(00013),0,154,46,51,80,23
274,1596,금강제화(00005),5,3951,3273,3625,4174,814
275,1825,창신초교(00021),16,624,644,1323,1337,589
276,1824,교남동새마을금고(00023),0,1079,791,1041,971,275
277,1823,형제봉입구(00021),0,26,33,53,25,5
278,1819,현대사거리(00013),0,321,277,300,345,113
279,1817,대신중고(00021),0,3553,1022,2035,1519,473
280,1816,연화정사(00020),0,45,37,77,70,12
281,1815,이화사거리(00020),8,2847,1017,784,813,341
282,1814,삼청공원삼거리.옥호정터(00020),1,1763,842,621,553,128
283,1812,재동초등학교(00019),1,1010,1289,1202,1183,243
284,1810,카센터.터널앞(00020),0,408,214,407,360,113
285,1809,감람산기도원(00019),0,73,23,45,49,29
286,1807,금융연수원(00019),1,3895,740,626,611,189
287,1804,충신시장(00018),0,2220,1407,1614,2115,1025
288,1803,사직공원.경복궁역입구(00018),0,3568,2423,3216,3803,968
289,1802,김창열.윤명로화실(00018),0,169,42,61,55,23
290,1801,박노수미술관(00018),30,984,1105,1521,2978,1761
291,1800,삼청동주민센터(00018),0,3031,2184,1386,1421,356
292,1799,상명대입구(00018),0,41,28,50,51,11
293,1797,대학로입구.이화사거리(00017),0,5343,3052,5934,6034,2584
294,1798,운현궁(00010),0,72,63,73,45,10
295,1796,배화여중고.매동초교(00017),0,4405,1098,1912,1346,328
296,1851,감사원(00024),0,6643,1622,1771,1217,429
297,1850,청룡사.보문파크뷰자이아파트(00025),39,1801,1259,2033,4642,2268
298,1849,강북삼성병원(00027),0,2267,1020,945,584,111
299,1847,혜화초등학교(00025),53,2928,1928,2530,2923,1410
300,1846,상명대입구(00025),0,4554,2176,1031,780,158
301,1845,사우디대사관(00023),0,1722,644,699,642,263
302,1843,서울시교육청(00026),4,746,339,272,236,29
303,1842,김종영미술관(00024),0,46,36,56,47,2
304,1840,세검정교회(00024),0,687,262,163,152,29
305,1839,안국선원.삼거리(00022),0,2521,790,610,595,195
306,1837,스위스대사관(00025),0,213,84,129,136,21
307,1836,보현빌라(00023),0,250,89,83,76,25
308,1835,하림각(00023),0,611,223,248,523,159
309,1833,북촌한옥마을입구.정세권활동터(00021),0,2305,2085,2267,1259,285
310,1832,숭인1동주민센터(00022),10,754,868,1463,1755,659
311,1831,월암공원(00024),0,399,278,502,463,103
312,1830,지구촌교회(00022),0,365,43,205,231,91
313,1829,부암슈퍼(00022),0,511,159,154,183,49
314,1827,볼링장(00014),0,345,271,258,357,102
315,1826,가회동주민센터(00020),0,818,719,725,681,195
316,1862,새마을금고(00028),161,4663,3564,3388,4985,3336
317,1861,상명초등학교(00028),0,162,76,148,141,17
318,1858,서울국제고등학교(00027),57,2483,1226,1801,2749,1781
319,1856,통일부(00025),0,478,132,84,87,21
320,1855,종로센트레빌후문.e편한세상보문아파트(00026),57,636,733,1448,2756,1492
321,1540,국립민속박물관(00005),0,397,1316,2425,2925,336
322,1685,경복궁역(00014),0,3571,2903,3462,5086,2192
323,1501,삼청공원(00021),18,2441,1506,2061,3304,583
324,1720,법련사(00015),0,4076,2357,1990,1368,216
325,1791,엄마분식(00017),0,57,63,62,27,6
326,1821,부암동주민센터.무계원(00021),0,457,385,495,638,101
327,1549,구기터널입구(00006),1,690,295,224,157,28
328,1577,청구빌라(00010),12,1279,482,516,789,213
329,1554,독립문역3번출구(00006),0,4056,2410,4154,5766,2576
330,1587,신학대학교총회본부(00011),0,511,231,461,641,301
331,1514,적십자병원후문앞(00002),0,108,93,175,209,92
332,1805,안국역2번출구앞(00011),0,13600,6332,5228,5026,1338
333,1794,종로5가역(00017),0,8419,6142,6893,9056,3525
334,1702,동대문종합시장(00014),0,2562,2183,2589,2671,743
335,1598,성균관대학교앞(00014),0,636,797,773,1338,357
336,1841,혜화동로터리(00024),19,5544,3148,3552,3629,1676
337,1852,국민생활관(00026),65,4479,2046,2456,3439,1753
338,1515,서울성곽.성대후문(00002),0,293,159,156,118,13
339,1860,성대후문.와룡공원(00026),0,1201,832,755,978,253
340,1881,성균관대학교(00027),6,9261,8233,6919,7399,1657
341,1595,동묘역(00012),0,3575,2147,2329,2697,776
342,1563,종로센트레빌아파트(00007),0,1892,671,767,870,136
343,1582,창신초등학교(00010),0,2336,1503,1542,1376,331
344,1844,창신쌍용1단지.종로센트레빌아파트(00024),30,1219,1517,2318,3872,1723
345,1888,공평.종각(00007),0,4570,3259,2984,3041,499
346,1889,조계사(00016),0,1440,1223,961,629,74
347,1882,독립문역(00021),87,1470,1036,1987,3219,1376
348,1820,교남동주민센터(00022),0,369,477,275,252,77
349,1557,종로1.2.3.4가동주민센터(00007),0,1700,1198,1207,1475,419
350,2001,남대문세무서.서울백병원(00048),4259,24496,20551,27698,39047,22238
351,2002,서울백병원.국가인권위.안중근활동터(00057),3698,80166,47013,38241,44698,14923
352,2003,서울역버스환승센터(00020),971,7143,6107,9763,16137,6462
353,2004,서울역버스환승센터(00025),15828,62116,39261,47837,82170,35000
354,2005,서울역버스환승센터(00035),10572,51606,26033,25504,41499,21045
355,2006,서울역버스환승센터(00038),9214,78882,36858,40776,74448,33572
356,2007,서울역버스환승센터.강우규의거터(00032),8001,40172,23378,21210,27783,12210
357,2008,숭례문(00046),5096,13559,10026,14195,29501,9382
358,2101,만리동고개(00043),2366,16284,8266,11579,18019,9451
359,2102,손기정체육공원입구(00042),944,8909,5034,6890,11688,5004
360,2103,서울의료보건고등학교.서울역서부(00041),1424,8884,6040,7308,13878,7189
361,2104,서울역서부(00001),34,5288,5186,7749,12809,4243
362,2105,서울역서부(00056),1630,9655,5897,6719,8558,3131
363,2106,중림동교차로(00040),894,4887,3461,4715,7174,2292
364,2107,종근당.충정로역(00036),2476,16079,6712,6241,7815,3611
365,2108,한국경제신문사.서소문역사공원(00037),481,5432,3129,3405,5485,1691
366,2109,한국경제신문사.서소문역사공원(00047),368,4128,2921,3775,6094,1890
367,2110,경찰청.동북아역사재단(00009),2201,35045,13300,20037,39452,14174
368,2113,서대문경찰서.농협은행.유관순활동터(00088),2344,17525,11023,19146,32429,14596
369,2116,염천교(00046),658,6172,2825,3610,9464,2425
370,2117,숭례문(00028),544,1348,631,735,1805,823
371,2118,숭례문.한국일보(00032),1410,6630,4451,5866,10412,4045
372,2120,후암삼거리(00049),233,5158,1995,1835,2398,729
373,2121,숭례문(00036),157,1730,897,1369,2259,1132
374,2122,숭례문(00033),4272,28788,15593,14255,18711,7479
375,2123,숭례문(00030),1085,10644,5772,5846,9314,3486
376,2124,남대문시장악세사리전문상가(00013),541,8703,8946,9428,8836,3765
377,2125,숭례문남산방향(00061),237,4803,5272,6894,6629,1614
378,2126,남대문시장(00045),713,4449,5214,4597,3891,982
379,2127,북창동.남대문시장(00050),5890,32616,35692,44734,46336,15027
380,2128,시청앞(00045),3283,38495,22075,20685,31112,14210
381,2131,삼성본관앞(00046),2449,15368,11578,13072,22629,8718
382,2132,시청앞(00065),467,3739,2945,4319,8257,3943
383,2133,서소문(00039),2281,13317,7194,7851,11577,3743
384,2135,시청.서소문청사(00046),3809,22959,12651,15421,31563,11980
385,2137,서울신문사(00015),1804,32425,16934,15273,24998,10739
386,2139,우리은행종로지점(00125),5749,46218,22721,21377,34322,15067
387,2140,롯데백화점(00019),10360,48502,47753,58957,87432,28296
388,2141,해운센터.롯데영프라자(00057),1007,6158,5441,6658,9165,2683
389,2142,롯데영프라자(00090),6898,56380,46210,50750,69886,28751
390,2144,신세계앞(00020),1321,8211,9658,11637,14534,3653
391,2145,남대문시장.회현역(00036),3237,17308,18978,23444,18834,6711
392,2146,남대문시장.회현역(00048),3604,28778,24705,21284,16834,5448
393,2147,남산3호터널(00021),1005,6388,4985,6248,11099,3879
394,2148,남산3호터널.서울애니메이션센터(00056),1120,18226,12888,13150,15020,5936
395,2149,명동입구(00049),2200,15382,13381,15406,21354,10085
396,2150,퇴계로2가.명동역(00061),4094,18136,16422,19171,24328,13137
397,2151,퇴계로3가.한옥마을.한국의집(00060),3258,17992,9072,9377,12847,5117
398,2152,퇴계로3가.한옥마을.한국의집(00050),1556,9977,8606,8932,11220,3434
399,2153,충무로역2번출구.대한극장앞(00051),1865,13028,10548,11387,14803,5466
400,2154,충무로역8번출구.대한극장앞(00059),3851,15390,8852,9720,14363,7095
401,2155,초동(00044),177,995,693,717,1167,685
402,2156,을지로입구.로얄호텔(00035),3130,15311,8190,9814,17085,10049
403,2157,을지로입구.시청입구(00045),3775,17525,8669,8007,14525,6635
404,2158,을지로2가.기업은행본점.서울노동청(00044),5075,28659,13653,14326,26107,11638
405,2159,을지로2가.파인에빈뉴(00112),1436,19575,8800,8818,12656,7002
406,2160,을지로3가(00043),4177,13409,6891,7539,11106,5103
407,2161,을지로3가(00037),2635,4926,3804,4409,8577,7307
408,2162,을지로4가(00055),2218,10008,4954,4983,6746,1883
409,2163,을지로4가.베스트웨스턴국도(00077),1996,10520,6686,7865,11944,5092
410,2164,중구청앞.덕수중학교(00046),1025,7771,3112,3205,3748,1407
411,2165,을지로5가(00054),1413,8796,5162,5063,3926,1044
412,2166,을지로5가.중부시장(00115),977,5429,6003,6266,7264,2722
413,2167,방산시장.훈련원종합체육관(00040),688,2808,2828,2813,3527,1352
414,2168,을지로5가.훈련원종합체육관(00039),306,1655,1227,2005,3063,1327
415,2169,을지로6가.국립중앙의료원(00116),2498,6696,6420,8116,12056,6268
416,2170,광희동(00034),3616,25726,11705,10932,15930,6750
417,2171,광희동(00054),8844,17435,13376,13952,23938,11062
418,2172,을지로6가.국립중앙의료원(00040),3160,8924,5830,6131,6432,2451
419,2173,동대문역사문화공원(00131),12263,26102,27016,34899,37504,14362
420,2174,동대문역사문화공원(00035),17386,24928,28909,34171,41110,22756
421,2177,충무아트센터.스포츠센터.중부소방서(00039),4275,16123,8966,10017,12624,6296
422,2178,충무아트센터.스포츠센터.중부소방서(00118),3365,8812,7751,10892,14692,7285
