,버스정류장ARS번호,역명,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
2557,8493,극동아파트정문(00004),31,125,148,185,257,179
2558,8494,고려대법과대학.한국어교육관입구(00004),0,369,419,538,691,385
2559,8495,래미안세레니티(00027),43,1215,475,600,894,458
2560,8499,월곡1동밤골경로당(00004),6,73,29,33,29,7
2561,8503,정수초교(00004),0,50,46,64,113,45
2562,8504,홈마트(00004),92,1889,1201,1155,1870,911
2563,8506,극동아파트후문(00005),41,573,246,369,606,268
2564,8507,고려대안암학사(00005),0,604,288,547,692,385
2565,8508,통일교회(00028),44,1430,385,368,467,238
2566,8510,장위1동치안센터(00005),106,1970,707,557,711,194
2567,8511,소망슈퍼(00004),29,824,331,371,977,420
2568,8468,월곡청소년센터(00002),7,305,138,177,180,18
2569,8512,초림빌라(00005),74,295,131,138,87,18
2570,8513,대림상가앞(00005),52,1833,946,1086,1349,247
2571,8514,현대아파트앞(00005),414,12082,3257,2632,2605,523
2572,8516,산장아파트(00004),12,410,222,190,103,38
2573,8517,그린빌라(00005),0,58,73,132,236,80
2574,8519,삼선시장앞(00004),22,1471,800,844,1036,280
2575,8521,종암아이파크2차정문(00006),33,273,161,248,402,146
2576,8522,고려대아이스링크(00006),0,960,649,1181,1720,753
2577,8523,그린마트(00006),0,17,10,5,9,1
2578,8526,장위천주교앞(00005),105,831,283,421,933,331
2579,8527,동덕여대후문(00006),7,199,68,148,116,19
2580,8528,대림APT정문(00006),23,1031,431,560,519,91
2581,8529,래미안821동앞(00006),109,4636,1056,1290,1196,203
2582,8532,정수빌라(00006),0,480,205,221,512,126
2583,8467,슈퍼앞(00002),64,2114,513,380,556,80
2584,8534,한성대전철역입구(00005),40,6688,6426,8849,11532,3616
2585,8537,정덕초교입구.이수아파트(00014),45,870,928,1412,2096,839
2586,8538,현대홈마트(00007),98,619,470,678,1055,562
2587,8539,성북구의회(00007),0,462,251,387,376,123
2588,8540,종암아이파크2차후문(00007),13,780,265,371,545,200
2589,8542,장위시장(00007),80,2839,1597,1483,1963,440
2590,8543,두산아파트후문(00007),67,1137,534,825,670,84
2591,8548,그린빌라(00007),0,24,11,9,12,0
2592,8552,돈암지구대.현대아파트(00015),124,1675,1513,2033,4035,2024
2593,8554,개운중학교(00008),0,557,278,681,319,128
2594,8555,성북노인정입구(00008),0,160,49,66,73,36
2595,8557,어해랑앞(00008),21,1104,467,457,714,224
2596,8558,자산약국.월곡전철역입구.6호선(00008),45,3899,1018,1088,1527,290
2597,8559,동부아파트.샘물교회앞(00008),101,2145,450,364,331,91
2598,8562,수녀원(00007),6,132,61,77,64,21
2599,8563,정수초교(00008),0,11,1,16,9,0
2600,8564,고려대이공대(00008),132,6101,2354,1974,1772,792
2601,8566,삼선교.한성대입구역(00009),617,18572,6344,4911,4891,829
2602,8567,한신103동앞(00008),100,1871,680,460,411,59
2603,8569,돈암신일해피트리아파트(00016),153,1357,1681,2340,4655,2538
2604,8570,통일교회(00014),41,1366,612,693,1086,535
2605,8571,풍림아파트.성신초교(00009),0,1611,551,1906,805,294
2606,8572,한미약국(00010),0,3046,2711,3475,5583,2641
2607,8574,세광빌라(00008),48,736,453,419,735,173
2608,8466,고려슈퍼(00002),0,1136,355,252,187,69
2609,8576,래미안길음센터피스120동앞(00009),18,286,98,120,86,25
2610,8581,고대병원(00009),53,4152,2088,2090,1403,612
2611,8584,풍림106동(00010),0,756,460,620,544,201
2612,8585,성북노인정입구(00011),0,58,84,140,187,106
2613,8586,장위3동주민센터(00012),60,1657,774,809,1126,267
2614,8587,관문약국(00009),43,1374,483,693,798,138
2615,8589,영훈중고후문.길음래미안센터피스(00010),95,2465,713,1369,988,291
2616,8590,길음시장앞(00009),71,1630,1571,2530,2630,635
2617,8592,구.정릉3동주민센터(00009),5,423,150,117,97,24
2618,8596,지하철4호선한성대역(00010),196,15444,13065,12094,9966,1918
2619,8597,참누리아파트(00011),95,1010,1056,2093,3446,1385
2620,8598,고명중고교(00011),119,1103,591,1203,1669,558
2621,8997,삼선동주민센터(00012),760,12957,13039,17902,21654,8837
2622,8600,장위119안전센터(00012),4,295,62,73,141,20
2623,8602,우리랜드사우나(00011),30,2570,523,549,579,150
2624,8657,미아사거리전철역(00011),434,8423,5126,6350,7875,2460
2625,8662,길음시장입구(00016),204,2097,2586,3988,6180,2582
2626,8714,정든마을(00010),3,262,158,167,69,11
2627,8716,고대사거리(00011),39,724,536,648,833,484
2628,8465,종암교통정보센터(00002),0,2145,685,860,887,301
2629,8987,한진207동앞(00026),146,772,726,1542,3210,1877
2630,8988,한진202동앞(00027),388,1240,1925,2992,6347,3757
2631,8718,삼선교역2번출구(00024),5,8185,8210,8028,8292,2842
2632,8721,삼선교제1시장(00011),20,729,786,1367,2275,727
2633,8989,한진204동앞(00003),610,11378,4055,2885,2914,428
2634,8722,개운초등학교(00012),10,384,306,765,663,340
2635,8984,한신105동앞(00022),335,795,1519,2743,5708,3860
2636,8983,석관동주민센터(00008),68,2702,1083,1005,1831,433
2637,8727,브라운스톤(00012),0,1309,626,927,1082,281
2638,8982,양광교회.죽림정사앞(00011),118,1736,774,863,1265,617
2639,8728,그린마트(00013),0,63,80,172,267,174
2640,8981,래미안세레니티(00015),92,1989,988,1046,1467,573
2641,8980,꿈의숲대명루첸아파트(00010),108,1822,1568,2559,4029,1357
2642,8731,래미안610동앞(00017),25,486,533,823,1088,418
2643,8979,성북세무서앞(00003),31,1881,1053,1403,1205,289
2644,8733,수보약국(00011),1,533,244,160,152,46
2645,8977,종암로한진택배(00036),4,740,400,905,908,438
2646,8976,고려대법과대학.한국어교육관입구(00035),3,794,400,383,422,241
2647,8975,종암중학교(00035),9,577,122,78,111,28
2648,8973,고려대안암학사(00034),2,434,210,256,338,350
2649,8734,쌍다리(00011),7,910,651,586,884,318
2650,8972,선경아파트(00034),18,1524,141,146,163,86
2651,8744,녹십자약국(00025),34,4900,3169,3602,3725,1356
2652,8745,삼선교제2시장(00012),22,472,336,538,1018,304
2653,8748,종암래미안(00013),12,745,314,314,289,131
2654,8749,힐스테이트(00013),0,629,182,346,328,81
2655,8750,현대백화점(00013),25,1497,2535,3613,3854,689
2656,8751,래미안609동앞(00018),107,992,1037,1949,2994,1181
2657,8757,오렌지마트(00013),13,175,213,295,395,162
2658,8758,정릉시장입구(00012),2,425,319,298,202,27
2659,8759,용광교회(00012),0,260,350,619,933,392
2660,8760,삼영탕앞(00033),5,412,261,241,301,134
2661,8765,성북세무서앞(00013),17,722,576,1227,1046,423
2662,8766,종암아이파크1차후문(00014),14,624,201,344,210,70
2663,8767,우성APT정문(00014),0,692,227,695,437,135
2664,8769,현대자동차길음지점(00014),20,343,216,384,581,252
2665,8770,래미안501동앞(00013),231,2720,1699,3304,5947,2930
2666,8464,종암중학교(00002),7,174,158,1139,289,140
2667,8771,양씨가게앞(00013),3,359,371,501,905,351
2668,8772,성북세무서앞(00034),4,222,244,347,471,240
2669,8773,본교회앞(00014),39,657,426,518,840,378
2670,8775,성북소방서(00015),13,285,172,207,177,68
2671,8780,장위119안전센터(00016),14,403,161,250,523,241
2672,8783,길음전철역(00015),444,2146,1962,3896,8388,4724
2673,8786,길음1동주민센터.길음중앙새마을금고앞(00014),150,1558,1413,2957,4980,2189
2674,8788,슈퍼앞(00014),30,409,412,495,737,328
2675,8789,한성대삼거리(00035),7,574,502,663,1073,556
2676,8790,고려삼계탕(00015),76,1723,1237,1704,2294,592
2677,8791,종암아이파크1차정문(00016),2,453,218,213,199,28
2678,8795,돈암힐스테이트.코오롱하늘채(00016),0,562,259,466,353,83
2679,8796,고려슈퍼(00017),0,325,627,921,2030,1124
2680,8500,새생명교회(00004),256,9415,2826,2779,2598,495
2681,8798,새생명교회(00015),228,1323,1475,2907,5954,3082
2682,8801,노인정(00015),18,1243,903,970,1099,523
2683,8971,하트마트편의점(00034),61,677,509,732,1080,686
2684,8807,(구)법화사(00036),5,493,473,437,357,103
2685,8970,고려대아이스링크(00033),6,480,400,854,1062,881
2686,8969,극동아파트정문(00033),6,434,91,103,136,38
2687,8808,범양APT입구(00017),52,1422,510,469,383,201
2688,8966,장위1동노인정(00033),45,359,463,676,1175,609
2689,8965,성북구의회(00032),1,497,331,429,446,205
2690,8964,극동아파트후문(00032),9,514,216,153,185,112
2691,8962,동구마케팅고후문(00031),52,5338,536,700,923,578
2692,8819,대우APT정문.대림APT후문앞(00022),414,2667,2485,5183,11103,5265
2693,8961,삼선초교(00030),23,351,487,910,1208,731
2694,8960,태광빌라(00032),43,394,330,515,932,415
