기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,골목상권,2111015,석촌역 3번,CS100010,커피-음료,185683147,111831217,73851930,18479530,21696879,24037441,19743267,27874100,40815733,33036197,,16452069,66655369,64194181,36119066,2262462,54930573,128229936,360105,44755628,72739794,31150989,22204821,11949172,28
2022,4,골목상권,2111014,송파나루역 2번,CS100010,커피-음료,54908197,38157470,16750727,8287152,7163541,7458222,7759548,7489007,9793537,6957190,,3669633,14761491,13465172,14852716,8159185,35874271,17432723,745484,18950712,13497455,9003503,7627380,3482458,6
2022,4,골목상권,2111013,송파나루역 1번(송리단길),CS100010,커피-음료,735632127,371180195,364451932,79990825,58378036,72705252,67416884,92689198,205798245,158653687,,12023853,204626636,249463668,244924075,24593895,213402588,504404242,22160181,361137559,198140688,67012754,52337318,17018331,60
2022,4,골목상권,2111012,석촌역 6번,CS100010,커피-음료,90850319,47724776,43125543,6117803,7699835,9975096,9081568,14850474,27647531,15478012,,15545038,33636474,29740446,10049577,1878784,34700707,53853941,338321,18498145,33919469,22149091,8334186,5315436,13
2022,4,골목상권,2111010,석촌역 7번,CS100010,커피-음료,31648629,20487198,11161431,4433314,4065212,3624242,4213450,4150980,4703059,6458372,,1644236,12415041,8807621,6668219,2113512,12453857,17451656,,3793475,5277507,4664426,9531768,6638337,17
2022,4,골목상권,2111008,석촌고분역 3번,CS100010,커피-음료,47717407,32093835,15623572,6374222,6527294,5415020,7780522,5996777,10517152,5106420,1750602,9693037,18719919,14797214,2046107,710528,23031773,19580262,297308,7357209,11115277,10994588,7204221,5643433,7
2022,4,골목상권,2111007,석촌고분역 4번,CS100010,커피-음료,58945309,41029767,17915542,6192300,9555989,13932888,3961550,7387040,8957771,8957771,,8539271,27418500,10277117,1508485,2244165,12670194,35007398,,2522389,13166416,10229104,5610277,16149406,8
2022,4,골목상권,2111006,석촌고분역 1번,CS100010,커피-음료,95645543,66049824,29595719,11525500,15158825,10949783,12990344,15425372,14416801,15178918,,11606970,31031984,29531011,21083396,2392182,43857837,46822678,1865749,14373390,25026546,22213748,15201210,11999872,15
2022,4,골목상권,2111005,삼전역 3번,CS100010,커피-음료,89005387,66066787,22938600,16487985,13583441,11619018,11046085,13330258,16656841,6281759,,22164504,23659279,27459936,15206587,515081,38967942,41639254,56324,9604837,26496835,22189008,11362379,10897813,11
2022,4,골목상권,2111004,삼전역 1번,CS100010,커피-음료,695283353,456921389,238361964,94326128,86212424,90188878,87191100,99002859,128094785,110267179,,100748897,199824083,182317953,161928947,50463473,328281865,329881560,12867632,163872682,189264972,150716287,105140767,36301086,17
2022,4,골목상권,2111003,삼전역 4번,CS100010,커피-음료,1137080707,721960446,415120261,145785591,135288207,139678449,127756757,173451442,217825328,197294933,2449598,159607675,301928511,270572966,307525557,94996400,452050186,610281685,13194285,240944978,320544607,233765131,184374034,69508837,16
2022,4,골목상권,2111001,아래방죽마을공원(율현초등학교),CS100010,커피-음료,50876245,37452385,13423860,5109795,8623290,7864814,7584762,8269724,7547421,5876439,,6645417,28889772,9409772,5931284,,17136893,29241006,338397,4629038,11597683,14167167,9204400,6441213,7
