,호선명,지하철역,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
410,6호선,망원,988414,21704495,12680945,15031891,24699204,8756690
411,6호선,버티고개,189333,4091479,1845372,2089187,3840138,1426930
412,5호선,올림픽공원,84075,2331994,1441221,1810084,2526525,1210603
413,5호선,마천,901449,11948293,4508704,5130874,8753958,3211855
414,5호선,미사,360416,8832501,3442309,4055504,8719172,3068456
415,6호선,구산,753439,14129613,5812057,6440321,9849979,3554426
416,7호선,중계,1685933,30171978,11370069,11978890,21608871,8999340
417,7호선,하계,1680427,34408430,15632234,17525901,29136180,11583070
418,7호선,공릉,324805,5061784,2211990,2529673,4563615,2006282
419,7호선,먹골,1199382,18737049,8025552,9010199,17189127,6587879
420,7호선,중화,1407882,21190058,8251422,9343039,18206514,7110376
421,7호선,면목,1916668,30484760,11406654,13407712,25163999,9729896
422,7호선,이수,1194729,25689858,12939666,15273592,28915104,11829797
423,7호선,남성,1068668,21564968,8781301,9533410,17274288,6961618
424,7호선,숭실대입구,320785,6197968,2828767,3077085,5360407,2643016
425,8호선,장지,1080362,29899870,12435258,14831269,28122215,9336196
426,7호선,중곡,933534,19958134,7555446,8622419,15483247,5799296
427,7호선,어린이대공원,255951,5845156,3578388,3837136,5464272,2490852
428,7호선,뚝섬유원지,839116,14131211,6854865,9155805,16465499,7199529
429,7호선,청담,1163563,46325055,13555424,16285382,35761361,10093245
430,7호선,학동,785614,50016199,13718423,16290095,41045549,10398978
431,7호선,논현,1053774,38299888,12590248,15117856,35861293,13253575
432,7호선,반포,299669,11054154,5368513,6129173,9738984,3634442
433,7호선,내방,838962,28009725,10074149,11648450,24533314,7374758
434,7호선,수락산,1657565,25395838,11055443,12051061,21401758,8177990
435,7호선,상도,1045121,20484447,9000601,9855048,17371585,7333474
436,7호선,장승배기,1192202,19157427,8414367,9240435,15851810,6267605
437,7호선,신대방삼거리,1731893,30699895,11615840,12931436,25659211,9911466
438,7호선,보라매,1037519,18694321,7246882,8209810,15996141,5418932
439,7호선,신풍,1714971,21928234,8548333,9486967,17965660,6778323
440,9호선,공항시장,490359,4961965,2544198,2934538,5050353,2160953
441,9호선,구반포,131502,4015116,2752974,3143603,4776206,1579994
442,7호선,남구로,2338582,34226601,9902505,11113935,28885427,8349842
443,7호선,철산,2378478,41641524,16909137,19072764,41093549,15873260
444,7호선,광명사거리,3671088,45593043,19512744,22025288,41391657,14730295
445,7호선,천왕,1082518,18759941,6500777,7465729,14626526,5194772
446,8호선,암사,2005995,35207425,12245715,13741841,27390254,10171239
447,8호선,강동구청,850102,20874315,7775442,9002895,17346241,5686535
448,8호선,몽촌토성,92913,2684829,1329804,1474209,2450787,844915
449,8호선,석촌,902220,21670849,10371741,11624499,21080940,7784883
450,8호선,송파,479486,13374440,5484823,6654864,10988847,3532875
451,8호선,산성,825969,12189831,4553802,5406772,9640456,3862689
452,8호선,남한산성입구,366368,6536047,2263471,2379133,4494798,1930432
453,8호선,단대오거리,1446202,21274414,8142377,9479199,18392878,6907782
454,8호선,신흥,653900,7945435,4262291,5347912,8350823,2989934
455,8호선,수진,594880,9319778,4634629,5250471,7649108,2787850
456,8호선,남위례,60287,1834761,726728,906212,1759558,568434
457,경의선,계양,1418404,20608647,6407777,7022955,16679279,7553914
458,7호선,부평구청,1257409,18439181,5438289,5800360,13413111,5593846
459,공항철도 1호선,검암,1894212,18253537,6040546,6569836,15503760,6939124
460,7호선,까치울,487958,10834411,4099265,4582003,9412032,3584752
461,7호선,부천종합운동장,498241,8443309,2918280,3062481,6322808,2373002
462,7호선,춘의,666035,15565422,4172917,4620600,12724482,3847204
463,7호선,신중동,1023275,21250863,8591020,9778812,20966465,7309400
464,7호선,부천시청,919847,17511167,7770903,9245984,18676241,6736622
465,7호선,상동,985067,18635988,9559082,11012527,20193150,8089296
466,7호선,삼산체육관,491964,8203275,3156084,3585764,6565699,2654493
467,7호선,굴포천,928966,13422413,5314199,5938194,13253917,5312688
468,9호선,개화,404342,10116968,2623781,2913093,6263439,1892320
469,9호선,신방화,880918,13724882,5511130,6401331,11381343,4636814
470,9호선,마곡나루,448143,7955223,2721553,3332907,7763070,2876728
471,9호선,양천향교,842697,16068550,6033027,6850022,14078094,5181486
472,9호선,가양,2389922,37619809,15522677,17360063,32892664,12607729
473,9호선,증미,481740,13583903,5141259,6022772,12357343,3556116
474,9호선,등촌,939071,19187254,8606999,9834414,17222356,6031838
475,9호선,염창,1831482,30542692,10999292,12011655,27134387,11528386
476,9호선,신목동,393669,7556510,2730227,3057882,5881370,2424470
477,9호선,선유도,478241,14199945,4663016,5532156,12686481,3490037
478,9호선,국회의사당,437349,31283119,10956660,12329406,28471238,6382963
479,9호선,샛강,369337,10035319,4227567,5080833,10548140,3126278
480,9호선,노들,493303,8131740,3550462,3860237,6805999,2736425
481,9호선,신반포,172744,6023113,2759896,3526322,5507358,1722697
482,9호선,사평,173336,5149399,2457399,3048006,4921440,1612164
483,9호선,신논현,1557507,43936660,23557113,28261573,57963528,23025860
484,9호선2~3단계,언주,365877,15349686,6395479,7412705,15085803,3992337
485,9호선2~3단계,삼성중앙,211528,10199165,3702768,4382464,10267912,2687151
486,9호선2~3단계,삼전,323281,5736285,2361038,2652295,5522158,2100291
487,9호선2~3단계,석촌고분,208211,5201570,2203348,2463444,4936844,1766140
488,9호선2~3단계,송파나루,155989,3770231,2013652,2267017,4438203,1521714
489,9호선2~3단계,한성백제,79455,2096435,996349,1181066,2021471,649493
490,9호선2~3단계,둔촌오륜,32287,1046492,358182,564019,752322,240955
491,9호선2~3단계,중앙보훈병원,246170,9517609,3792947,4135437,6168678,2028653
492,9호선2~3단계,봉은사,418949,23591656,12304433,14266546,26129918,6927536
493,공항철도 1호선,청라국제도시,632603,11373757,3380692,3853674,9835702,3834828
494,공항철도 1호선,운서,1143192,11101306,5029419,5774418,10608738,5149337
495,공항철도 1호선,공항화물청사,118846,6196875,1267607,1391050,4393882,965225
496,공항철도 1호선,인천공항1터미널,1054079,10529517,7168562,7875007,9460802,3774009
497,공항철도 1호선,인천공항2터미널,408876,4140267,2221883,2772088,3788387,949102
498,공항철도 1호선,영종,336787,3827129,1846952,2069740,3465630,1583887
499,신림선,서울지방병무청,26795,619867,312670,352251,518035,176646
500,신림선,보라매공원,16521,454912,222455,271129,399434,107989
501,신림선,보라매병원,26643,1639999,684990,788512,1314105,222874
502,신림선,당곡,40683,879744,436223,502687,868619,269901
503,신림선,서원,45694,737996,291036,314900,572272,233814
504,신림선,서울대벤처타운,128230,1681815,835688,951207,1608992,617267
505,우이신설선,북한산우이,187224,3921989,2326485,2418383,2378012,668040
506,우이신설선,솔밭공원,176791,2977884,1452429,1604612,2253356,776759
507,우이신설선,가오리,238071,5032654,2399111,2602710,4020789,1323529
508,우이신설선,화계,207280,4055179,2064378,2098264,3065500,996475
509,우이신설선,삼양,121884,2477576,1316299,1496279,2055280,637706
510,우이신설선,삼양사거리,138514,2844363,1647444,1788554,2408894,696956
511,우이신설선,솔샘,305860,7154136,2635996,2936695,5646201,2067985
512,우이신설선,북한산보국문,271049,7022571,3182934,3635896,6176255,2222140
513,우이신설선,정릉,220465,5045905,2556255,2835729,4484456,1397183
514,2호선,신천,504098,9670015,5019043,5806162,11091594,5109179
515,경의선,능곡,534676,7318326,2880645,3106822,5495844,2088193
516,경춘선,강촌,23915,997581,1008891,1056040,818970,164892
517,1호선,시청,1464877,90270721,34869572,41833187,85945659,22581710
518,1호선,종각,1354310,65956689,30619503,36060540,74903094,27035882
519,1호선,종로5가,716627,35670087,29694252,32671864,40122902,8752413
520,1호선,제기동,928579,26939451,27944022,29272782,22449346,5270964
521,2호선,을지로입구,1465862,78427832,34931164,40991460,88247414,26079616
