,호선명,지하철역,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
105,일산선,정발산,527334,11046059,9009566,10749593,15538252,4778701
106,일산선,주엽,963617,16244243,9399437,10300238,14072348,4826149
107,5호선,방화,838345,13555849,5681283,6390238,10558809,4225072
108,5호선,개화산,651037,11113790,4198834,4610557,9009247,3215388
109,5호선,김포공항,1465490,36755749,27657301,30979594,44195305,13956012
110,5호선,송정,879871,15125855,6610979,7517078,13668825,5125920
111,2호선,대림,1499754,15954530,7955978,8418866,15054101,6974522
112,2호선,당산,3440019,68419671,29162611,31970172,69622692,28095603
113,중앙선,회기,2496758,44335148,24524788,27203077,44425120,20095579
114,5호선,신길,2066740,25482034,8488396,9366885,21328884,7915150
115,중앙선,덕소,904577,11303076,5176088,5621454,9624275,3731962
116,중앙선,용문,229485,3761456,4297747,4580404,3348769,786958
117,5호선,마곡,604651,13963651,4433451,5553655,11331265,3359590
118,5호선,우장산,1216058,27862105,12130169,14179887,23648111,9192597
119,5호선,까치산,3705348,55351821,20479467,23267284,47416049,19542148
120,5호선,신정,392675,6395830,1880050,1999840,4125950,1913002
121,5호선,목동,1577021,32227941,13386637,15638809,32266025,12660286
122,5호선,오목교,315752,8958264,4761417,5551981,10374658,3805688
123,2호선,영등포구청,1749233,48463025,18792875,21164738,44069970,13684619
124,5호선,영등포시장,525462,15989959,8667532,9777591,16079796,4513175
125,5호선,여의도,1616873,91591803,28484965,34047288,90211892,21418951
126,5호선,마포,693935,26602591,10158678,11143317,25877239,8329861
127,5호선,공덕,2346896,66867545,25774837,29227924,67004970,21968338
128,2호선,을지로4가,485376,32363626,16866147,18938865,30823338,5939037
129,2호선,동대문역사문화공원,2713159,37250286,24537635,30462000,52769431,20885622
130,3호선,일원,524797,18258541,9554483,10231312,12588815,3804742
131,4호선,미아사거리,2494757,50967344,24038058,28791688,51303187,18390187
132,4호선,숙대입구,209496,6410018,3162128,3617329,6447058,2552292
133,중앙선,중랑,789429,10582991,4580862,5223298,9259655,3287634
134,6호선,디지털미디어시티,2279941,58392627,16799687,19317886,51603691,15300866
135,경의선,화전,174119,4037099,2228172,2494212,3287897,1206483
136,경인선,소사,2465415,20416918,9537069,10006893,16890760,6772794
137,5호선,신금호,553024,11709726,4646716,5585908,9941404,3493293
138,5호선,행당,737554,15780487,6018450,6555571,12146428,4569066
139,5호선,마장,465942,11385392,5187253,5378480,9157834,3174967
140,5호선,답십리,1509002,30556250,11192200,12637687,25407168,8777262
141,5호선,장한평,1259220,35466176,13084871,14806997,32208379,9507704
142,5호선,군자,655868,9415202,3700035,4309009,9061440,3992404
143,5호선,아차산,313554,5861564,2647383,3067027,5010552,1967607
144,5호선,광나루,228529,5952068,2530565,2763251,4709111,1888797
145,5호선,천호,851534,13387469,7838714,9281170,16589032,6226266
