기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,전통시장,2130273,남성사계시장(남성시장),CS100007,치킨전문점,18900,11511,7389,1543,1346,2469,2656,3497,4235,3154,5,730,3921,6147,7566,531,7935,10894,12,838,2043,3089,5149,7699,8
2022,4,전통시장,2130271,남성역골목시장,CS100007,치킨전문점,5369,3519,1850,873,705,246,819,876,965,885,430,7,147,630,2678,1477,3395,1933,37,856,1042,1350,1136,906,5
2022,4,전통시장,2130268,상도전통시장,CS100007,치킨전문점,865,511,354,77,113,86,106,129,210,144,10,,47,52,532,224,459,316,,182,177,123,235,57,4
2022,4,전통시장,2130264,상도약수골목형상점가,CS100007,치킨전문점,4523,2985,1538,551,552,552,643,687,786,752,,36,316,687,2869,615,2490,2033,9,283,1109,1026,1455,641,*
2022,4,전통시장,2130262,상도도깨비 골목형상점가,CS100007,치킨전문점,897,672,225,182,74,85,171,160,161,64,33,,,43,447,374,523,374,11,150,320,75,192,149,*
2022,4,전통시장,2130261,성대전통시장(성대시장),CS100007,치킨전문점,19318,12638,6680,2272,2252,2233,2361,3520,3436,3244,818,16,790,2896,10430,4368,11524,7725,247,3502,4465,3834,3839,3362,5
2022,4,전통시장,2130260,신대방1동골목상권,CS100007,치킨전문점,1267,845,422,134,101,190,201,219,244,178,56,,17,100,814,280,676,591,61,288,125,186,264,343,3
2022,4,전통시장,2130244,대림중앙시장,CS100007,치킨전문점,981,693,288,135,96,135,175,152,120,168,,,88,280,541,72,414,567,8,72,160,285,280,176,*
2022,4,전통시장,2130238,은행나무시장,CS100007,치킨전문점,3168,1992,1176,388,255,492,456,401,654,522,176,,12,223,1598,1159,2153,979,,284,509,744,1142,453,4
2022,4,전통시장,2130235,대명여울빛거리시장(대명시장),CS100007,치킨전문점,11328,7052,4276,1561,1224,1174,1285,1808,2324,1952,863,,368,819,5879,3399,6151,4889,223,2301,2710,2596,2478,731,*
2022,4,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),CS100007,치킨전문점,10020,6463,3557,1013,1042,1199,1338,1871,2048,1509,967,,163,443,4296,4151,5886,3967,93,2237,1957,2552,1892,1121,7
2022,4,전통시장,2130229,남구로시장,CS100007,치킨전문점,36913,24963,11950,4420,3519,4584,5647,6793,6630,5320,,1227,8102,10476,15308,1800,20028,16885,,2405,5484,9311,9145,10568,*
2022,4,전통시장,2130227,고척골목시장상점가(그라운드 고척),CS100007,치킨전문점,3265,2417,848,408,469,483,452,605,539,309,34,27,301,517,1868,518,1522,1743,62,555,528,811,712,597,3
2022,4,전통시장,2130225,개봉중앙시장,CS100007,치킨전문점,3400,2640,760,566,425,402,634,613,525,235,14,,123,529,2058,676,1840,1494,13,422,582,745,923,649,6
2022,4,전통시장,2130222,오류시장,CS100007,치킨전문점,1002,622,380,89,97,111,178,147,238,142,,,36,215,558,193,517,485,45,157,194,330,201,75,*
2022,4,전통시장,2130221,"남부골목시장(남부화곡시장, 남부시장)",CS100007,치킨전문점,4461,2798,1663,512,538,369,707,672,692,971,17,,151,963,2463,867,2691,1717,26,261,861,837,1223,1198,7
2022,4,전통시장,2130219,까치산시장,CS100007,치킨전문점,1741,1209,532,231,16,216,369,377,255,277,30,,46,269,887,509,930,811,8,320,624,336,312,141,6
2022,4,전통시장,2130217,화곡본동시장,CS100007,치킨전문점,7145,5119,2026,897,1124,606,1166,1326,1020,1006,10,38,404,1607,4515,571,3513,3632,98,1105,1455,1578,1459,1450,*
2022,4,전통시장,2130216,화곡중앙시장,CS100007,치킨전문점,752,589,163,132,85,97,126,149,102,61,32,,,34,390,296,415,300,1,111,179,222,111,88,5
2022,4,전통시장,2130214,송화벽화시장(송화골목시장),CS100007,치킨전문점,422,302,120,39,40,52,97,74,85,35,,,12,29,272,109,273,149,,34,91,91,154,52,*
2022,4,전통시장,2130213,방신전통시장,CS100007,치킨전문점,776,469,307,67,80,98,84,140,166,141,22,12,40,63,419,220,396,333,,22,152,319,108,126,3
2022,4,전통시장,2130210,목2동시장,CS100007,치킨전문점,11743,8003,3740,1784,929,1590,1646,2054,1808,1932,881,,,503,6184,4175,7024,4557,20,1299,3161,4066,1946,1088,3
2022,4,전통시장,2130209,목사랑시장(목4동시장),CS100007,치킨전문점,25780,17146,8634,3641,2718,2652,3984,4151,4531,4103,485,407,2152,4520,13724,4492,13438,12283,379,2395,5006,6435,7695,3811,3
2022,4,전통시장,2130208,목동깨비시장(목3동시장),CS100007,치킨전문점,968,759,209,199,135,92,167,166,168,41,38,,6,160,670,94,574,365,6,70,218,158,233,253,4
2022,4,전통시장,2130204,경창시장,CS100007,치킨전문점,3831,2640,1191,493,624,227,609,687,599,592,34,,368,549,2329,551,2422,1409,,162,611,1516,718,824,6
2022,4,전통시장,2130202,신영시장,CS100007,치킨전문점,23377,13814,9563,1439,2221,2977,3604,3573,5156,4407,41,26,2801,5939,12381,2189,13075,9933,142,1624,4379,5993,5745,5126,8
2022,4,전통시장,2130198,아현시장,CS100007,치킨전문점,1225,975,250,195,177,168,195,240,186,64,9,,,68,617,531,732,452,23,150,255,328,323,104,*
2022,4,전통시장,2130197,마포시장,CS100007,치킨전문점,2231,2061,170,274,454,454,416,463,85,85,312,,,27,700,1107,1399,397,9,265,568,444,387,122,*
2022,4,전통시장,2130195,도화동 상점가,CS100007,치킨전문점,8990,6080,2910,1151,992,1069,1323,1545,1722,1188,136,,170,846,4796,3042,5061,3265,133,1544,1803,1732,1993,1120,10
2022,4,전통시장,2130191,홍대 걷고싶은 거리,CS100007,치킨전문점,20623,12611,8012,2259,2381,2335,2447,3189,4800,3212,1779,57,1589,2034,8201,6963,10080,9899,1273,9818,3822,2041,2348,676,10
2022,4,전통시장,2130190,홍대소상공인상점가,CS100007,치킨전문점,933,522,411,85,77,64,99,197,260,151,120,,,4,355,454,611,287,31,414,275,68,94,17,4
2022,4,전통시장,2130186,망원시장,CS100007,치킨전문점,64989,32733,32256,8276,5403,3707,6833,8514,17624,14632,,1667,13650,21762,27314,596,27866,37123,1192,18127,15950,14499,10752,4469,4
2022,4,전통시장,2130183,상암동상점가,CS100007,치킨전문점,20854,16247,4607,2435,3304,3293,3709,3506,2821,1786,820,5,1476,1099,9953,7501,10720,6619,215,3727,4433,3993,3547,1421,15
2022,4,전통시장,2130180,포방터시장,CS100007,치킨전문점,756,411,345,69,75,70,99,98,188,157,,,33,70,462,191,351,382,40,128,116,185,218,47,*
2022,4,전통시장,2130179,"이화여대 3,5,7길 상점가",CS100007,치킨전문점,14023,12201,1822,2146,2645,2578,2394,2438,1392,430,4,791,5727,939,5090,1472,1831,12192,1258,9972,761,381,1520,131,4
2022,4,전통시장,2130177,인왕시장(홍제골목형상점가),CS100007,치킨전문점,708,506,202,55,148,70,140,93,139,63,,,39,93,373,203,528,157,,56,126,111,204,188,*
2022,4,전통시장,2130171,불광먹자골목 골목형상점가,CS100007,치킨전문점,8920,6044,2876,764,1103,1331,1503,1343,1918,958,278,,5,521,4796,3320,5802,2553,,443,970,1660,2947,2334,5
2022,4,전통시장,2130168,연서시장,CS100007,치킨전문점,5185,3950,1235,828,698,664,828,932,722,513,,,36,722,2585,1014,2103,2231,142,1339,1187,598,727,340,3
2022,4,전통시장,2130167,연신내상점가(연빛거리),CS100007,치킨전문점,9563,6129,3434,1013,1142,1137,1260,1577,2067,1367,687,,95,453,4545,3783,5692,3744,376,3058,1914,1876,1590,623,17
2022,4,전통시장,2130165,"대림골목시장(대림시장, 양지시장)",CS100007,치킨전문점,1749,1012,737,241,48,262,199,262,411,326,,20,315,614,755,45,987,762,7,95,281,446,558,362,3
2022,4,전통시장,2130163,응암오거리상점가,CS100007,치킨전문점,12992,8510,4482,1485,1317,1641,1960,2107,2447,2035,1903,36,,388,5478,5187,8354,4360,66,1659,2266,3722,3073,1929,7
2022,4,전통시장,2130159,공릉동 도깨비시장,CS100007,치킨전문점,3427,2029,1398,604,432,130,446,417,837,561,561,72,374,706,1397,317,1930,1483,,311,830,993,847,431,4
2022,4,전통시장,2130157,상계중앙시장,CS100007,치킨전문점,231,143,88,77,11,22,11,22,44,44,,,,22,143,33,132,55,,33,11,55,66,22,4
2022,4,전통시장,2130154,상계주공1단지(가)상가,CS100007,치킨전문점,399,251,148,58,65,32,64,32,74,74,8,,8,8,310,65,236,131,8,40,72,90,147,8,3
2022,4,전통시장,2130153,창동역상점가,CS100007,치킨전문점,5035,3163,1872,538,363,576,812,874,953,919,759,,25,253,2463,1535,3396,1639,30,952,822,1103,1412,716,5
2022,4,전통시장,2130152,오!도봉거리 상점가,CS100007,치킨전문점,629,425,204,75,77,100,92,81,149,55,40,,25,75,341,148,384,215,,5,170,148,149,128,*
2022,4,전통시장,2130151,신도봉시장,CS100007,치킨전문점,2646,1767,879,330,314,306,330,487,542,337,24,,,267,1586,439,1359,957,8,129,168,628,804,579,*
2022,4,전통시장,2130150,창동골목시장,CS100007,치킨전문점,7605,5158,2447,974,961,831,1019,1373,1312,1135,200,,216,640,3868,2681,4539,3053,53,795,1382,2248,2179,935,3
2022,4,전통시장,2130149,창동신창시장,CS100007,치킨전문점,1202,773,429,113,115,140,137,268,180,249,,19,30,145,802,206,662,540,,103,236,338,315,210,6
2022,4,전통시장,2130148,방학동도깨비시장,CS100007,치킨전문점,4972,2961,2011,484,602,607,587,681,992,1019,,18,628,1129,2835,362,2810,2162,16,295,491,1165,1469,1536,*
2022,4,전통시장,2130147,쌍문역동측상점가,CS100007,치킨전문점,1717,1246,471,270,261,202,269,244,244,227,33,,,195,942,547,787,930,25,550,465,287,262,128,6
