기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,3,골목상권,2110369,성신여대운정그린캠퍼스,CS100008,분식전문점,30224,24560,5664,3691,4231,5367,5557,5714,4737,927,3224,3059,8260,3807,7983,3891,15965,13581,218,4039,5893,7835,7593,3967,16
2022,3,골목상권,2110367,강북구청,CS100008,분식전문점,3321,2568,753,216,527,495,582,748,411,342,,38,1274,640,1211,158,1464,1528,12,761,793,526,533,367,8
2022,3,골목상권,2110365,미아역 5번,CS100008,분식전문점,22001,15588,6413,3463,2711,2869,2564,3981,3376,3037,2925,810,3195,3667,6736,4668,12600,9390,910,6483,4737,3658,3135,3068,4
2022,3,골목상권,2110364,미아역 8번,CS100008,분식전문점,5509,5185,324,520,1773,1003,1037,852,171,153,96,2031,1412,1214,458,298,1767,3564,12,501,2965,1247,476,129,7
2022,3,골목상권,2110363,송천동주민센터,CS100008,분식전문점,8441,5981,2460,1072,1265,1252,1242,1150,1316,1144,5,801,2556,1800,2927,352,4339,3863,114,1629,2514,2090,1446,411,4
2022,3,골목상권,2110362,우이천 계성교,CS100008,분식전문점,6261,4448,1813,419,837,1072,968,1152,1087,726,,122,2703,1620,1816,,3588,2527,24,702,894,1457,1904,1136,7
2022,3,골목상권,2110360,수유초등학교,CS100008,분식전문점,1093,744,349,126,230,113,124,151,198,151,101,13,216,126,499,138,496,547,13,201,186,276,307,61,6
2022,3,골목상권,2110357,가오리역 1번,CS100008,분식전문점,34898,28462,6436,5827,5315,5363,5927,6030,4516,1920,174,4264,8412,5673,15548,827,16662,17856,339,5827,7407,10362,6321,4262,7
2022,3,골목상권,2110352,수유1동주민센터,CS100008,분식전문점,1175,986,189,170,187,255,178,196,163,26,,239,230,239,467,,831,319,,53,103,181,531,283,7
2022,3,골목상권,2110351,수유북부시장옆,CS100008,분식전문점,5006,4188,818,748,707,978,856,899,706,112,,310,1582,829,2124,161,2061,2700,,495,859,1422,1247,737,5
2022,3,골목상권,2110350,가오리역 2번,CS100008,분식전문점,1314,1150,164,165,370,205,205,205,82,82,,,410,329,493,,862,328,123,,123,205,698,41,4
2022,3,골목상권,2110346,4.19민주묘지역 2번,CS100008,분식전문점,17069,11101,5968,1581,2444,1980,2672,2424,2640,3328,,785,7044,3386,5599,255,9037,7412,134,2313,2713,3689,3512,4088,5
2022,3,골목상권,2110345,솔밭공원역 2번,CS100008,분식전문점,2307,1837,470,344,305,392,338,458,311,159,66,27,577,377,590,670,1461,766,,154,650,381,718,322,5
2022,3,골목상권,2110341,북한산우이역 2번,CS100008,분식전문점,2200,1152,1048,217,207,186,263,279,488,560,18,827,800,295,247,13,1213,987,18,345,436,489,553,359,*
2022,3,골목상권,2110335,석계역 7번,CS100008,분식전문점,9275,6612,2663,1409,1342,1327,1208,1326,1237,1426,75,2678,2295,1394,2526,307,5804,3471,107,1668,2346,1766,2231,1157,7
2022,3,골목상권,2110334,석관중앙교회,CS100008,분식전문점,708,442,266,66,66,44,133,133,66,200,22,,155,111,331,89,243,266,,89,111,89,155,66,*
2022,3,골목상권,2110333,돌곶이역 5번,CS100008,분식전문점,2548,1793,755,331,393,299,387,383,367,388,185,108,234,225,877,919,1400,1148,12,320,651,852,384,329,7
2022,3,골목상권,2110331,돌곶이역 8번,CS100008,분식전문점,3416,3032,384,546,614,608,705,559,192,192,,753,1539,444,488,,1158,1916,47,687,699,429,975,237,8
2022,3,골목상권,2110330,돌곶이역 1번,CS100008,분식전문점,6503,5268,1235,1187,944,1081,965,1091,497,738,,640,3006,813,1591,453,2968,3150,45,589,1014,1395,1866,1208,3
2022,3,골목상권,2110325,장곡초등학교,CS100008,분식전문점,38832,26725,12107,5416,5385,4934,4838,6152,6217,5890,30,2843,13191,7223,12992,2553,18926,19094,557,5586,10970,10144,8380,2382,7
2022,3,골목상권,2110323,상월곡역 1번,CS100008,분식전문점,5495,4796,699,701,1047,973,1146,929,352,347,,25,1278,1349,2832,11,2287,3200,116,1207,1069,1734,926,436,12
2022,3,골목상권,2110316,숭곡초등학교,CS100008,분식전문점,13677,10631,3046,1147,2306,2376,2488,2314,1375,1671,,2112,4251,2344,4290,680,6759,6614,151,1467,2498,4440,3696,1122,16
2022,3,골목상권,2110315,종암아이파크2차,CS100008,분식전문점,20717,19233,1484,3848,4386,3617,4164,3218,1280,204,,666,5594,4323,9623,511,9450,10812,264,4491,4267,4691,4178,2371,7
2022,3,골목상권,2110314,종암경찰서,CS100008,분식전문점,27699,19423,8276,3639,3087,3875,4599,4223,4904,3372,58,2593,8509,4455,10503,1581,12570,14321,320,3833,6649,6935,6051,3103,11
2022,3,골목상권,2110313,안암역 3번,CS100008,분식전문점,37250,29962,7288,5740,6431,5996,6436,5359,3963,3325,492,1184,9569,7470,17162,1373,13260,23068,1324,19324,4817,3672,5738,1452,22
2022,3,골목상권,2110312,안암역 2번,CS100008,분식전문점,23155,19362,3793,3739,4022,4060,4361,3180,1761,2032,266,1792,9700,3690,7223,484,11888,10578,1020,9092,3768,3268,3812,1507,16
2022,3,골목상권,2110308,길음역 8번,CS100008,분식전문점,10972,8736,2236,1762,1427,1361,2010,2176,1983,253,,81,1462,2478,4299,2652,4390,6210,1115,1448,1512,3526,2375,625,6
