,상권코드,상권코드명,x,y
0,2110753,시흥동 은행나무사거리,126.90884426244729,37.448687252791416
1,2110427,노원 을지대학교병원,127.0709781210762,37.634469187048175
2,2110755,동일여자고등학교,126.91297782653986,37.45100597335112
3,2110739,시흥3동 우편취급국,126.90156440931558,37.441482310621666
4,2111017,송파나루역 3번,127.11561416148406,37.509060482931616
5,2110249,중화역 1번,127.08157226664564,37.60450450020806
6,2110963,역삼월드메르디앙아파트,127.03686347002896,37.49237962946542
7,2110332,돌곶이역 3번,127.05838548979825,37.61260913342865
8,2110245,KB국민은행 중화동지점,127.07845039068405,37.59729869290797
9,2110719,영서중학교,126.89269435804749,37.48854340850656
10,2110932,서울시인재개발원,127.02334810818567,37.48426499246988
11,2110933,한국상담대학원대학교,127.02364278364563,37.48649943455552
12,2110868,남부초등학교,126.92358947871544,37.48484626668459
13,2110395,신한은행 방학동지점,127.03638149118464,37.66401014805241
14,2110393,국민은행방학지점,127.03307118732093,37.662128072038485
15,2110114,왕십리파출소,127.03171627870393,37.56748860942368
16,2110760,선유도역 6번,126.89221870299178,37.53626013747753
17,2111068,강동성심병원,127.13544445389259,37.53591629984992
18,2110619,목4동주민센터,126.86623803600335,37.531458265899175
19,2110093,우사단길,127.00014708046909,37.5325971987561
20,2110734,금천파출소,126.89897142962283,37.45378797071147
21,2111030,방이역 2번,127.12953250356634,37.50636104722695
22,2110573,신촌역 6번,126.93895596031699,37.553403518674926
23,2110053,청구역 1번,127.01260861712656,37.56200512940595
24,2110972,강남세브란스병원미래의학연구센터,127.04281264335714,37.494594100718025
25,2110911,방배배수지체육공원,126.98992737615963,37.47273394962857
26,2110969,베르사이유1아파트,127.04030455960988,37.49891981451104
27,2111002,한국교통안전공단 강남자동차검사소,127.11979244528801,37.469565171958735
28,2110863,난우초등학교,126.91838633712744,37.47635528370367
29,2110751,난곡중학교,126.9074065520853,37.47817623854604
30,2110993,개포지하차도 북측,127.05830284990829,37.47753138764699
31,2110725,가산동주민센터,126.89052769717107,37.4778284324838
32,2110723,가산디지털단지역 1번 출입구,126.88374711566482,37.48332711832771
33,2110938,바우뫼공원,127.03628974623736,37.47515252341267
34,2110999,윗방죽마을공원,127.10370931049309,37.471724786298864
35,2110941,언남고등학교,127.04187377814075,37.47381718173077
36,2110087,이태원엔틱가구거리,126.99389062119798,37.531155438823795
37,2110094,오산중학교,127.00116521493806,37.5252089791125
38,2110262,상봉역 3번,127.08938571483165,37.594506855109394
39,2110279,신내역 2번,127.10946531894086,37.61234756002396
40,2110107,금호사거리,127.02415993684879,37.54747023728243
41,2110576,대흥역 3번,126.94356742927634,37.546188815576706
42,2111010,석촌역 7번,127.10181110530536,37.505775509475164
43,2110098,서울독일학교,127.01036405717421,37.536507087716565
44,2110669,화곡보람2차아파트,126.85452001449599,37.55322155566556
45,2111081,둔촌푸르지오아파트,127.14632758947768,37.535254596279884
46,2110331,돌곶이역 8번,127.05724945164818,37.60812276416679
47,2110786,당산역 8번,126.90483710768926,37.53404550884538
48,2110956,언주역 8번,127.03120342994444,37.504815146991504
49,2111003,삼전역 4번,127.08208472762392,37.50391677351397
50,2110565,홍익대,126.92808080750386,37.55287481671905
51,2110149,세종대학교,127.07618527426932,37.55247570213786
52,2110110,상왕십리역 6번,127.02807017165075,37.563921588285666
53,2110539,미근동,126.9669159245093,37.56337068196435
54,2110505,홍남교남측,126.92471009697312,37.573640679055195
55,2110055,황학동벼룩시장,127.0185300595018,37.569906083686504
56,2110122,마장역 2번,127.043873209347,37.56775501630299
57,2111065,천일초등학교,127.13415458633767,37.54221575875317
58,2110305,보문역 5번,127.02222446245891,37.584168186170565
59,2110499,연가초등학교,126.91840700091913,37.58200672502095
60,2110150,중곡1동 마을마당,127.07661327801165,37.56153945701175
61,2110236,신묵초등학교,127.07496308624691,37.60896878176354
62,2111023,문정역 1번,127.1229875320095,37.4877892985682
63,2110925,서초중학교,127.00664850265811,37.48683498611699
64,2110910,내방역 5번,126.98948431539374,37.48823126765227
65,2110775,대동초등학교,126.90102367555734,37.4916591551569
66,2110854,조원동주민센터,126.90766146008556,37.48233909885945
67,2110853,KT구로지사,126.9022926060665,37.48108237906902
68,2110918,방배역 3번,126.99357802713183,37.48227589570919
69,2110243,중랑노인종합복지관,127.07794267714863,37.588217032735585
70,2110935,한전아트센터,127.02674077206842,37.48619243120916
71,2110585,마포경찰서,126.95450631590495,37.55214913697492
72,2110871,신원동주민센터,126.9273359823323,37.48072201101325
73,2110811,보라매역 4번,126.91723058225901,37.49921304630926
74,2110992,도곡초등학교,127.05646557351078,37.4999043020278
75,2111043,마천공원,127.14570735669348,37.501404696885146
76,2111039,벌말어린이공원,127.14001958312669,37.501799007703106
77,2110771,대림역 11번,126.89877244875176,37.492396073405956
78,2110700,고척초등학교,126.85757222499912,37.50144473673073
79,2110903,방배아이파크아파트,126.98477967533759,37.49242044056455
80,2110709,구로119안전센터,126.8816392078659,37.49360551975271
81,2110986,삼성중앙역 7번,127.05245841947762,37.51065514168988
82,2110949,한남IC,127.01942289119167,37.520855545263544
83,2111026,문정역 2번,127.12650917675207,37.484127488869305
84,2110621,목동역 5번,126.86775400172714,37.52508989488255
85,2110684,서울공연예술고등학교,126.83031368861175,37.49796688717008
86,2110757,양평역 2번,126.88387477170808,37.52501674540716
87,2110878,미림여고,126.9328787654401,37.464930582420536
88,2110866,난우중학교,126.92209103620763,37.468807319879204
89,2110379,KT&G 북부지사,127.03531387066326,37.63534118773747
90,2110882,신성초등학교,126.93676058714139,37.472816567517384
