,Unnamed: 0.1,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
1432,1506.0,112571,2022,1,발달상권,2120136,영등포구청역,CS100004,양식음식점,1474,1411.0,63.0,293.0,290.0,271.0,331.0,226.0,63.0,0.0,2.0,0.0,1157.0,64.0,241.0,10.0,755.0,413.0,11.0,269.0,420.0,254.0,156.0,61.0,7
1433,1507.0,112707,2022,1,발달상권,2120132,독산동,CS100004,양식음식점,22008,18919.0,3054.0,3778.0,3661.0,3826.0,3499.0,4155.0,1816.0,1238.0,35.0,0.0,14820.0,2623.0,4376.0,154.0,9651.0,8900.0,5.0,4271.0,6427.0,4400.0,2500.0,948.0,11
1434,1508.0,112757,2022,1,발달상권,2120131,가산디지털단지,CS100004,양식음식점,63917,57957.0,5954.0,10569.0,11261.0,11163.0,12848.0,12116.0,3776.0,2178.0,6.0,70.0,43868.0,5227.0,12053.0,2693.0,27917.0,27186.0,83.0,15663.0,21101.0,11752.0,4963.0,1544.0,32
1435,1509.0,112798,2022,1,발달상권,2120130,구로디지털단지역,CS100004,양식음식점,16674,13783.0,2891.0,2339.0,2657.0,2685.0,3082.0,3020.0,1736.0,1155.0,0.0,27.0,8805.0,1570.0,5917.0,355.0,8129.0,7686.0,137.0,6182.0,5616.0,2277.0,1293.0,310.0,9
1436,1510.0,112841,2022,1,발달상권,2120129,구로디지털단지,CS100004,양식음식점,49099,46528.0,2571.0,8859.0,8935.0,9017.0,10265.0,9452.0,1437.0,1134.0,25.0,59.0,39019.0,2751.0,6986.0,259.0,20222.0,21900.0,51.0,12412.0,15988.0,9109.0,3572.0,986.0,24
1437,1511.0,112883,2022,1,발달상권,2120128,신도림역,CS100004,양식음식점,40967,30161.0,10806.0,6075.0,5919.0,6190.0,6327.0,5650.0,5813.0,4993.0,0.0,910.0,19172.0,8844.0,11914.0,127.0,20768.0,19232.0,408.0,6852.0,11078.0,9255.0,6556.0,5851.0,15
1438,1512.0,112916,2022,1,발달상권,2120127,구로구청,CS100004,양식음식점,5421,4420.0,1001.0,819.0,981.0,830.0,985.0,805.0,531.0,470.0,0.0,73.0,2614.0,807.0,1881.0,46.0,3052.0,2094.0,66.0,1097.0,1742.0,1056.0,840.0,348.0,3
1439,1513.0,112973,2022,1,발달상권,2120125,구로역,CS100004,양식음식점,4985,3860.0,1125.0,678.0,782.0,886.0,789.0,725.0,585.0,540.0,0.0,187.0,2761.0,871.0,1160.0,6.0,1673.0,2070.0,107.0,748.0,1037.0,806.0,695.0,351.0,11
1440,1514.0,113097,2022,1,발달상권,2120122,강서구청,CS100004,양식음식점,3635,2329.0,1288.0,391.0,450.0,432.0,381.0,675.0,917.0,371.0,12.0,0.0,18.0,28.0,2603.0,974.0,2357.0,1083.0,18.0,742.0,1425.0,663.0,422.0,170.0,10
1441,1515.0,113136,2022,1,발달상권,2120121,까치산역,CS100004,양식음식점,12304,8649.0,3655.0,1453.0,1667.0,1860.0,1937.0,1732.0,1763.0,1892.0,1147.0,2751.0,2191.0,1445.0,3333.0,1437.0,8299.0,4005.0,64.0,1425.0,3510.0,1981.0,2953.0,2371.0,6
