기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,전통시장,2130278,미성동 도깨비시장 골목형상점가,CS100009,호프-간이주점,9521,6287,3234,1523,641,1472,1024,1627,2095,1139,671,,,99,4121,4630,6259,3128,10,290,2329,3023,1919,1817,6
2022,4,전통시장,2130277,조원동 펭귄시장(신림중앙시장),CS100009,호프-간이주점,290,175,115,24,23,24,24,80,69,46,11,,,12,92,127,183,59,,46,57,57,35,47,*
2022,4,전통시장,2130275,강남골목시장,CS100009,호프-간이주점,9183,6073,3110,663,1075,1312,1303,1720,2099,1011,1817,,,472,2692,4202,5412,3583,30,2037,3222,1990,835,880,3
2022,4,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),CS100009,호프-간이주점,30546,21021,9525,3018,3614,4434,4001,5954,6118,3407,2486,,59,1039,10169,16793,19153,9461,5,9368,8613,3768,4038,2824,19
2022,4,전통시장,2130273,남성사계시장(남성시장),CS100009,호프-간이주점,8923,5859,3064,888,946,1009,1138,1878,1898,1166,1120,,14,305,2896,4588,5311,3310,51,2859,2246,1158,1348,956,12
2022,4,전통시장,2130271,남성역골목시장,CS100009,호프-간이주점,883,591,292,125,138,124,93,111,168,124,142,18,71,141,243,268,528,355,,98,174,53,311,248,5
2022,4,전통시장,2130266,만양로상점가,CS100009,호프-간이주점,7618,4657,2961,843,827,849,900,1238,1615,1346,1928,,,35,2158,3497,5070,2345,18,2845,2158,1169,855,370,4
2022,4,전통시장,2130265,노량진중앙시장,CS100009,호프-간이주점,24421,14813,9608,2245,2641,2780,3096,4051,5714,3894,7852,25,,36,4410,12098,15701,8720,621,13070,6622,1846,1784,478,8
2022,4,전통시장,2130264,상도약수골목형상점가,CS100009,호프-간이주점,1190,891,299,150,140,139,205,257,235,64,107,,,22,471,590,704,486,12,97,379,314,312,76,*
2022,4,전통시장,2130263,신노량진시장(기능상실),CS100009,호프-간이주점,2844,1869,975,233,336,419,320,561,833,142,439,,24,126,1102,1153,1729,1115,20,785,915,451,479,194,4
2022,4,전통시장,2130262,상도도깨비 골목형상점가,CS100009,호프-간이주점,5898,3711,2187,639,661,740,839,832,1247,940,1617,,,8,1287,2986,3614,2284,102,2003,1682,1119,774,218,5
2022,4,전통시장,2130261,성대전통시장(성대시장),CS100009,호프-간이주점,11952,9205,2747,1578,1948,1506,1745,2428,2422,325,705,,,132,6081,5034,6487,4756,32,2741,3190,2240,2084,956,6
2022,4,전통시장,2130260,신대방1동골목상권,CS100009,호프-간이주점,141,113,28,15,28,28,14,28,14,14,,,,,99,14,99,14,,,,,56,57,3
2022,4,전통시장,2130257,영등포시장기계공구상가,CS100009,호프-간이주점,1695,1594,101,273,318,325,352,326,94,7,,113,1129,94,273,86,1471,224,,134,228,647,477,209,3
2022,4,전통시장,2130250,삼구시장(로타리상가),CS100009,호프-간이주점,180,133,47,39,14,39,34,7,21,26,13,,,27,93,47,166,14,,,,33,73,74,*
2022,4,전통시장,2130249,동남상가,CS100009,호프-간이주점,235,120,115,38,25,6,45,6,77,38,31,,6,18,104,76,184,45,,,12,6,102,109,3
2022,4,전통시장,2130244,대림중앙시장,CS100009,호프-간이주점,755,395,360,48,59,84,59,145,134,226,98,,97,128,180,252,743,12,,12,85,24,467,167,6
2022,4,전통시장,2130242,대림중앙 골목형상점가,CS100009,호프-간이주점,687,398,289,84,27,55,150,82,96,193,42,,27,109,303,206,605,82,,,69,124,261,233,4
2022,4,전통시장,2130241,선유도역 골목형상점가,CS100009,호프-간이주점,6938,5513,1425,901,1063,1190,1109,1250,969,456,859,,186,37,1782,4074,4346,1666,28,1235,1897,1213,1174,463,10
2022,4,전통시장,2130236,비단길현대시장(현대시장),CS100009,호프-간이주점,4372,2697,1675,557,266,561,692,621,977,698,56,30,724,1620,1488,454,3239,1084,,19,115,296,1873,2022,8
2022,4,전통시장,2130235,대명여울빛거리시장(대명시장),CS100009,호프-간이주점,15158,9339,5819,1664,1805,1749,1832,2289,3363,2456,4740,22,10,163,3081,7142,10081,4995,238,4916,3988,2777,1866,1293,22
2022,4,전통시장,2130233,남문시장,CS100009,호프-간이주점,599,402,197,81,32,92,91,106,70,127,36,,22,89,185,267,507,81,,,12,172,276,128,3
2022,4,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),CS100009,호프-간이주점,14972,9138,5834,1747,1675,1783,1682,2251,3399,2435,3385,,649,921,3715,6302,9540,5342,143,4175,4824,2508,2403,830,13
2022,4,전통시장,2130231,독산동 우시장,CS100009,호프-간이주점,3043,1678,1365,288,247,304,422,417,790,575,1148,149,15,147,877,707,2163,586,11,302,1049,654,449,283,6
2022,4,전통시장,2130230,가리봉시장,CS100009,호프-간이주점,294,169,125,15,63,30,15,46,15,110,61,,,46,126,61,202,61,,,61,93,61,47,7
2022,4,전통시장,2130229,남구로시장,CS100009,호프-간이주점,5177,2946,2231,493,269,763,536,885,1321,910,172,,135,610,2037,2223,4932,236,,115,556,169,3637,691,7
2022,4,전통시장,2130228,구로시장,CS100009,호프-간이주점,777,344,433,65,68,96,64,51,201,232,56,,52,105,408,156,676,101,,,72,187,183,335,8
2022,4,전통시장,2130227,고척골목시장상점가(그라운드 고척),CS100009,호프-간이주점,672,434,238,114,72,63,103,82,155,83,218,,,,258,196,526,115,,22,31,41,327,221,*
2022,4,전통시장,2130225,개봉중앙시장,CS100009,호프-간이주점,4579,2915,1664,194,667,749,520,785,858,806,305,,953,1103,1390,828,2037,2414,37,1109,764,514,1234,792,6
2022,4,전통시장,2130222,오류시장,CS100009,호프-간이주점,3270,2067,1203,414,331,302,441,579,798,405,386,,,9,1626,1249,2323,947,,700,882,682,550,456,5
2022,4,전통시장,2130221,"남부골목시장(남부화곡시장, 남부시장)",CS100009,호프-간이주점,12529,9760,2769,1506,2083,2123,1927,2121,1736,1033,549,31,6223,884,2643,2199,7836,4361,,544,2016,3218,4958,1464,7
2022,4,전통시장,2130219,까치산시장,CS100009,호프-간이주점,448,224,224,48,64,32,48,32,112,112,80,16,,,144,160,240,160,,96,96,48,128,32,*
