,index,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
1079,1079,2022,2,발달상권,2120227,잠실역,CS100003,일식음식점,1522178193,1215543624.0,306634569.0,185976331.0,241183278.0,270220365.0,256077753.0,262085897.0,189860802.0,116773767.0,8492400.0,301889.0,564245335.0,134966960.0,501542807.0,312628802.0,687891068.0,465902851.0,6518987.0,223792043.0,371427362.0,262516001.0,171692599.0,117846931.0,27
1080,1080,2022,2,발달상권,2120226,석촌고분역,CS100003,일식음식점,99060900,82283967.0,16428377.0,17047325.0,16916998.0,16526966.0,17017408.0,14775270.0,12705909.0,3722468.0,2006133.0,348556.0,56046451.0,5914935.0,26994342.0,7750483.0,61561290.0,32985978.0,282310.0,23650792.0,35381145.0,20939076.0,10535631.0,3758313.0,4
1081,1081,2022,2,발달상권,2120225,잠실새내역(신천),CS100003,일식음식점,2653128537,1892289507.0,760839030.0,348462220.0,396430212.0,331825746.0,355483847.0,460087482.0,501128049.0,259710981.0,45283297.0,8535031.0,829112234.0,311932812.0,1091628129.0,366637034.0,1305267546.0,1005309158.0,28801675.0,485877469.0,507444257.0,632135304.0,403925398.0,252392598.0,29
1082,1082,2022,2,발달상권,2120224,수서역,CS100003,일식음식점,1490294027,1366368002.0,123926025.0,251411271.0,286983761.0,269323402.0,273713039.0,284936529.0,78958194.0,44967831.0,0.0,6013429.0,744700038.0,118740790.0,525993130.0,94846640.0,638965713.0,456560916.0,4533920.0,176180493.0,353161134.0,251917076.0,156390807.0,153343200.0,10
1083,1083,2022,2,발달상권,2120222,삼성역,CS100003,일식음식점,4699132054,3529282042.0,1169850012.0,581638438.0,699636858.0,747071568.0,737530868.0,763404310.0,651645363.0,518204649.0,56418621.0,4099699.0,1795166212.0,699052280.0,1642996451.0,501398791.0,1587964719.0,1717692013.0,24254411.0,877051961.0,1135623528.0,668825449.0,369235699.0,230665688.0,24
1084,1084,2022,2,발달상권,2120220,대치역,CS100003,일식음식점,469748349,347208789.0,122539560.0,83302516.0,64534237.0,60507148.0,68061907.0,70802981.0,73930220.0,48609340.0,0.0,1292111.0,182857933.0,74143913.0,204447403.0,7006989.0,187976326.0,199340937.0,29043813.0,45533819.0,41859458.0,125958567.0,97773612.0,47147993.0,4
1085,1085,2022,2,발달상권,2120219,은마아파트,CS100003,일식음식점,247239609,162419160.0,84624622.0,33598108.0,33348036.0,30765152.0,34098243.0,30609621.0,49053280.0,35571342.0,195827.0,767643.0,90630040.0,39537436.0,93247577.0,22861086.0,98048647.0,91518555.0,14648634.0,10039875.0,16725454.0,67327122.0,58805911.0,22020204.0,11
1086,1086,2022,2,발달상권,2120218,코엑스,CS100003,일식음식점,819402422,624471138.0,194342863.0,115581512.0,98771088.0,141034511.0,135915480.0,133168547.0,110305903.0,84036960.0,1681803.0,588421.0,385383165.0,114558537.0,232926097.0,84264399.0,250781619.0,167267446.0,4616550.0,79030417.0,126463704.0,102208761.0,62346004.0,43383629.0,9
1087,1087,2022,2,발달상권,2120217,대치사거리,CS100003,일식음식점,11711405,4311108.0,491713.0,1035626.0,878508.0,1119667.0,910871.0,366436.0,78298.0,413415.0,0.0,109618.0,3595460.0,301710.0,796033.0,1288608.0,1577451.0,811694.0,28709.0,606551.0,680153.0,649354.0,424377.0,5619976.0,6
1088,1088,2022,2,발달상권,2120216,경기고교사거리(경기고교앞사거리),CS100003,일식음식점,174331548,161210568.0,13120980.0,29925700.0,33078596.0,27191046.0,26917580.0,44097646.0,13120980.0,0.0,0.0,0.0,60143634.0,11163825.0,80514128.0,22509961.0,75723122.0,49352472.0,603232.0,8005567.0,21346392.0,28102597.0,31097312.0,35920493.0,5
1089,1089,2022,2,발달상권,2120215,포스코사거리,CS100003,일식음식점,7523325046,6730500634.0,792824412.0,1297136057.0,1444946548.0,1312935077.0,1396679152.0,1278803800.0,720914144.0,71910268.0,30173619.0,2891456.0,2251933846.0,264552116.0,2134133650.0,2839640359.0,2972413269.0,1535331980.0,14366375.0,847347396.0,1843640660.0,1071954576.0,519372825.0,211063421.0,40
1090,1090,2022,2,발달상권,2120214,영동대교남단교차로,CS100003,일식음식점,214590966,174496948.0,36818439.0,38797675.0,32234944.0,39746785.0,31714091.0,32003453.0,19028455.0,17789984.0,2835749.0,0.0,62976776.0,231490.0,47848925.0,82468212.0,98082192.0,37536058.0,439830.0,25463869.0,59620177.0,29468641.0,9213290.0,11852274.0,6
