,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
652,2022,3,발달상권,2120143,당산역,CS100003,일식음식점,9948,8935,1013,1427.0,1700.0,1962.0,1884.0,1962.0,971.0,42.0,14.0,0.0,5466.0,699.0,3230.0,539.0,4433,3612,161.0,1701.0,2420.0,1505.0,1352.0,907.0,12
653,2022,3,발달상권,2120137,문래역(문래로데오거리),CS100003,일식음식점,11146,9469,1677,1698.0,1883.0,1869.0,2026.0,1993.0,817.0,860.0,7.0,14.0,4986.0,922.0,3742.0,1475.0,5260,4102,35.0,1883.0,2523.0,2236.0,1432.0,1251.0,6
654,2022,3,발달상권,2120136,영등포구청역,CS100003,일식음식점,17392,15305,2087,2480.0,3204.0,3227.0,3287.0,3107.0,2087.0,0.0,0.0,8.0,8632.0,840.0,7368.0,552.0,9448,6079,235.0,4571.0,5134.0,2147.0,2257.0,1184.0,19
655,2022,3,발달상권,2120133,서울시흥동우체국(홈플러스시흥점),CS100003,일식음식점,2419,1632,787,392.0,59.0,404.0,433.0,403.0,379.0,408.0,0.0,29.0,700.0,359.0,1009.0,322.0,1238,970,24.0,480.0,581.0,466.0,370.0,288.0,5
656,2022,3,발달상권,2120132,독산동,CS100003,일식음식점,6681,5910,771,918.0,1118.0,1278.0,1161.0,1435.0,763.0,8.0,0.0,75.0,3882.0,617.0,1887.0,220.0,3082,3038,55.0,1535.0,1783.0,1226.0,967.0,615.0,12
657,2022,3,발달상권,2120131,가산디지털단지,CS100003,일식음식점,164788,145321,19467,25246.0,28353.0,28940.0,30259.0,32523.0,10036.0,9431.0,39.0,361.0,108730.0,15180.0,34741.0,5737.0,73139,62943,550.0,39498.0,46493.0,26979.0,16883.0,5682.0,42
658,2022,3,발달상권,2120130,구로디지털단지역,CS100003,일식음식점,20784,15418,5366,2293.0,2656.0,2867.0,3157.0,4445.0,3333.0,2033.0,1410.0,8.0,3799.0,1400.0,6679.0,7488.0,12284,6734,25.0,3802.0,5271.0,3483.0,2932.0,3505.0,16
659,2022,3,발달상권,2120129,구로디지털단지,CS100003,일식음식점,52806,46129,6677,8040.0,9003.0,9684.0,9495.0,9907.0,3094.0,3583.0,4.0,17.0,35687.0,4624.0,11697.0,777.0,24062,22225,213.0,15489.0,15904.0,8398.0,4822.0,1456.0,24
660,2022,3,발달상권,2120128,신도림역,CS100003,일식음식점,34366,25272,9094,5817.0,2529.0,6065.0,5317.0,5544.0,4713.0,4381.0,0.0,313.0,18520.0,6055.0,9468.0,10.0,20215,12568,260.0,6575.0,10655.0,6961.0,4724.0,3611.0,13
661,2022,3,발달상권,2120127,구로구청,CS100003,일식음식점,19706,17517,2189,3287.0,3536.0,3296.0,3461.0,3937.0,1839.0,350.0,0.0,42.0,9933.0,1347.0,7345.0,1039.0,10646,7483,175.0,4480.0,5261.0,3527.0,3616.0,1068.0,5
