,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
3864,2,골목상권,2110611,신정역 1번,5,1.0,,,,,,,,
3865,2,골목상권,2110728,두산초등학교,10,,,,,,,,,
3866,2,골목상권,2110708,화원어린이공원,5,1.0,,,,,,,,
3867,2,골목상권,2110741,독산2동주민센터,10,1.0,,,,,,,,
3868,2,골목상권,2110739,시흥3동 우편취급국,6,1.0,,,,,,,,
3869,2,골목상권,2110924,반포4동주민센터(몽마르뜨공원),2,1.0,,,,,,,,
3870,2,전통시장,2130301,양재시장,3,,,,,,,,,
3871,2,골목상권,2110067,배문고등학교,14,,1.0,3.0,,,,,,
3872,2,전통시장,2130010,종로신진시장,11,,,,,,,,,
3873,2,골목상권,2110281,길상사,14,1.0,,4.0,,,,,,
3874,2,골목상권,2110276,신내IC북측,5,,,,,,,,,
3875,2,전통시장,2130119,정릉아리랑시장,12,,1.0,,,,,,,
3876,2,전통시장,2130257,영등포시장기계공구상가,2,,,,,,,,,
3877,2,골목상권,2110996,대치2동주민센터,8,2.0,,,,,,,,
3878,2,골목상권,2110188,용두동신동아아파트,8,1.0,,,,,,,,
3879,2,골목상권,2110194,홍파초등학교,4,,,,,,,,,
3880,2,골목상권,2110034,창신1동주민센터,4,1.0,,,,,,,,
3881,2,골목상권,2110930,서초동성당,8,,,,,,,,,
3882,2,골목상권,2110028,이화달팽이길,14,1.0,,2.0,,,,,,
3883,2,골목상권,2111081,둔촌푸르지오아파트,4,,1.0,,,,,,,
3884,2,골목상권,2110622,달마을공원,8,1.0,,,,,,,,
3885,2,골목상권,2111070,천호초등학교,7,,,,,,,,,
3886,2,전통시장,2130084,신성시장(신성골목시장),11,,1.0,,,,,,,
3887,2,전통시장,2130113,신아타운,14,1.0,2.0,,,,,,,
3888,2,전통시장,2130191,홍대 걷고싶은 거리,4,,,,,,,,,
3889,2,골목상권,2110882,신성초등학교,17,1.0,,,,,,,,
3890,2,전통시장,2130145,쌍문역둘리상점가,4,1.0,,,,,,,,
3891,2,발달상권,2120115,김포공항역(김포공항),8,,,,,,,,,
3892,2,골목상권,2110506,연희임광아파트,2,,,,,,,,,
3893,2,골목상권,2110603,지향초등학교,11,,,,,,,,,
3894,2,골목상권,2110841,중대부중,1,,,,,,,,,
3895,2,전통시장,2130099,전농로터리시장,5,,1.0,,,,,,,
3896,2,골목상권,2110726,금천철쭉어린이공원(금하마을),3,,,,,,,,,
3897,2,전통시장,2130286,신신림시장(삼성동시장),1,,,,,,,,,
3898,2,전통시장,2130030,을지로지하보도쇼핑센터(을지입구지하상가),1,,,,,,,,,
3899,2,전통시장,2130245,영일시장,4,,,,,,,,,
3900,2,골목상권,2110800,영등포동성당,1,,,,,,,,,
3901,2,골목상권,2110629,송정역 4번,1,,,,,,,,,
3902,2,골목상권,2110586,서울서부지방법원,22,1.0,1.0,,,,,,,
3903,2,발달상권,2120062,신설동역,84,4.0,6.0,,,1.0,,,,
3904,2,골목상권,2110483,연천초등학교,5,,,,,,,,,
3905,2,골목상권,2110457,예일여고,10,,,,,,,,,
3906,2,골목상권,2110477,은평세무서,19,3.0,2.0,,,,,,,
3907,2,골목상권,2110488,우리은행응암동지점,14,,3.0,,,,,,,
3908,2,골목상권,2110605,목동센트럴아이파크앞,9,1.0,1.0,,,,,,,
3909,2,발달상권,2120195,성수대교남단,51,,8.0,,,,,,,
3910,2,골목상권,2110446,내를건너서숲으로도서관,7,1.0,,,,,,,,
3911,2,발달상권,2120111,목동사거리,42,1.0,1.0,,,,,,,
3912,2,골목상권,2110456,구산보건지소,17,2.0,,,,,,,,
3913,2,전통시장,2130202,신영시장,6,,,,,,,,,
3914,2,골목상권,2110634,송정역 3번,27,1.0,1.0,,,,,,,
3915,2,골목상권,2110689,오류동역 3번,12,3.0,,,,,,,,
3916,2,전통시장,2130214,송화벽화시장(송화골목시장),29,,1.0,,,,,,,
3917,2,발달상권,2120020,시청역_1번,31,4.0,4.0,,,,,,,
3918,2,골목상권,2110656,까치산역 3번,61,1.0,,,,,,,,
3919,2,골목상권,2110720,대림역 2번,20,,,,,,,,,
3920,2,골목상권,2110718,한국SGI본부,17,1.0,,,,,,,,
3921,2,골목상권,2110686,수궁동주민센터,31,2.0,,,,1.0,,,,
3922,2,골목상권,2110685,금강수목원아파트,4,,,,,,,,,
3923,2,골목상권,2110732,가산초등학교(세일중학교),20,,1.0,,,,,,,
3924,2,전통시장,2130236,비단길현대시장(현대시장),29,,1.0,,,,,,,
3925,2,발달상권,2120179,양재역,122,3.0,12.0,,,,,,,
3926,2,골목상권,2110748,백산초등학교,12,,,,,,,,,
3927,2,골목상권,2110833,상도역 2번,11,,,,,,,,,
3928,2,전통시장,2130268,상도전통시장,20,1.0,,,,,,,,
3929,2,골목상권,2110821,보라매역 2번,12,,,,,,,,,
3930,2,발달상권,2120192,뱅뱅사거리,87,2.0,13.0,,,,,,,
3931,2,골목상권,2110035,동묘앞역 2번,12,1.0,,,,,,,,
3932,2,발달상권,2120172,교대입구교차로,63,1.0,7.0,2.0,,,,,,
3933,2,골목상권,2110908,구반포역,11,,3.0,,,1.0,,,,
3934,2,발달상권,2120165,서래마을카페거리(서래마을),35,1.0,5.0,,,,,,,
3935,2,발달상권,2120181,교육개발원입구사거리,20,3.0,2.0,,,,,,,
3936,2,골목상권,2110922,내방역 1번,4,1.0,,,,,,,,
3937,2,발달상권,2120166,방배역,91,5.0,4.0,5.0,,,,,,
3938,2,발달상권,2120199,경복아파트교차로,10,,1.0,,,,,,,
3939,2,골목상권,2110225,촬영소사거리,6,,,,,,,,,
3940,2,골목상권,2111021,방이역 4번,21,2.0,,,,,,,,
3941,2,골목상권,2110399,창2동주민센터,24,1.0,,,,,,,,
3942,2,골목상권,2111088,고덕동성당,11,,,,,,,,,
3943,2,발달상권,2120242,강동구청역,44,2.0,3.0,,,,,,,
3944,2,골목상권,2111044,남천초등학교,17,1.0,,,,,,,,
3945,2,골목상권,2111032,방이역 1번,7,,,,,,,,,
3946,2,발달상권,2120239,오금역,24,2.0,2.0,,,,,,,
3947,2,골목상권,2111016,송파역 2번,11,3.0,,,,,,,,
3948,2,발달상권,2120240,개롱역,35,,4.0,,,,,,,
3949,2,골목상권,2111026,문정역 2번,17,1.0,1.0,,,,,,,
3950,2,골목상권,2111004,삼전역 1번,36,2.0,1.0,,,,,,,
3951,2,골목상권,2111060,암사역 2번(서울강동초등학교),32,,,,,,,,,
3952,2,발달상권,2120248,명일역,90,3.0,3.0,,,,,,,
3953,2,골목상권,2111059,강동역 4번(강풀만화거리),27,1.0,1.0,,,,,,,
3954,2,골목상권,2111061,암사역 1번,13,1.0,,,,,,,,
3955,2,전통시장,2130320,암사종합시장,12,,,,,,,,,
3956,2,골목상권,2111077,길동주민센터(강동도서관),35,3.0,,,,,,,,
3957,2,골목상권,2110068,남영역 1번,20,3.0,1.0,6.0,,,,,,
3958,2,골목상권,2110376,수송초등학교,14,,,,,,,,,
3959,2,골목상권,2110122,마장역 2번,26,,2.0,,,,,,,
3960,2,발달상권,2120031,을지로3가역,65,4.0,3.0,,,,,,,
3961,2,발달상권,2120036,장충동족발거리(남소영길),16,1.0,1.0,,,,,,,
3962,2,전통시장,2130035,방산종합시장(방산시장),19,,3.0,,,1.0,,,,
3963,2,전통시장,2130031,청계천공구상가,3,,,,,,,,,
3964,2,전통시장,2130049,신당 미래유산 먹거리 골목형상점가,9,1.0,,,,,,,,
3965,2,전통시장,2130053,백학시장,23,1.0,,,,,,,,
3966,2,골목상권,2110082,용산구청,7,3.0,1.0,,,,,,,
3967,2,골목상권,2110146,신자초등학교,12,,,,,,,,,
3968,2,골목상권,2110158,중곡3동주민센터,31,1.0,,,,,,,,
3969,2,골목상권,2110243,중랑노인종합복지관,21,,,,,,,,,
3970,2,골목상권,2110236,신묵초등학교,15,1.0,,,,,,,,
3971,2,골목상권,2110241,먹골역 5번,29,2.0,2.0,,,,,,,
3972,2,골목상권,2110274,서일대학교,29,,,2.0,,,,,,
3973,2,골목상권,2110250,화랑대역 7번,4,,,,,,,,,
3974,2,골목상권,2110272,신내1동주민센터,29,1.0,1.0,,,,,,,
3975,2,골목상권,2110497,가좌역 3번,26,,2.0,,,,,,,
3976,2,골목상권,2110309,대광초등학교,4,,,,,,,,,
3977,2,전통시장,2130120,돈암시장(돈암제일시장),14,,,,,,,,,
3978,2,골목상권,2110357,가오리역 1번,8,1.0,,,,,,,,
3979,2,발달상권,2120073,미아사거리,33,3.0,,,,,,,,
3980,2,전통시장,2130122,밤나무골시장,3,,,,,,,,,
3981,2,전통시장,2130125,장위전통시장,8,1.0,,,,,,,,
3982,2,발달상권,2120070,한성대입구역,48,,3.0,,,,,,,
3983,2,골목상권,2110333,돌곶이역 5번,16,,1.0,,,,,,,
3984,2,골목상권,2110359,수유시장옆,2,,,,,,,,,
3985,2,발달상권,2120077,미아역,55,,3.0,,,,,,,
3986,2,골목상권,2110369,성신여대운정그린캠퍼스,20,,,,,,,,,
3987,2,발달상권,2120136,영등포구청역,51,3.0,3.0,,,,,,,
3988,2,발달상권,2120097,충정로역,26,1.0,3.0,,,,,,,
3989,2,발달상권,2120107,공덕역(공덕오거리),97,2.0,10.0,,,,,,,
3990,2,골목상권,2110580,양원초등학교,5,,,,,,,,,
3991,2,골목상권,2110559,성산중학교,7,,,,,,,,,
3992,2,골목상권,2110758,문래소공원,3,,,,,,,,,
3993,2,발달상권,2120159,서울대입구역,107,1.0,6.0,,,,,,,
3994,2,골목상권,2110785,영등포푸르지오아파트,14,1.0,,,,,,,,
3995,2,골목상권,2110888,청룡동주민센터,11,2.0,,,,,,,,
3996,2,골목상권,2110814,서울지방병무청,18,,,,,,,,,
3997,2,골목상권,2110780,신길대성유니드아파트,10,,,,,,,,,
3998,2,골목상권,2110791,신풍역 3번,13,,,,,,,,,
3999,2,골목상권,2110811,보라매역 4번,5,,,,,,,,,
4000,2,골목상권,2110798,신풍역 2번,7,,,,,,,,,
4001,2,발달상권,2120146,한강성심병원,16,1.0,3.0,,,,,,,
4002,2,골목상권,2110806,서울시립영등포장애인복지관,5,1.0,,,,,,,,
4003,2,골목상권,2110875,보라매동주민센터(당곡고등학교),8,1.0,,,,,,,,
4004,2,전통시장,2130279,관악신사시장,14,1.0,1.0,,,,,,,
4005,2,골목상권,2110865,남강고등학교(남강중학교),44,1.0,1.0,,,,,,,
4006,2,골목상권,2110863,난우초등학교,15,,,,,,,,,
4007,2,골목상권,2110860,호림박물관(성보고등학교),10,,,,,,,,,
4008,2,발달상권,2120219,은마아파트,57,,6.0,,,,,,,
4009,2,발달상권,2120201,도곡1동,36,,5.0,,,,,,,
4010,2,골목상권,2110981,국악고교사거리,2,,,,,,,,,
4011,2,골목상권,2110742,KT금천빌딩(금천구시설관리공단),9,2.0,,,,,,,,
4012,2,전통시장,2130159,공릉동 도깨비시장,12,1.0,1.0,,,,,,,
4013,2,골목상권,2110395,신한은행 방학동지점,18,,1.0,,,,,,,
4014,2,골목상권,2110481,불광역 7번,21,1.0,,,,,,,,
4015,2,전통시장,2130150,창동골목시장,17,,,,,,,,,
4016,2,골목상권,2110005,세검정,15,2.0,1.0,,,,,,,
4017,2,골목상권,2110003,세검정초등학교,15,,1.0,,,,,,,
4018,2,발달상권,2120010,원남동사거리,22,,1.0,2.0,,,,,,
4019,2,골목상권,2110029,동대문역 1번,17,,,,,,,,,
4020,2,골목상권,2110201,전농119안전센터,7,,,,,,,,,
4021,2,골목상권,2110224,외대앞역 2번,7,,,,,,,,,
4022,2,전통시장,2130154,상계주공1단지(가)상가,2,1.0,,,,,,,,
4023,2,골목상권,2111084,길동신동아아파트,6,,,,,,,,,
4024,2,발달상권,2120042,"숙대입구역(남영역, 남영동)",42,2.0,1.0,,,,,,,
4025,2,골목상권,2110792,영등포역 2번,19,,,,,,,,,
4026,2,골목상권,2110705,고산초등학교,5,,1.0,3.0,,,,,,
4027,2,골목상권,2110859,난향초등학교,13,,,,,,,,,
4028,2,골목상권,2110452,새절역 3번,26,,,,,,,,,
4029,2,골목상권,2110594,신월중학교,5,,,,,,,,,
4030,2,골목상권,2110674,강서구청가양동별관,13,2.0,,,,,,,,
4031,2,전통시장,2130227,고척골목시장상점가(그라운드 고척),9,,,,,,,,,
4032,2,전통시장,2130213,방신전통시장,2,,,,,,,,,
4033,2,골목상권,2110831,상도4동주민센터,7,,,,,,,,,
4034,2,골목상권,2110745,독산동정훈단지,11,,,1.0,,,,,,
4035,2,골목상권,2110746,금천금빛공원(은행나무사거리서측),4,,,,,,,,,
4036,2,골목상권,2110843,사당5동주민센터,9,1.0,,,,,,,,
4037,2,골목상권,2110948,헌인가구단지,4,,,,,,,,,
4038,2,골목상권,2111031,장지동주민센터(한림연예예술고교),5,1.0,1.0,,,,,,,
4039,2,골목상권,2111075,굽은다리역 2번,9,1.0,,,,,,,,
4040,2,전통시장,2130324,길동복조리시장,5,,,,,,,,,
4041,2,전통시장,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",6,,,,,1.0,,,,
4042,2,골목상권,2110112,행당역 2번,8,,,,,,,,,
4043,2,발달상권,2120019,경찰청앞교차로,17,,,,,,,,,
4044,2,골목상권,2110155,광진구청,5,,1.0,1.0,,,,,,
4045,2,골목상권,2110266,면목동우체국,11,,,,,,,,,
4046,2,골목상권,2110289,북한산보국문역 2번,19,1.0,,,,,,,,
4047,2,골목상권,2110284,정릉북한산국립공원입구,8,,,,,,,,,
4048,2,골목상권,2110518,서대문구청,6,,,,,,,,,
4049,2,골목상권,2110879,신림현대아파트,11,1.0,,,,,,,,
4050,2,골목상권,2110764,문래역 3번,7,,,,,,,,,
4051,2,골목상권,2110775,대동초등학교,8,1.0,,,,,,,,
4052,2,골목상권,2110783,영등포시장역 1번,5,,,,,,,,,
4053,2,골목상권,2110867,국제신학대학원대학교(남서울중학교),10,1.0,,1.0,,,,,,
4054,2,골목상권,2110470,신진과학기술고등학교,5,,,,,,,,,
4055,2,골목상권,2110920,방배역 2번(백석예술대학교),9,,,5.0,,,,,,
4056,2,골목상권,2110835,상도역 1번,5,,,,,,,,,
4057,2,골목상권,2110462,갈현건영아파트,20,1.0,,,,,,,,
4058,2,골목상권,2110384,문이교,3,,,,,,,,,
4059,2,골목상권,2110484,역촌역 3번,9,,,,,,,,,
4060,2,전통시장,2130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),8,,,,,,,,,
4061,2,골목상권,2110492,하나고등학교,4,,,,,,,,,
4062,2,전통시장,2130299,엔터식스 강남점,11,,,,,,,,,
4063,2,골목상권,2110845,사당종합체육관,7,,,,,,,,,
