기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,발달상권,2120215,포스코사거리,CS100009,호프-간이주점,2177335416,1858466427,318868989,222413700,355705851,464703325,414923645,400719906,246824457,72044532,429779236,774943,155147448,25444544,515095500,1051093745,1007984322,382144120,7156556,232847253,437500259,391301588,212433000,108889788,21
2022,4,발달상권,2120213,삼성중앙역,CS100009,호프-간이주점,3698021974,2900599078,797422896,394653293,573538560,666782468,665824112,599800645,530835031,266587865,667308889,,,1919430,723157949,2305635706,1729706464,808914991,3649871,553619325,905963343,631718305,352981083,90689522,11
2022,4,발달상권,2120212,한티역,CS100009,호프-간이주점,510650424,347992008,162658416,58630861,68624569,57029257,73481440,90225881,109150624,53507792,60988855,,29405664,9841989,169985269,240428647,261014218,181632605,19081159,80910148,87765762,133631993,97921283,23336478,10
2022,4,발달상권,2120210,선릉역,CS100009,호프-간이주점,3354642396,2751897682,602744714,363698791,518266196,600370818,683860631,585701246,423610946,179133768,593841413,3629985,154581726,15310101,943054580,1644224591,1675324880,711075998,11709248,512015324,835555262,599983063,318001960,109136024,39
2022,4,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",CS100009,호프-간이주점,350694778,302932512,47762266,50110997,51204565,50968743,79232105,71416102,34960383,12801883,87723708,,,93391,28544027,234333652,140143392,68517163,728626,21095046,48275293,35581811,67610045,35369734,5
2022,4,발달상권,2120208,청담사거리(청담동명품거리),CS100009,호프-간이주점,1142578327,861044888,281533439,138014316,150193924,153154750,190177886,229504012,167538819,113994620,324918336,1795693,14422853,3874185,217897423,579669837,543893962,279829075,2473383,180198406,289748643,201302729,103296379,46703497,10
2022,4,발달상권,2120207,선정릉역,CS100009,호프-간이주점,1409638434,1116661026,292977408,182169313,223230748,234025303,266722255,210513407,182724156,110253252,319679843,28879092,248899058,66948864,290224504,455007073,685782643,448200967,3131317,271777851,438859977,239940155,133896265,46378043,13
2022,4,발달상권,2120206,개나리아파트,CS100009,호프-간이주점,72496714,45236722,27259992,4890033,8876981,15073720,7880242,8515746,13364030,13895962,31050119,,7358462,2756079,13517887,17814167,49264044,9338557,,4080601,14214403,14089555,18672273,7545768,3
2022,4,발달상권,2120205,매봉역,CS100009,호프-간이주점,866348555,676931751,189416804,121498638,113887887,134210981,157201129,150133116,123663791,65753013,198243920,,,,133454088,534650547,500273163,182655946,4459061,207379945,203134963,144681675,94488585,28784878,15
2022,4,발달상권,2120203,강남구청역,CS100009,호프-간이주점,2282891071,1774744695,508146376,293090659,337859929,349199973,409532795,385061339,319473481,188672895,314894679,,183055863,21808138,638751145,1124381246,1043854517,901341842,11874870,781479842,715148756,272342517,113418123,50932252,10
