기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,2,골목상권,2110135,성동세무서,CS100010,커피-음료,6314,5555,759,1100,1209,1070,988,1188,342,417,,1434,3350,1018,490,22,2696,2807,,958,1664,1374,988,520,5
2022,2,골목상권,2110134,성수119안전센터,CS100010,커피-음료,9959,5652,4307,987,1011,1141,1099,1414,2337,1970,,798,2938,3247,2930,46,4140,5306,144,2667,3273,1477,1142,745,13
2022,2,골목상권,2110133,서울교통공사,CS100010,커피-음료,6686,5297,1389,798,1210,1186,858,1245,901,488,,1570,2575,1854,678,9,3434,2867,,1751,1845,1081,1451,172,3
2022,2,골목상권,2110132,성수2가3동주민센터,CS100010,커피-음료,11396,8566,2830,1593,1534,1594,1717,2128,1499,1331,,1085,6048,3406,857,,4994,5267,8,3276,3991,1822,878,286,13
2022,2,골목상권,2110131,성수동카페거리,CS100010,커피-음료,168940,130260,38680,23612,25986,25507,25758,29397,22227,16453,21,35659,50351,43347,35331,4231,71504,85929,2435,63037,49620,23505,15313,3526,48
2022,2,골목상권,2110129,성원어린이공원,CS100010,커피-음료,2633,2356,277,465,481,455,460,495,166,111,5,703,1117,560,225,23,1209,1036,3,729,827,375,230,81,12
2022,2,골목상권,2110128,성원중학교,CS100010,커피-음료,11549,7332,4217,874,1175,1414,2134,1735,2427,1790,,1296,4032,3978,2228,15,5211,6017,115,3405,3856,2036,1021,795,28
2022,2,골목상권,2110127,성수1가1동주민센터,CS100010,커피-음료,20548,18868,1680,3598,3753,3722,3670,4125,840,840,,7921,7205,3649,933,,7879,9051,,5992,7164,2343,954,477,5
2022,2,골목상권,2110126,서울숲역 1번,CS100010,커피-음료,14505,10708,3797,2015,2240,2003,2121,2329,2080,1717,,1486,6170,3909,2512,428,5018,8540,208,5076,4622,2131,1044,474,6
2022,2,골목상권,2110125,사근동살곶이상점가,CS100010,커피-음료,50449,37468,12981,8073,7756,7646,7169,6824,6184,6797,,5015,21340,11970,10965,1159,22025,27744,2164,29566,6775,3160,6940,1166,9
2022,2,골목상권,2110124,뚝섬역교차로,CS100010,커피-음료,44427,38490,5937,6752,8070,7690,7678,8300,3236,2701,,14507,17173,9205,3443,99,19042,19749,212,13670,15716,5292,2633,1267,12
2022,2,골목상권,2110122,마장역 2번,CS100010,커피-음료,40219,28973,11246,5831,5647,6220,5577,5698,5779,5467,,5280,10922,11008,11649,1360,17450,22198,604,11098,11088,8423,5359,3074,7
2022,2,골목상권,2110121,한양대역 4번,CS100010,커피-음료,101636,73113,28523,16067,15257,14772,13760,13257,14225,14298,6944,4775,24814,26347,26648,12108,49723,51913,7756,65441,10808,7223,8749,1659,7
2022,2,골목상권,2110120,서울숲카페거리,CS100010,커피-음료,3177,1907,1270,429,391,377,367,343,787,483,,4,1154,1121,887,11,879,2215,19,1292,1246,336,155,48,27
2022,2,골목상권,2110118,왕십리역 9번,CS100010,커피-음료,29811,20079,9732,3777,3909,4119,4009,4265,5390,4342,120,5276,8089,8277,6265,1784,13359,15117,1061,7181,6662,5937,4973,2661,8
2022,2,골목상권,2110117,성동구보건소,CS100010,커피-음료,577,357,220,55,124,54,83,41,110,110,,55,165,96,151,,96,357,,137,233,55,28,,*
2022,2,골목상권,2110115,상왕십리역 3번,CS100010,커피-음료,21473,15405,6068,2909,3085,3167,3014,3230,3520,2548,25,3235,6904,5621,4902,786,8760,11879,115,6000,6494,3350,3020,1659,18
2022,2,골목상권,2110114,왕십리파출소,CS100010,커피-음료,4640,2747,1893,512,483,535,597,620,1029,864,,5,1141,1160,2146,188,2385,1836,10,1024,798,939,958,493,*
2022,2,골목상권,2110112,행당역 2번,CS100010,커피-음료,17073,11431,5642,2153,2358,2443,2131,2346,2608,3034,,2827,5244,4683,4096,223,7246,9827,1946,4052,4041,3608,2562,864,4
2022,2,골목상권,2110110,상왕십리역 6번,CS100010,커피-음료,8474,5845,2629,895,957,1276,1327,1390,1617,1012,,621,2718,3161,1974,,2584,5662,122,3524,1758,1036,1192,614,6
2022,2,골목상권,2110109,금호삼성래미안아파트,CS100010,커피-음료,19193,12720,6473,2640,2496,2753,2294,2537,3554,2919,37,4543,5715,5914,2960,24,7391,11064,23,3609,6524,5095,2539,665,10
2022,2,골목상권,2110105,금동어린이공원,CS100010,커피-음료,23802,14975,8827,2590,3063,3431,2585,3306,4035,4792,4,3728,7031,6974,4690,1375,10938,12282,1073,3487,6134,6317,3788,2422,7
2022,2,골목상권,2110104,신금호역 4번,CS100010,커피-음료,1500,1276,224,323,224,158,290,281,207,17,,356,482,414,248,,691,809,,180,528,375,153,264,*
2022,2,골목상권,2110103,옥수터널,CS100010,커피-음료,4634,2980,1654,525,587,602,746,520,771,883,,1271,1563,1403,397,,1620,2871,72,555,1347,1419,838,257,*
2022,2,골목상권,2110102,옥수역 6번,CS100010,커피-음료,25739,17625,8114,3475,3671,3285,3464,3730,4748,3366,,5449,7072,6811,5713,694,11540,13247,167,4549,8092,5508,3962,2509,10
