,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
93,2111016,송파역 2번,51818,838862,395739,489666,731787,256370
94,2110223,군자초등학교,125357,2019295,786532,917140,1818770,567677
95,2110648,양천향교역 7번,41474,739168,282108,332797,651791,216284
96,2110629,송정역 4번,104610,1797949,1258399,1387182,1899196,610690
97,2110023,서울대병원,124319,2270226,1590681,1958764,2566093,1068221
98,2110946,청계산원터골,595,16044,13033,17662,15461,3747
99,2110160,광진경찰서,17942,272286,118425,162135,198629,76169
100,2110923,방배역 1번,51317,1433943,677457,813001,1243103,412228
101,2110788,영등포시장역 3번,100944,1180825,707177,825513,1255317,402075
102,2111011,잠실나루역,33688,879405,434991,486516,696768,216124
103,2110950,논현역 7번,184361,2972685,1369984,1715561,3321066,1162777
104,2110991,삼성중앙역 5번,56869,1928158,881970,1071675,1907670,500976
105,2110774,당산반도유보라팰리스아파트,64171,1681541,675039,799833,1565144,456018
106,2110796,한림대학교한강성심병원,48081,843740,468051,532736,838886,258225
107,2110601,신월1동우편취급국,29809,211555,88530,103756,170263,71818
108,2110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",48516,916991,321178,390963,725970,232493
109,2110618,강서고등학교,70741,631136,295329,350281,505443,211539
110,2110545,마포구청역 1번,73444,1173049,531678,610874,1027999,355697
111,2110460,구산역 4번,91676,1097532,513438,612747,854797,325867
112,2110483,연천초등학교,75642,579405,329237,418493,572151,235866
113,2110906,서문여고,50880,739585,430925,550504,712306,270018
114,2110626,양화초등학교,108555,1495780,609188,709199,1438101,581766
115,2110745,독산동정훈단지,69481,484645,254147,308222,473186,191627
116,2110790,대림1동주민센터,99815,1083524,449853,520062,870533,307005
117,2110795,도림초등학교,52218,420000,203533,238074,352109,136643
118,2110501,연희어린이공원,75549,542819,308472,389511,569891,233356
119,2110514,서대문우체국,240893,1513868,1038470,1217817,1645767,741746
120,2110838,상도1동주민센터앞,40087,610323,335717,404394,632177,280036
121,2110488,우리은행응암동지점,124954,1768802,726496,853324,1476763,536551
122,2110288,동구여중,109094,925460,560681,690313,899783,388964
123,2110204,간데메공원,36812,444368,192062,239843,401247,150420
124,2110340,인수중학교,16306,168508,103817,124986,150947,52737
125,2110011,청운초등학교,6220,197597,101646,140270,115101,33813
126,2110189,제기동역 1번,112330,1322550,1224849,1317821,1153437,341526
127,2110231,장안교,29481,400193,172601,219690,317259,115858
128,2110475,백련산해모로아파트,46574,473357,280504,341928,457758,172958
129,2110890,봉천역 1번(관악초등학교),142909,1775050,783712,902124,1537400,611547
130,2110435,서울과학기술대,29376,331748,171108,197848,258244,103825
131,2110401,도봉구민회관,49856,404527,215022,251050,351337,127513
132,2110337,아카데미하우스,16047,166451,102356,123203,148561,51682
133,2110195,동대문구청,124921,845248,688522,805531,757803,229326
134,2110388,도봉우체국,217199,2689792,1159869,1323853,2310078,889334
135,2110224,외대앞역 2번,104476,864965,532641,623448,853804,354279
136,2110246,월드순복음교회,118018,825456,432034,520087,813782,289327
137,2110423,석계역 2번,122601,1555343,770244,906779,1516413,554005
138,2110271,신내역 1번,22110,357233,143419,177185,299852,107848
139,2110104,신금호역 4번,31938,743179,374174,460908,661158,220637
140,2110193,고려대역 4번,58670,508915,274502,315701,447308,189671
141,2110373,수유역 2번,347612,3528156,1818015,2152893,3567399,1363202
142,2110960,은광여고,87620,1332730,586541,717985,1124713,401563
143,2111055,선사초등학교,12507,139943,68094,84233,117091,46348
144,2110773,당산역 13번,163990,3044002,1266071,1479673,3097290,1141275
145,2110072,열정도,35049,1038765,470398,566112,965406,337158
146,2110121,한양대역 4번,42757,847334,526883,587681,744744,257080
147,2110990,청담역 12번,76121,1895310,561281,700701,1416451,352562
148,2110797,KT대방빌딩,86733,1042635,427599,494441,831555,285947
149,2110100,옥수동우편취급국,5784,156075,79649,108424,135904,47998
150,2110091,리움미술관,80076,928642,603699,827901,1439588,602191
151,2110805,신길새마을금고신길4동지점,38800,302193,141345,172251,264174,99033
152,2110663,우장산롯데캐슬아파트앞,67107,731466,372912,427839,609077,247658
153,2110530,아현역 1번,87235,1188184,633751,768330,1120265,414636
154,2110026,종로5가역 4번,170437,2832303,2421516,2716329,2920556,774828
155,2110043,충무초등학교,43916,778157,463668,527743,770684,247874
156,2110564,홍대입구역 3번,422017,3769660,3117463,3919061,6497342,3053736
157,2110948,헌인가구단지,988,9177,2747,5039,6195,753
158,2110238,배꽃어린이공원,81277,923345,420311,494553,866304,318942
159,2110914,내방역 6번,41161,1313479,531079,629096,1132311,322262
160,2110880,신림역 1번,412781,4789304,2065666,2457357,4653428,2070360
161,2110779,대림갑을명가아파트,40412,317866,162321,184789,276779,108308
162,2110791,신풍역 3번,101298,1052299,429587,504584,869114,301156
163,2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),14253,170827,75677,93535,144394,57910
164,2110705,고산초등학교,52345,540787,288629,345739,447351,169876
165,2110570,KB국민은행 서강지점,3101,121996,67816,78787,120594,45214
166,2110921,서울프랑스학교,1805,169659,94971,114438,152849,54608
167,2110798,신풍역 2번,109732,1214927,503672,586217,986923,345640
168,2110852,이수역 9번,119701,2153970,1199818,1445042,2394903,853245
169,2110343,무너미어린이공원,43166,341406,194729,225039,283517,101013
170,2110523,홍제성원아파트,22643,205644,129996,171980,241071,92264
171,2110200,동대문경찰서,30332,312706,174001,190019,230558,78489
172,2110965,언주역 6번,37214,977458,369240,438958,839700,227572
173,2110275,하나은행 망우동지점,81560,644081,373401,443644,631479,203576
174,2110298,솔숲어린이공원,100702,1112349,617599,734359,982824,379016
175,2110347,구세군강북종합사회복지관,36722,355983,190827,233805,308273,113551
176,2110383,덕성여대시반거리,36462,457336,312273,358317,419592,133649
177,2110389,한일병원,77517,468018,234394,269162,399788,150702
178,2110342,국립재활원,34268,294008,155308,178226,224882,84974
179,2110412,창동중학교,11765,215576,102566,132086,165886,63208
180,2110320,KB국민은행 종암동지점,48009,433120,237108,308971,437201,186578
181,2110678,염창무학아파트,109737,1391960,562787,660213,1351643,544695
182,2110146,신자초등학교,17113,232458,103638,125812,208135,80202
183,2110073,삼각지역 3번,79600,1861692,955801,1164739,2162908,697380
184,2110151,자양한강도서관,23212,348270,155197,181418,298558,116018
185,2110169,성동초등학교,26393,250212,111700,139413,222852,90018
186,2111076,둔촌2동주민센터,23695,197592,104921,128980,191682,77708
187,2111067,강동구립성내도서관,109919,1470132,657228,752731,1238159,424110
188,2110154,광진정말공원,28705,375310,181088,211040,345280,134275
189,2111058,성내중학교,9559,163081,69947,82427,129950,50793
190,2110783,영등포시장역 1번,73975,1001257,562644,643938,995704,316073
191,2110143,뚝섬유원지역 1번,39917,582066,275070,364389,595444,221570
