,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,2110753,시흥동 은행나무사거리,55441,503804,282926,335493,456904,167604
1,2110427,노원 을지대학교병원,108983,1490783,712487,822979,1255460,472944
2,2110755,동일여자고등학교,41639,404018,225619,263339,336474,123386
3,2110739,시흥3동 우편취급국,27565,248215,94843,127245,217275,77098
4,2111017,송파나루역 3번,42873,604016,318807,358217,635634,247275
5,2110249,중화역 1번,81533,961174,418716,475917,858021,308981
6,2110963,역삼월드메르디앙아파트,27712,467371,202654,244609,435842,160719
7,2110332,돌곶이역 3번,77782,898636,369135,418856,733304,249869
8,2110245,KB국민은행 중화동지점,120897,914571,468205,533213,884325,318804
9,2110719,영서중학교,31929,254543,130366,144979,210038,64168
10,2110932,서울시인재개발원,10425,203696,77437,97104,166685,48701
11,2110933,한국상담대학원대학교,11762,256133,103906,129909,213142,65097
12,2110868,남부초등학교,125493,1300795,541113,640818,1118673,513655
13,2110395,신한은행 방학동지점,48692,411964,228304,260939,367061,137602
14,2110393,국민은행방학지점,68221,613953,337610,384790,562966,210183
15,2110114,왕십리파출소,70827,1179946,489310,558486,1010189,352383
16,2110760,선유도역 6번,30334,764323,252438,303880,674102,184007
17,2111068,강동성심병원,138115,1800186,830843,935462,1562878,526068
18,2110619,목4동주민센터,62203,564341,281391,332717,562553,232057
19,2110093,우사단길,24649,207227,136374,177094,235778,91657
20,2110734,금천파출소,105356,1403842,662891,778417,1358005,438999
21,2111030,방이역 2번,55978,1138470,461492,551931,999226,348687
22,2110573,신촌역 6번,195490,2533057,1859400,2124828,3332014,1420712
23,2110053,청구역 1번,59921,670192,318490,359260,603885,226634
24,2110972,강남세브란스병원미래의학연구센터,34089,644774,286628,345020,557258,202908
25,2110911,방배배수지체육공원,13034,109016,48211,75084,68064,24280
26,2110969,베르사이유1아파트,131599,3822378,1165381,1383343,3199548,812194
27,2111002,한국교통안전공단 강남자동차검사소,1813,15164,7610,10373,11754,2148
28,2110863,난우초등학교,70109,584811,315826,374101,552514,214440
29,2110751,난곡중학교,102773,604688,269830,323830,531805,200616
30,2110993,개포지하차도 북측,5194,89542,42956,59836,85838,36556
31,2110725,가산동주민센터,99566,855447,358438,426608,758253,256065
32,2110723,가산디지털단지역 1번 출입구,269919,5601239,1344142,1664098,4821081,984282
33,2110938,바우뫼공원,20841,347578,141043,164198,311661,88188
34,2110999,윗방죽마을공원,12452,226239,86866,109549,179267,64685
35,2110941,언남고등학교,20948,430363,177929,211730,405803,112698
36,2110087,이태원엔틱가구거리,148029,699469,478974,623001,1126956,611397
37,2110094,오산중학교,17718,226583,131616,154429,202517,80753
38,2110262,상봉역 3번,64666,510274,327089,392410,603173,205370
39,2110279,신내역 2번,16935,299015,94944,118975,193108,54564
40,2110107,금호사거리,19561,309602,193934,231066,307798,109527
41,2110576,대흥역 3번,21908,317746,195579,240705,322637,134364
42,2111010,석촌역 7번,78050,1138801,572542,637520,1128424,444935
43,2110098,서울독일학교,93244,805979,424328,496092,820266,371816
44,2110669,화곡보람2차아파트,62395,592154,289828,327158,513894,213352
45,2111081,둔촌푸르지오아파트,15831,180950,81851,94848,129610,47643
46,2110331,돌곶이역 8번,81579,903316,388298,436860,754568,259369
47,2110786,당산역 8번,153909,2530758,1054697,1203743,2605394,1028243
48,2110956,언주역 8번,26115,871578,314303,371532,739468,195767
49,2111003,삼전역 4번,38148,604969,247606,284445,542853,213969
50,2110565,홍익대,204995,2532821,2259129,2829904,4787157,2223018
51,2110149,세종대학교,49484,265211,156752,183645,273153,119553
52,2110110,상왕십리역 6번,85141,1237527,548535,630260,1115440,408699
53,2110539,미근동,145095,2275799,815510,969745,1875110,531728
54,2110505,홍남교남측,23248,313817,164784,185476,272051,112599
55,2110055,황학동벼룩시장,218359,2236436,1609303,1753414,2189329,797493
56,2110122,마장역 2번,39074,625843,258244,291479,522283,181302
57,2111065,천일초등학교,6303,92266,45691,53619,80766,33481
58,2110305,보문역 5번,74235,955346,424429,482550,751178,296446
59,2110499,연가초등학교,23729,258008,139823,167831,237666,99697
60,2110150,중곡1동 마을마당,59356,282589,142229,160329,269716,111977
61,2110236,신묵초등학교,60299,714144,337628,372777,663838,238918
62,2111023,문정역 1번,61998,1542649,431200,538882,1358472,331270
63,2110925,서초중학교,25411,481016,203504,251986,353325,119226
64,2110910,내방역 5번,38905,1204080,475166,552666,1052705,299080
65,2110775,대동초등학교,51717,311013,185607,197769,294781,114263
66,2110854,조원동주민센터,155311,1169479,425649,447798,780393,256806
67,2110853,KT구로지사,356511,4540162,1485261,1752653,4148158,1418252
68,2110918,방배역 3번,46618,1322133,575581,675970,1151397,379923
69,2110243,중랑노인종합복지관,57699,410718,187888,215280,349216,126020
70,2110935,한전아트센터,18424,274467,126505,154223,247442,93646
71,2110585,마포경찰서,29766,601348,250837,284168,495901,151306
72,2110871,신원동주민센터,347941,4569505,1916450,2244073,4359520,1911068
73,2110811,보라매역 4번,64911,1068540,468542,571721,1011910,355475
74,2110992,도곡초등학교,35400,615798,462474,576999,842163,486481
75,2111043,마천공원,21782,226806,116115,138601,187990,74507
76,2111039,벌말어린이공원,25559,300960,141870,176463,247123,100550
77,2110771,대림역 11번,62175,508644,266873,292281,460031,188616
78,2110700,고척초등학교,36545,371356,210856,243561,346512,127199
79,2110903,방배아이파크아파트,28055,482223,227628,281301,404532,154717
80,2110709,구로119안전센터,57014,498827,301491,336795,413048,142893
81,2110986,삼성중앙역 7번,15886,635059,221818,263082,588764,154785
82,2110949,한남IC,64664,1656134,896969,1121739,2046939,718939
83,2111026,문정역 2번,69667,1695897,523659,658240,1506598,402419
84,2110621,목동역 5번,134673,1691781,805410,965093,1766412,686601
85,2110684,서울공연예술고등학교,13741,213673,92041,130733,150021,53142
86,2110757,양평역 2번,38164,817790,314151,345144,654573,191981
87,2110878,미림여고,24944,250152,112321,141906,181300,83372
88,2110866,난우중학교,48207,341723,147234,158214,217345,84772
89,2110379,KT&G 북부지사,49333,489855,259118,286002,399894,136809
90,2110882,신성초등학교,112871,1099012,605943,699435,1133671,501297
91,2110724,금천구립가산도서관,27939,444370,136729,159296,342661,114363
92,2110926,신중초등학교,25645,439636,210649,282817,419173,150426
93,2111016,송파역 2번,52096,801570,375215,458825,708778,248183
94,2110223,군자초등학교,120218,1963472,744765,849274,1747083,538935
95,2110648,양천향교역 7번,38293,718246,267072,316514,634156,203068
96,2110629,송정역 4번,99911,1808638,1276063,1401811,1950375,611668
97,2110023,서울대병원,116429,2113836,1410267,1741459,2404938,1021397
98,2110946,청계산원터골,757,16881,13159,16377,16357,4582
99,2110160,광진경찰서,17535,264058,115845,153028,196910,73822
100,2110923,방배역 1번,49896,1365680,593580,705184,1180828,388537
101,2110788,영등포시장역 3번,98708,1147979,661200,750550,1188470,395063
102,2111011,잠실나루역,31797,836664,405477,447222,670214,210119
103,2110950,논현역 7번,172887,2961731,1298317,1598955,3192961,1119468
104,2110991,삼성중앙역 5번,54248,1862874,833333,996106,1845183,482337
105,2110774,당산반도유보라팰리스아파트,59823,1641435,623690,719673,1486106,424515
106,2110796,한림대학교한강성심병원,46278,811310,422499,466427,772221,243579
107,2110601,신월1동우편취급국,29896,211131,89358,100703,172210,71744
108,2110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",45454,876727,306744,362581,706422,225000
109,2110618,강서고등학교,67921,616098,285171,334564,502593,211352
110,2110545,마포구청역 1번,71159,1139143,502519,561406,989942,353228
111,2110460,구산역 4번,86336,1062582,509481,593666,843141,325850
112,2110483,연천초등학교,76444,570228,334220,408355,576049,235964
113,2110906,서문여고,52110,736021,431371,528346,726091,273716
114,2110626,양화초등학교,106156,1438876,575629,660115,1385689,555918
115,2110745,독산동정훈단지,70772,486559,264388,304818,476385,194297
116,2110790,대림1동주민센터,89918,1048836,425396,482907,841840,295626
117,2110795,도림초등학교,52375,422226,203245,232048,353756,141587
118,2110501,연희어린이공원,75914,526010,296297,362337,547482,228143
119,2110514,서대문우체국,230391,1458471,971055,1119175,1568163,713894
120,2110838,상도1동주민센터앞,38718,572758,300536,362166,603471,270174
121,2110488,우리은행응암동지점,117774,1694248,686590,789978,1407583,509368
122,2110288,동구여중,112856,881932,531144,641333,871606,377265
123,2110204,간데메공원,36106,444752,189645,231068,402495,151634
124,2110340,인수중학교,15542,157974,99529,114024,143475,48783
125,2110011,청운초등학교,6063,194852,102030,142256,122055,33014
126,2110189,제기동역 1번,108627,1353512,1155916,1189105,1149389,325285
127,2110231,장안교,29073,388311,173964,213450,309437,116275
128,2110475,백련산해모로아파트,45908,473199,287861,336852,462143,170753
129,2110890,봉천역 1번(관악초등학교),139960,1747454,761330,858590,1507364,598416
130,2110435,서울과학기술대,28994,317379,160517,193124,257292,102695
131,2110401,도봉구민회관,49318,404732,218980,251770,352578,126624
132,2110337,아카데미하우스,15289,156108,97958,112164,140985,47801
133,2110195,동대문구청,125731,890527,676961,757549,784670,229307
134,2110388,도봉우체국,198746,2571040,1101819,1242184,2211446,838790
135,2110224,외대앞역 2번,95979,777641,459507,540804,775282,326571
136,2110246,월드순복음교회,114230,792409,418197,488181,786734,278345
137,2110423,석계역 2번,119072,1484664,692346,816525,1430285,519870
138,2110271,신내역 1번,21834,345889,141148,173722,293186,105870
139,2110104,신금호역 4번,32107,733162,364369,432638,652477,219997
140,2110193,고려대역 4번,57786,483160,249596,285848,430093,179894
141,2110373,수유역 2번,326077,3405340,1741647,2026956,3419085,1303492
142,2110960,은광여고,88575,1356398,589870,704153,1142821,414314
143,2111055,선사초등학교,11750,138868,68560,80784,111677,44206
144,2110773,당산역 13번,159162,2936072,1154655,1332415,2947235,1083330
145,2110072,열정도,35469,995385,440187,524881,943676,324945
146,2110121,한양대역 4번,35133,697433,382373,429105,620611,207822
147,2110990,청담역 12번,74181,1850857,529099,648490,1381146,351949
148,2110797,KT대방빌딩,78588,1015773,408285,467222,815625,279981
149,2110100,옥수동우편취급국,6094,155801,83151,107833,138097,50313
150,2110091,리움미술관,108253,899330,585708,777076,1421129,672976
151,2110805,신길새마을금고신길4동지점,37128,294443,137518,163105,255877,97792
152,2110663,우장산롯데캐슬아파트앞,65984,710502,357307,404668,592068,240611
153,2110530,아현역 1번,85586,1168411,607411,728434,1101061,412273
154,2110026,종로5가역 4번,159627,2743065,2230194,2415013,2679676,710338
155,2110043,충무초등학교,43157,695633,368446,408546,689863,233738
156,2110564,홍대입구역 3번,390599,3529032,2924551,3625903,6083901,2875597
157,2110948,헌인가구단지,1029,8912,2853,4406,6872,940
158,2110238,배꽃어린이공원,77956,891992,396590,455203,835229,303186
159,2110914,내방역 6번,39937,1282643,513893,588627,1107528,316502
160,2110880,신림역 1번,385083,4644828,1977797,2319565,4461692,1979551
161,2110779,대림갑을명가아파트,37465,305140,154865,172364,264083,103455
162,2110791,신풍역 3번,91067,1017848,405696,467362,839809,289770
163,2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),14586,172200,76522,92742,143316,57505
164,2110705,고산초등학교,48588,486910,251017,296949,415135,166761
165,2110570,KB국민은행 서강지점,3080,124975,71722,79367,124688,44043
166,2110921,서울프랑스학교,1865,168032,95695,110716,156418,54552
167,2110798,신풍역 2번,99601,1177602,477895,546423,958010,333761
168,2110852,이수역 9번,113277,2091823,1144341,1337171,2311944,818207
169,2110343,무너미어린이공원,42022,329414,191857,213210,278153,96863
170,2110523,홍제성원아파트,23545,203411,131212,166865,238243,92302
171,2110200,동대문경찰서,30726,314330,179191,193591,237469,82640
172,2110965,언주역 6번,35990,961752,348968,414497,817336,222991
173,2110275,하나은행 망우동지점,82094,635592,378170,431238,630315,206727
174,2110298,솔숲어린이공원,97873,1070764,593848,683373,954298,365353
175,2110347,구세군강북종합사회복지관,37369,356631,191791,227366,313843,114985
176,2110383,덕성여대시반거리,35724,418338,270166,311621,389094,125297
177,2110389,한일병원,77281,463407,234993,264387,400110,152748
178,2110342,국립재활원,33647,293379,160591,182434,229889,84829
179,2110412,창동중학교,12337,208067,103706,133255,165985,61942
180,2110320,KB국민은행 종암동지점,47302,419297,228458,289078,421734,177993
181,2110678,염창무학아파트,107422,1336214,526432,608110,1294565,519281
182,2110146,신자초등학교,17111,233032,104862,125816,212026,82006
183,2110073,삼각지역 3번,67567,1716122,851792,1007898,1924836,608298
184,2110151,자양한강도서관,23542,347558,157169,181303,302090,117056
185,2110169,성동초등학교,25662,240213,108592,132154,216298,89532
186,2111076,둔촌2동주민센터,20810,176164,93965,112784,168562,66993
187,2111067,강동구립성내도서관,103388,1401544,613255,694160,1170876,395401
188,2110154,광진정말공원,28282,374401,181856,209212,345746,134707
189,2111058,성내중학교,9751,161137,70546,83337,131514,50108
190,2110783,영등포시장역 1번,72199,967910,515783,575340,930006,299189
191,2110143,뚝섬유원지역 1번,42933,577410,274952,369073,711132,328278
192,2110092,NH농협은행 보광동지점,22586,308588,181064,217348,284169,111673
193,2110144,어린이대공원역 4번,49084,408218,205686,238029,399456,173901
194,2110059,새남터성지,5678,123694,60923,73783,104120,41929
195,2110044,관성묘,35504,685056,360202,399931,681176,227105
196,2110088,오산고등학교,27014,336373,185859,222363,302581,123556
197,2110770,영등포구청역 6번,90262,1817435,710789,829556,1653797,491145
198,2110976,언북초등학교,30038,395096,187805,209407,335807,128845
199,2110155,광진구청,30744,371275,202704,237686,341278,131685
200,2110267,망우역 2번,97285,952830,546425,622702,948703,303091
201,2110600,신월7동주민센터,45767,325039,153457,178055,266136,101928
202,2110985,청담근린공원,101107,1938468,606979,746417,1587152,446581
203,2110756,문래중학교,47618,970093,368833,414359,796586,240040
204,2110129,성원어린이공원,46433,1322685,520698,660060,1397653,364329
205,2110234,중랑역 4번,81000,663073,344528,398865,638413,219606
206,2110045,동대문역사문화공원역 5번,76584,838265,461077,509767,847799,297790
207,2110398,쌍문2동우체국,41491,395927,231448,276864,402050,152145
208,2110704,고척중학교,54543,520339,278254,345348,488309,201345
209,2110981,국악고교사거리,21600,628549,261666,316904,544195,174973
210,2110381,번동주공2단지,31008,363181,194286,228344,308299,106482
211,2110977,논현로18길,13714,453705,184459,228879,418143,135153
212,2111082,중앙보훈병원,20450,301202,117005,139869,224474,90298
213,2110628,신목동역,139760,1715012,656480,749272,1556972,626234
214,2110126,서울숲역 1번,61092,1907299,823213,1065573,2128498,556146
215,2110556,절두산순교성지,38081,236522,148766,156995,261213,103703
216,2110180,광진정보도서관,258,53919,29518,36243,51086,14354
217,2110577,용강동주민센터,67974,1311573,601861,681987,1313918,443909
218,2110653,화곡역 2번,185406,2319122,946197,1089495,2000568,719784
219,2110148,어린이대공원역 3번,25309,173987,100933,115750,187511,81888
220,2110581,염리초등학교,141964,3420093,1407853,1597145,3467256,1102487
221,2110139,자양4동주민센터,91744,750854,354456,473757,884416,420147
222,2111071,천동초등학교,48685,601598,327000,367995,558922,191269
223,2110102,옥수역 6번,30667,788752,426637,514612,796407,285100
224,2110908,구반포역,20820,206297,96555,129999,159824,52944
225,2111041,거여역 8번,64647,926141,367144,446451,760346,273061
226,2110777,구로세무서,55307,445611,191801,230341,398784,118392
227,2110764,문래역 3번,123970,3124952,1121018,1298826,2805927,788793
228,2110959,신구중학교,107735,2338019,1222492,1416773,2419262,695400
229,2110962,도산공원북측,109146,842940,503761,622584,971603,415299
230,2110070,용산세무서,44004,508041,283181,326020,483285,169786
231,2110604,신월4동주민센터,41057,298114,133970,159381,258648,104035
232,2110602,신월시영아파트중문,82482,637885,312104,354313,521369,195713
233,2110643,강서구다솔마을,2232,54296,23153,26418,35676,13044
234,2110598,신월문화체육센터,37861,259776,133270,160245,246835,97636
235,2110729,가산동우체국,106519,950776,391272,464759,844634,286616
236,2110761,문래동남성맨션,330823,3495310,1643609,1913079,3625854,1445416
237,2110784,신대림초등학교,46756,391032,218737,238168,329037,131514
238,2110818,신대방역 3번,159662,2027617,776934,900129,1703414,718073
239,2110553,가좌역 2번,90823,950657,478855,536408,813123,287817
240,2111045,개미어린이공원,48296,598585,218392,256847,455431,170183
241,2110461,새절역 2번,57896,618343,368381,433983,615126,230415
242,2110476,역촌역 2번,40196,423188,233173,264666,421163,150456
243,2110842,흑리단길,37055,472031,279258,335744,475968,206211
244,2110287,정릉3동주민센터,29263,279967,133543,161601,200505,90666
245,2110312,안암역 2번,37778,295524,196907,230394,287802,142642
246,2110494,증산3교남측,64391,578263,268393,319309,501658,190882
247,2110504,명지전문대,25871,396759,187298,253905,281722,108798
248,2110184,용두사거리,168085,1714353,916439,1005424,1528176,495424
249,2110183,한국의류시험연구원,178195,1644099,901435,994883,1511194,500693
250,2110244,중화역 4번,84241,991695,431915,491396,882855,316463
